flat_index,row,subject_id,sleep_date,lifelog_date,target,target_index,h057_prob,q061,cell_q061_gain,public_score,invariant_score,private_safe_score,latent_shortcut_energy,bad_pressure_rank,h068_cell_health,outside_h069_cell,outside_h070_cell,is_h050_null,source_count,source_weight,source_family_count,source_consensus,source_mean_move,source_action_delta,source_posterior_delta,hit_h071,hit_h074,hit_h076,hit_h079,h080_bad_same_raw,h080_bad_opp_raw,h080_bad_same_rank,h080_bad_opp_rank,h080_bad_margin_rank,h079_cell,h079_row,h079_role,h080_cell_score,h080_value_mode,h080_alpha,candidate_id,h080_row_expanded
696,99,id04,2024-10-20,2024-10-19,S1,3,0.8934898455052352,0.8587259520627866,0.0058257971844545,0.9298857142857142,0.850937142857143,0.8727941142857143,0.0350714285714285,0.1785714285714285,0.8796946285714287,1.0,0.0,0,23.0,21.621158313980562,4.0,1.0,-0.28139733910717424,-2.7377805693174696e-06,-0.005095959514260287,1.0,1.0,1.0,1.0,0.0,0.5366966914999547,0.17857142857142858,0.9411428571428572,0.9411428571428572,1.0,1.0,episode_neighbor_q061,0.9702800000000001,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
900,128,id06,2024-07-07,2024-07-06,S2,4,0.9672789969212284,0.9887277680058654,0.0096723050225968,0.9303085714285716,0.7328571428571429,0.8165893142857141,0.0314142857142857,0.1785714285714285,0.8980200000000002,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,1.0728414939112352,-3.93954068051405e-06,-0.00954900664758908,1.0,1.0,1.0,0.0,0.0,0.8383714548008615,0.17857142857142858,0.9611428571428572,0.9611428571428572,0.0,0.0,,0.9537342857142858,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
611,87,id04,2024-09-20,2024-09-19,Q3,2,0.5262087064141104,0.4031233706084962,0.0304304469211165,0.9348114285714284,0.668777142857143,0.7881529714285713,0.1240714285714285,0.1785714285714285,0.8152031428571428,1.0,0.0,0,22.0,22.431145652442883,4.0,1.0,-0.4072494561356441,-3.989143441440897e-06,-0.025182098450594947,1.0,1.0,1.0,1.0,0.0,0.9885766213058652,0.17857142857142858,0.9634285714285714,0.9634285714285714,1.0,1.0,episode_neighbor_q061,0.9533771428571428,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
968,138,id06,2024-07-18,2024-07-17,Q3,2,0.4927743691253319,0.4321963733197079,0.0073676515867672,0.9622742857142856,0.804777142857143,0.8663614285714285,0.1166428571428571,0.1785714285714285,0.8454457142857141,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.24790504650702158,-4.869222831107984e-06,-0.007318763551605437,1.0,1.0,1.0,0.0,0.0,0.5367815247005342,0.17857142857142858,0.9417142857142857,0.9417142857142857,0.0,0.0,,0.9482999999999999,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
1035,147,id06,2024-08-21,2024-08-20,S4,6,0.9780412979073642,0.9935494323404732,0.0077285250950121,0.8813599999999999,0.920377142857143,0.8830274857142857,0.0335,0.1785714285714285,0.8490305142857144,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,1.2574985491553625,-1.913659426005037e-06,-0.007707341865789627,1.0,1.0,1.0,0.0,0.0,1.4115710139943694,0.17857142857142858,0.9702857142857143,0.9702857142857143,0.0,0.0,,0.9457742857142857,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
986,140,id06,2024-07-21,2024-07-20,S4,6,0.8348399209834176,0.8011519555138755,0.003912383692871,0.93988,0.846017142857143,0.8747223428571429,0.0426142857142857,0.1785714285714285,0.8807087999999998,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.23183726857858028,-3.511078359480149e-06,-0.0038856453219518958,1.0,1.0,1.0,0.0,0.0,0.28749778097110645,0.17857142857142858,0.8468571428571429,0.8474285714285714,0.0,0.0,,0.9451400000000001,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
928,132,id06,2024-07-11,2024-07-10,S2,4,0.9060132637497244,0.8721560499542845,0.0061154788500604,0.9231542857142856,0.7058171428571429,0.7999392571428572,0.0303285714285714,0.1785714285714285,0.8963100000000002,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.34104848626421663,-3.0258789664251337e-06,-0.006008881903493373,1.0,1.0,1.0,0.0,0.0,0.5081951484664704,0.17857142857142858,0.9365714285714286,0.9365714285714286,0.0,0.0,,0.9430314285714286,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
972,138,id06,2024-07-18,2024-07-17,S4,6,0.8634695569049544,0.8351738943457109,0.0032170155511125,0.91712,0.804777142857143,0.8436217714285714,0.0397,0.1785714285714285,0.8689234285714286,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.22521789032439402,-2.561231972494446e-06,-0.003194226295115434,1.0,1.0,1.0,0.0,0.0,0.33827568353286797,0.17857142857142858,0.88,0.8805714285714286,0.0,0.0,,0.9378142857142858,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
1439,205,id09,2024-08-10,2024-08-09,S2,4,0.9120536048553756,0.9524343227195132,0.012027099290587,0.8584742857142857,0.8066571428571427,0.8175920571428572,0.0274428571428571,0.1785714285714285,0.8632620000000001,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,0.6490062439222484,-1.5318121967302172e-06,-0.011854152544485191,1.0,1.0,1.0,0.0,0.0,1.0589320542453886,0.17857142857142858,0.9657142857142857,0.9657142857142857,0.0,0.0,,0.9371514285714285,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
1020,145,id06,2024-08-15,2024-08-14,S3,5,0.9287371041949244,0.9089850431629808,0.0027261164221769,0.8974057142857143,0.7951771428571428,0.8290942285714284,0.0467285714285714,0.1785714285714285,0.8912345142857142,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,-0.26758281151121055,-2.3877879138627275e-06,-0.0027106703475388515,1.0,1.0,1.0,0.0,0.0,0.45848449276966396,0.17857142857142858,0.9308571428571428,0.9308571428571428,0.0,0.0,,0.9351171428571429,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
1551,221,id09,2024-09-13,2024-09-12,S2,4,0.8841649877845671,0.922945066590478,0.0082070597227701,0.8457542857142857,0.740097142857143,0.7794361714285714,0.0289285714285714,0.1785714285714285,0.8195640000000002,1.0,0.0,0,21.0,18.02115831398056,3.0,1.0,0.4444573064299744,-1.9553422674408746e-06,-0.008082936406637596,1.0,1.0,1.0,0.0,0.0,0.6118901797269488,0.17857142857142858,0.9508571428571428,0.9508571428571428,0.0,0.0,,0.9345742857142856,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
695,99,id04,2024-10-20,2024-10-19,Q3,2,0.794969379005645,0.8217432734441874,0.0022755038269098,0.8957428571428572,0.850937142857143,0.8546126285714286,0.1509571428571428,0.1785714285714285,0.7832234285714286,1.0,0.0,0,23.0,21.621158313980562,4.0,1.0,0.151168330145952,-2.164793769646413e-06,-0.001996874156919465,1.0,1.0,1.0,1.0,0.0,0.4558224887471014,0.17857142857142858,0.9302857142857143,0.9302857142857143,1.0,1.0,episode_neighbor_q061,0.9343200000000002,source_mean,0.95,h080_allfamily_source_core_c900_dc4f2613,
