route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,source_cells,h082_cells,h082_row,outside_h082_cells,route_source_action_sum,route_source_action_mean,route_source_posterior_sum,route_source_posterior_mean,route_source_count_mean,route_family_count_mean,route_source_consensus_mean,route_bad_same_mean,route_bad_opp_mean,route_h079_row,route_h080_score_mean,route_move_abs_mean,route_direction_consistency,route_h050_null_cells,route_action_score,dark_cells,dark_source_cells,dark_q2_cells,dark_source_action_sum,dark_source_posterior_sum,dark_family_count_mean,dark_bad_same_mean,dark_outside_h069_cells,dark_target_indices,dark_route_score,candidate_id
r021_nonq2_full,21,id01,2024-09-10,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,1.8317379022791311,3.1933971428571435,0.5322328571428573,0.5339553987070587,0.5850495238095238,0.3303690476190475,0.5006895238095238,0.5158971428571428,0.0002646829072899,0.0015880974437395,5,4,2,2,1011111,"0,2,3,4,5,6",0.832427536231884,0.8591485507246377,0.6947463768115942,0.7748958333333332,6,6,1,0,-3.556092818833996e-06,-5.926821364723326e-07,-0.0015734914219022308,-0.00026224857031703847,15.666666666666666,3.0,1.0,0.46195238095238095,0.5797142857142857,0.0,0.6161366666666668,0.051169946323625724,0.6666666666666666,0,0.73096240942029,6,6,0,-3.556092818833996e-06,-0.0015734914219022308,3.0,0.46195238095238095,4,"0,2,3,4,5,6",0.9424086021505377,h084_dark_all_amp_c260_3bd71686
r102_full_state,102,id04,2024-10-25,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.2793589483320682,2.3264657142857144,0.3323522448979591,0.3123813621479033,0.4050073469387754,0.456234693877551,0.4492857142857143,0.2560971428571428,0.0007373587039461,0.0051615109276229,7,6,3,1,1111111,"0,1,2,3,4,5,6",0.5665760869565217,0.9891304347826086,0.4266304347826087,0.6261050724637681,6,5,1,2,-8.551332782696599e-06,-1.2216189689566569e-06,-0.0038847653192951737,-0.0005549664741850248,4.428571428571429,2.0,0.8571428571428571,0.5872244897959183,0.4027755102040816,0.0,0.3016395918367348,0.6220608412688506,0.8333333333333334,0,0.7417617753623186,7,6,1,-8.551332782696599e-06,-0.0038847653192951737,2.0,0.5872244897959183,6,"0,1,2,3,4,5,6",0.913057347670251,h084_dark_all_amp_c260_3bd71686
r177_s_stage,177,id07,2024-08-28,s_stage,"S1,S2,S3,S4",4,0,4,1.325107866575886,1.6029171428571432,0.4007292857142858,0.3625780520019102,0.4240742857142857,0.4394607142857143,0.4502328571428571,0.3400171428571428,0.0004154003773426,0.0016616015093705,4,4,0,0,1111,"3,4,5,6",0.5878623188405797,0.8054800724637681,0.458786231884058,0.5899501811594202,4,4,1,0,-0.00033198557834135135,-8.299639458533784e-05,0.008504583422614051,0.0021261458556535127,10.0,2.5,1.0,0.5605,0.40014285714285713,1.0,0.5207342857142857,0.1223091903576373,0.75,0,0.7260258152173913,4,4,0,-0.00033198557834135135,0.008504583422614051,2.5,0.5605,4,"3,4,5,6",0.9017491039426523,h084_dark_all_amp_c260_3bd71686
r092_recovery_route,92,id04,2024-09-26,recovery_route,"Q1,S2,S3,S4",4,0,3,1.6861994951511148,2.399894285714286,0.5999735714285716,0.6151326530239472,0.6611800000000001,0.3105535714285714,0.5697671428571429,0.5188771428571428,0.0021517314591852,0.0086069258367411,2,3,1,1,1000111,"0,4,5,6",0.7744565217391305,0.5849184782608695,0.7377717391304348,0.7444565217391304,4,4,1,0,-2.1185919743760515e-06,-5.296479935940129e-07,-0.008565459750831362,-0.0021413649377078404,14.25,3.0,1.0,0.5426428571428571,0.38285714285714284,0.0,0.6331521428571429,0.11885435459820932,0.5,0,0.6658038949275362,4,4,0,-2.1185919743760515e-06,-0.008565459750831362,3.0,0.5426428571428571,3,"0,4,5,6",0.8986236559139785,h084_dark_all_amp_c260_3bd71686
r164_full_state,164,id07,2024-07-26,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,0.9939505380584216,1.7731085714285708,0.2533012244897958,0.2894597294948421,0.3798857142857142,0.6924775510204081,0.3223175510204081,0.5234514285714285,0.0009360083201989,0.0065520582413928,6,7,3,0,1111111,"0,1,2,3,4,5,6",0.3632246376811594,0.9891304347826086,0.1775362318840579,0.468143115942029,7,3,1,4,-0.0004192194976859915,-5.988849966942736e-05,0.0034317199547086214,0.0004902457078155173,5.285714285714286,1.2857142857142858,1.0,0.6362448979591837,0.35093877551020414,1.0,0.38604979591836736,0.08769203538228157,0.5714285714285714,0,0.6433132763975155,4,4,0,-1.5786016414258346e-08,-9.378548447340536e-05,1.0,0.9162857142857144,4,"0,3,4,6",0.7395985663082437,h084_dark_all_amp_c260_3bd71686
r107_full_state,107,id05,2024-09-29,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.234535268298943,4.534962857142858,0.647851836734694,0.6817740152091278,0.7063428571428572,0.3072571428571429,0.6663036734693879,0.582877142857143,0.0011882749156417,0.0083179244094923,3,5,2,2,1111111,"0,1,2,3,4,5,6",0.9483695652173914,0.8054800724637681,0.7427536231884058,0.8884510869565216,7,6,1,1,-1.0669184006084782e-05,-1.5241691437263974e-06,-0.008273581861958599,-0.0011819402659940855,16.0,2.5714285714285716,1.0,0.44261224489795914,0.5442448979591836,0.0,0.6781967346938774,0.10692124553429976,0.7142857142857143,0,0.8421545031055901,1,1,0,1.1424202055635468e-07,-0.0002147780912983,2.0,0.5668571428571428,1,6,0.6448996415770609,h084_dark_all_amp_c260_3bd71686
r160_full_state,160,id07,2024-07-22,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.7996869040960042,3.5999600000000003,0.5142800000000001,0.4976001376581074,0.6008897959183673,0.319504081632653,0.5338163265306123,0.3448171428571429,0.0010999694664133,0.0076997862648932,6,6,3,1,1111111,"0,1,2,3,4,5,6",0.8197463768115942,0.9685235507246376,0.7178442028985508,0.8239719202898551,7,6,1,1,-3.739432123914612e-06,-5.342045891306589e-07,-0.007630688039111552,-0.0010900982913016502,16.285714285714285,2.7142857142857144,1.0,0.4062448979591836,0.6464489795918368,0.0,0.5926440816326529,0.08899446215837108,0.5714285714285714,0,0.7671651785714285,1,1,0,2.6992843788274386e-08,-1.733309248275194e-05,1.0,0.4702857142857143,1,5,0.6279068100358424,h084_dark_all_amp_c260_3bd71686
r028_nonq2_full,28,id02,2024-08-27,nonq2_full,"Q1,Q3,S1,S2,S3,S4",6,0,4,2.0496360677245793,3.594665714285714,0.5991109523809524,0.6125744463261062,0.6747104761904762,0.2782166666666666,0.5449047619047619,0.5051371428571428,0.001502534202789,0.009015205216734,2,6,0,0,1011111,"0,2,3,4,5,6",0.8985507246376812,0.8054800724637681,0.7866847826086957,0.856526268115942,5,4,1,2,-6.0388976988900874e-06,-1.0064829498150146e-06,-0.00895926747941096,-0.0014932112465684934,11.166666666666666,2.3333333333333335,0.8333333333333334,0.39385714285714274,0.621904761904762,0.0,0.4713104761904762,0.12461240707222483,1.0,0,0.8058016304347826,2,1,0,1.9425842686661505e-07,-4.5558609044260574e-05,1.0,0.6677142857142857,2,"4,5",0.626594982078853,h084_dark_all_amp_c260_3bd71686
r183_full_state,183,id08,2024-08-03,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.064281857427559,4.139134285714286,0.5913048979591837,0.6242164641887197,0.6268979591836734,0.3266959183673469,0.5654669387755101,0.5767371428571427,0.0014236583056492,0.0099656081395446,3,7,2,0,1111111,"0,1,2,3,4,5,6",0.9030797101449276,0.9026268115942028,0.7028985507246377,0.8671784420289854,7,6,1,1,-7.677771490440278e-06,-1.0968244986343254e-06,-0.009875820888364046,-0.001410831555480578,15.428571428571429,2.7142857142857144,1.0,0.39138775510204077,0.5866938775510204,0.0,0.6598575510204082,0.0947143194515899,0.7142857142857143,0,0.8394303183229813,1,1,0,6.567541859163044e-08,-5.346330080624462e-05,1.0,0.6188571428571429,1,6,0.6230035842293907,h084_dark_all_amp_c260_3bd71686
r087_full_state,87,id04,2024-09-20,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,2.1357044705299275,4.313694285714286,0.6162420408163266,0.6506066682703524,0.6664538775510204,0.3423938775510203,0.5491199999999999,0.6687771428571428,0.0050230159272417,0.0351611114906919,3,6,2,1,1111111,"0,1,2,3,4,5,6",0.9230072463768116,0.8591485507246377,0.6612318840579711,0.8705344202898551,7,5,1,2,3.8145537401652517e-06,5.449362485950359e-07,-0.028533116679692133,-0.004076159525670304,12.142857142857142,3.0,1.0,0.4077142857142856,0.46595918367346945,1.0,0.6233428571428572,0.09539638934302848,0.7142857142857143,0,0.6275598473084886,2,2,0,9.922832038058564e-06,-0.002965778148262,3.0,0.4952857142857143,2,"4,5",0.6215340501792114,h084_dark_all_amp_c260_3bd71686
