row,subject_id,sleep_date,lifelog_date,row_weight,max_vector_code,max_vector,max_vector_prob,row_vector_entropy,row_gain_to_joint_vector,row_abs_shift_vs_h018,row_score,posterior_id
65,id03,2024-08-24,2024-08-23,0.005011146760533663,120,1111000,0.12098312548543186,3.4524108761652843,0.0016493183591655771,0.01349809035930206,0.8752,none_b0_soft_t0.00012_p2
223,id09,2024-09-16,2024-09-15,0.0046132498004767585,127,1111111,0.06708743635519272,4.152108737181275,0.0021003226191614877,0.017839980655142824,0.86856,none_b0_soft_t0.00012_p2
235,id10,2024-08-18,2024-08-17,0.005074291936004864,21,0010101,0.03596144951701722,4.47601879806354,0.001887116792339359,0.020106299135275143,0.84584,none_b0_soft_t0.00012_p2
244,id10,2024-09-21,2024-09-20,0.004413927474780556,89,1011001,0.046072142893188804,4.1935002019427206,0.0025226674859851195,0.01728101287689145,0.83504,none_b0_soft_t0.00012_p2
106,id04,2024-10-30,2024-10-29,0.00470427321524016,127,1111111,0.09542977782940704,3.9732346689630806,0.0018095628816817224,0.012058023803771174,0.83496,none_b0_soft_t0.00012_p2
87,id04,2024-09-20,2024-09-19,0.005329215059423868,78,1001110,0.047260019465878586,4.184987587513248,0.005035747966267283,0.011461912326512978,0.8217600000000002,none_b0_soft_t0.00012_p2
140,id06,2024-07-21,2024-07-20,0.005679213711111672,63,0111111,0.2258469421121483,2.5032679462505443,0.0016106681330583944,0.00945917611325515,0.8174399999999999,none_b0_soft_t0.00012_p2
205,id09,2024-08-10,2024-08-09,0.005821285102965374,127,1111111,0.09373071746851244,3.363803763414013,0.002120785647213048,0.009207770645506217,0.81632,none_b0_soft_t0.00012_p2
38,id02,2024-09-06,2024-09-05,0.004318740506203954,127,1111111,0.13061512918931,3.25531982904687,0.0017151496216094933,0.012522723635841742,0.81256,none_b0_soft_t0.00012_p2
162,id07,2024-07-24,2024-07-23,0.004090607446651152,94,1011110,0.08057420019718892,3.9921738488199496,0.0020782443389865996,0.01937122047073084,0.81144,none_b0_soft_t0.00012_p2
151,id06,2024-08-25,2024-08-24,0.00472565943469586,63,0111111,0.3309920593094778,2.519716340141795,0.0015969722758717958,0.00963027499470406,0.7943999999999999,none_b0_soft_t0.00012_p2
138,id06,2024-07-18,2024-07-17,0.004650599012042659,47,0101111,0.16864266797009342,2.846558285902791,0.0024381570646184445,0.008863179095227174,0.78912,none_b0_soft_t0.00012_p2
31,id02,2024-08-30,2024-08-29,0.004809455170809561,63,0111111,0.17043858919165905,2.9945790249422823,0.0016692115118626478,0.009213341634773078,0.78648,none_b0_soft_t0.00012_p2
128,id06,2024-07-07,2024-07-06,0.004355548584542156,63,0111111,0.257296532466546,2.381448017338685,0.0016227284837326465,0.010532629335601467,0.78552,none_b0_soft_t0.00012_p2
150,id06,2024-08-24,2024-08-23,0.005081884769937764,63,0111111,0.40341045744075643,2.126859539120063,0.0017442790698709199,0.007262676858505139,0.7847999999999999,none_b0_soft_t0.00012_p2
64,id03,2024-08-23,2024-08-22,0.004661422285921559,112,1110000,0.052818125871343664,3.9365787108936057,0.002911660779218276,0.010634831447689872,0.78152,none_b0_soft_t0.00012_p2
188,id08,2024-08-10,2024-08-09,0.006224543938167079,126,1111110,0.05506710843007132,4.146226783511973,0.005256352962790692,0.008213222117025076,0.7762399999999999,none_b0_soft_t0.00012_p2
155,id07,2024-07-17,2024-07-16,0.004316293371119754,78,1001110,0.07753157981714875,3.9592760375100973,0.0016813659581673215,0.012034845026914431,0.77584,none_b0_soft_t0.00012_p2
66,id03,2024-08-25,2024-08-24,0.00394624320155835,120,1111000,0.08375622130747905,3.4912203451130424,0.002371042734086014,0.01580610621800097,0.77216,none_b0_soft_t0.00012_p2
129,id06,2024-07-08,2024-07-07,0.004860355224345661,63,0111111,0.1893281204030706,2.553085790755906,0.0013884199308114402,0.009482829318652639,0.7715200000000001,none_b0_soft_t0.00012_p2
158,id07,2024-07-20,2024-07-19,0.0041089669453098525,14,0001110,0.04630878922722132,3.9509116650825318,0.0028170047061213915,0.01608375699878229,0.76992,none_b0_soft_t0.00012_p2
146,id06,2024-08-20,2024-08-19,0.004303648722707654,63,0111111,0.3600547963868768,2.4568180714064716,0.002440172596600313,0.008933330108897979,0.76976,none_b0_soft_t0.00012_p2
77,id03,2024-10-05,2024-10-04,0.004018386768712451,124,1111100,0.07707752731815475,4.084862804583904,0.0016815229202458229,0.016266342392991462,0.7639199999999999,none_b0_soft_t0.00012_p2
226,id09,2024-09-21,2024-09-20,0.004308409517062755,127,1111111,0.08874039309298319,3.819739526036394,0.0015758524295665496,0.011524145929496863,0.7596800000000001,none_b0_soft_t0.00012_p2
54,id02,2024-10-12,2024-10-11,0.0043671563452603555,127,1111111,0.3196995035234994,2.3755640688487554,0.0014230913506890956,0.010129492857197537,0.7596799999999999,none_b0_soft_t0.00012_p2
70,id03,2024-09-16,2024-09-15,0.005589275249403971,124,1111100,0.13531490959654469,3.322512258078623,0.0023778588351836176,0.003876393815091742,0.75944,none_b0_soft_t0.00012_p2
