cell_key,row,subject_id,target,expert,expert_family,expert_pred,selection_score,true_gain,row_episode_score,row_episode_route,expert_matches_row_episode_route,family_matches_row_episode,action_space_policy,law_name
31:Q1,31,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,-0.18407555855914104,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:Q2,31,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,0.06074643703130589,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:Q3,31,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,-0.0036798569584006735,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:S1,31,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,-0.10089743295399956,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:S2,31,id01,S2,global_prior,prior,0.6545454545454545,-0.007103501930742824,-0.06101546580191353,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:S3,31,id01,S3,global_prior,prior,0.6613636363636364,-0.007103501930742824,-0.28844191482105547,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
31:S4,31,id01,S4,global_prior,prior,0.5613636363636364,-0.007103501930742824,-0.1610776200654609,-0.010765252852204968,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
32:Q1,32,id01,Q1,global_prior,prior,0.4909090909090909,-0.007103501930742824,-0.18407555855914104,-0.012288257444280096,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
32:Q2,32,id01,Q2,global_prior,prior,0.5636363636363636,-0.007103501930742824,-0.044619146652093766,-0.012288257444280096,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
32:Q3,32,id01,Q3,global_prior,prior,0.6,-0.007103501930742824,0.00554530071642545,-0.012288257444280096,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
32:S1,32,id01,S1,global_prior,prior,0.6840909090909091,-0.007103501930742824,-0.06341067652786836,-0.012288257444280096,core_knn_blend,0.0,0.0,unrestricted_route_law,route_tree_depth2_leaf28
