flat_index,row,subject_id,sleep_date,lifelog_date,target,target_index,h057_prob,q061,cell_q061_gain,public_score,invariant_score,private_safe_score,latent_shortcut_energy,bad_pressure_rank,h068_cell_health,outside_h069_cell,outside_h070_cell,is_h050_null,source_count,source_weight,source_family_count,source_consensus,source_mean_move,source_action_delta,source_posterior_delta,hit_h071,hit_h074,hit_h076,hit_h079,h080_bad_same_raw,h080_bad_opp_raw,h080_bad_same_rank,h080_bad_opp_rank,h080_bad_margin_rank,h079_cell,h079_row,h079_role,h080_cell_score,h082_action_score,candidate_id,h082_value_mode,h082_alpha
611,87,id04,2024-09-20,2024-09-19,Q3,2,0.5262087064141104,0.4031233706084962,0.0304304469211165,0.9348114285714284,0.668777142857143,0.7881529714285713,0.1240714285714285,0.1785714285714285,0.8152031428571428,1.0,0.0,0,22.0,22.431145652442883,4.0,1.0,-0.4072494561356441,-3.989143441440897e-06,-0.0251820984505949,1.0,1.0,1.0,1.0,0.0,0.9885766213058652,0.1785714285714285,0.9634285714285714,0.9634285714285714,1.0,1.0,episode_neighbor_q061,0.9533771428571428,0.7889264410735123,h082_all_action_c880_a100_0e565967,source_mean,1.0
696,99,id04,2024-10-20,2024-10-19,S1,3,0.8934898455052352,0.8587259520627866,0.0058257971844545,0.9298857142857142,0.850937142857143,0.8727941142857143,0.0350714285714285,0.1785714285714285,0.8796946285714287,1.0,0.0,0,23.0,21.62115831398056,4.0,1.0,-0.2813973391071742,-2.7377805693174696e-06,-0.0050959595142602,1.0,1.0,1.0,1.0,0.0,0.5366966914999547,0.1785714285714285,0.9411428571428572,0.9411428571428572,1.0,1.0,episode_neighbor_q061,0.97028,0.7866056742790468,h082_all_action_c880_a100_0e565967,source_mean,1.0
479,68,id03,2024-08-28,2024-08-27,S1,3,0.9430655576923568,0.9585411358166942,0.0024511649827376,0.7806857142857144,0.3950571428571429,0.5807319428571429,0.0705857142857142,0.1785714285714285,0.6880745142857143,1.0,0.0,0,22.0,22.433399495820723,4.0,1.0,0.2619493282938795,-2.4887437255505457e-06,-0.0020187565249166,1.0,1.0,1.0,1.0,0.0,0.3678050625789941,0.1785714285714285,0.9,0.9011428571428572,1.0,1.0,episode_neighbor_q061,0.8609314285714288,0.7826111018503084,h082_all_action_c880_a100_0e565967,source_mean,1.0
89,12,id01,2024-08-15,2024-08-14,S3,5,0.8372632240978997,0.8071090995988844,0.0031851797663658,0.8477257142857144,0.6085171428571429,0.7160738857142859,0.0605,0.1785714285714285,0.8065995428571431,1.0,0.0,0,21.0,21.77752501423886,4.0,1.0,-0.1821196265117553,-3.4491767104507523e-06,-0.0029069934991289,1.0,1.0,1.0,1.0,0.0,0.2310712767541967,0.1785714285714285,0.7971428571428572,0.7982857142857143,1.0,1.0,seed_q061_companion,0.92432,0.7771754292382064,h082_all_action_c880_a100_0e565967,source_mean,1.0
1235,176,id07,2024-08-27,2024-08-26,S1,3,0.9254624398933742,0.9446818347444624,0.00292161780055,0.764257142857143,0.2976571428571429,0.5265593714285715,0.0749285714285714,0.1785714285714285,0.6781484571428571,1.0,0.0,0,23.0,22.929594961595843,4.0,1.0,0.2518668831879299,-2.0486545576540663e-06,-0.0024165448151875,1.0,1.0,1.0,1.0,0.0,0.4349172059796432,0.1785714285714285,0.9234285714285714,0.9234285714285714,1.0,1.0,episode_neighbor_q061,0.8403885714285715,0.7644979696616103,h082_all_action_c880_a100_0e565967,source_mean,1.0
695,99,id04,2024-10-20,2024-10-19,Q3,2,0.794969379005645,0.8217432734441874,0.0022755038269098,0.8957428571428572,0.850937142857143,0.8546126285714286,0.1509571428571428,0.1785714285714285,0.7832234285714286,1.0,0.0,0,23.0,21.62115831398056,4.0,1.0,0.151168330145952,-2.164793769646413e-06,-0.0019968741569194,1.0,1.0,1.0,1.0,0.0,0.4558224887471014,0.1785714285714285,0.9302857142857144,0.9302857142857144,1.0,1.0,episode_neighbor_q061,0.9343200000000002,0.7603776562760461,h082_all_action_c880_a100_0e565967,source_mean,1.0
35,5,id01,2024-08-06,2024-08-05,Q1,0,0.1250884806363739,0.0963479988481428,0.0040553539652491,0.8568685714285715,0.6886171428571428,0.7593840571428572,0.0964714285714285,0.1785714285714285,0.6987478857142857,1.0,0.0,0,20.0,21.330570287203525,4.0,1.0,-0.2334727778537345,-4.160875554438464e-06,-0.0033207582323989,1.0,1.0,1.0,1.0,0.0,0.1675932988391825,0.1785714285714285,0.7085714285714285,0.7108571428571429,1.0,1.0,episode_neighbor_q061,0.9273771428571428,0.754093148858143,h082_all_action_c880_a100_0e565967,source_mean,1.0
859,122,id05,2024-11-14,2024-11-13,S3,5,0.1478002888054552,0.1729544664861864,0.0024033951955714,0.744937142857143,0.6462571428571428,0.6840978857142859,0.0748714285714285,0.1785714285714285,0.712725942857143,1.0,0.0,0,25.0,25.17191757524078,4.0,1.0,0.1584252784674848,-1.5057895953407752e-06,-0.0021742030527651,1.0,1.0,1.0,1.0,0.0,0.3845941387509766,0.1785714285714285,0.9091428571428573,0.9097142857142856,1.0,1.0,seed_q061_companion,0.89752,0.7350325587597933,h082_all_action_c880_a100_0e565967,source_mean,1.0
857,122,id05,2024-11-14,2024-11-13,S1,3,0.1918316130446886,0.1762639587272201,0.0007984805315214,0.8119485714285715,0.6462571428571428,0.614266,0.2639142857142857,0.4765714285714286,0.6824674285714286,1.0,0.0,0,21.0,23.081329548463746,4.0,1.0,-0.0863659877202462,-4.272788760966237e-06,-0.0007177095998955,1.0,1.0,1.0,1.0,0.0066134857404136,0.0652699384335785,0.4554285714285714,0.4868571428571429,0.5057142857142857,1.0,1.0,seed_q061_companion,0.8142028571428571,0.724171548591432,h082_all_action_c880_a100_0e565967,source_mean,1.0
584,83,id04,2024-09-14,2024-09-13,S1,3,0.8277832912234422,0.8072624721646003,0.0014332249627277,0.6596342857142857,0.4032171428571429,0.5251909142857143,0.1012142857142857,0.1785714285714285,0.5761776000000001,1.0,0.0,0,22.0,21.12959496159584,4.0,1.0,-0.1159433445541388,-1.220878742977404e-06,-0.0012401660173163,1.0,1.0,1.0,1.0,0.0,0.3078992346980193,0.1785714285714285,0.8605714285714285,0.8622857142857143,1.0,1.0,episode_neighbor_q061,0.8056514285714286,0.7126447941323555,h082_all_action_c880_a100_0e565967,source_mean,1.0
