subject_id,precision,home_cell,home_share_all_records,unique_cells,records
id01,2,"0.23,0.09",0.5376089987475483,344,84634
id02,2,"1.42,0.41",0.6048710084791629,1461,110860
id03,2,"0.44,0.56",0.6585814529648256,315,67407
id04,2,"0.68,0.63",0.6526508685611006,650,119508
id05,2,"0.93,0.71",0.5296045082489736,659,78434
id06,2,"0.53,1.03",0.6711775504851822,329,95325
id07,2,"0.48,0.07",0.5804965570749685,61,61866
id08,2,"0.03,0.12",0.6729948224180217,62,33027
id09,2,"0.03,0.49",0.6340701612107795,175,91247
id10,2,"0.05,0.1",0.5512923863266042,49,58303
id01,3,"0.231,0.094",0.5283455821537444,1233,84634
id02,3,"1.417,0.405",0.5120782969511095,5264,110860
id03,3,"0.437,0.557",0.64159508656371,1398,67407
id04,3,"0.676,0.627",0.6464420791913512,2604,119508
id05,3,"0.934,0.708",0.46881454471275213,2891,78434
id06,3,"0.528,1.032",0.6619145030159979,1673,95325
id07,3,"0.476,0.068",0.5130766495328614,557,61866
id08,3,"0.033,0.124",0.4520543797499016,508,33027
id09,3,"0.026,0.493",0.5698927088013852,827,91247
id10,3,"0.05,0.096",0.5306073443905116,581,58303
id01,4,"0.2306,0.0943",0.46510858520216464,4865,84634
id02,4,"1.4172,0.4055",0.1812826988995129,12763,110860
id03,4,"0.4371,0.5572",0.5586808491699675,4065,67407
id04,4,"0.676,0.6271",0.5880610503062557,6971,119508
id05,4,"0.9337,0.708",0.3796440319249305,8206,78434
id06,4,"0.5281,1.032",0.34498819826907945,5278,95325
id07,4,"0.4759,0.0684",0.3585652862638606,2735,61866
id08,4,"0.0335,0.1241",0.6177067248009205,1571,33027
id09,4,"0.0256,0.4931",0.2597564851447171,3543,91247
id10,4,"0.05,0.096",0.4029809786803423,2929,58303
id01,5,"0.23063,0.0943",0.08998747548266654,12715,84634
id02,5,"1.41715,0.40546",0.15701786036442358,23928,110860
id03,5,"0.43711,0.55717",0.14916848398534277,8994,67407
id04,5,"0.67603,0.62714",0.23432740904374602,13478,119508
id05,5,"0.93366,0.70799",0.0661702832955096,17085,78434
id06,5,"0.50294,1.01948",0.02787306582743247,11206,95325
id07,5,"0.47589,0.06843",0.04905764070733521,10129,61866
id08,5,"0.03349,0.12407",0.17373663971901776,3320,33027
id09,5,"0.04739,0.4594",0.029283154514668976,10346,91247
id10,5,"0.05003,0.09603",0.061317599437421745,5325,58303
