label,deviation_family,corr,high70_rate,low30_rate,high_minus_low,n_high,n_low
Q1,activity/step,-0.03691423477961814,0.45185185185185184,0.5111111111111111,-0.059259259259259234,135,135
Q1,gps/context,0.039209824742771626,0.5407407407407407,0.4666666666666667,0.07407407407407407,135,135
Q1,other,-0.03131274104374249,0.4740740740740741,0.4888888888888889,-0.01481481481481478,135,135
Q1,phone/app/screen,-0.07266603073011167,0.45925925925925926,0.5259259259259259,-0.06666666666666665,135,135
Q1,routine/regularity,0.05482881857138615,0.562962962962963,0.45185185185185184,0.11111111111111116,135,135
Q1,sensor/coverage,-0.13725587411021273,0.37777777777777777,0.5555555555555556,-0.1777777777777778,135,135
Q1,sleep/long-rest,-0.0045299161101835985,0.5333333333333333,0.48148148148148145,0.05185185185185187,135,135
Q1,overall,-0.0393324629011953,0.4888888888888889,0.4666666666666667,0.0222222222222222,135,135
Q2,activity/step,-0.028017638462634203,0.5481481481481482,0.5777777777777777,-0.02962962962962956,135,135
Q2,gps/context,-0.003297880287098277,0.5555555555555556,0.5185185185185185,0.03703703703703709,135,135
Q2,other,-0.05425399119043565,0.5555555555555556,0.5925925925925926,-0.03703703703703698,135,135
Q2,phone/app/screen,0.03083122332402839,0.5777777777777777,0.5555555555555556,0.022222222222222143,135,135
Q2,routine/regularity,0.024306827243950627,0.5851851851851851,0.5481481481481482,0.03703703703703698,135,135
Q2,sensor/coverage,-0.1307992058973791,0.4740740740740741,0.6592592592592592,-0.18518518518518512,135,135
Q2,sleep/long-rest,-0.027075065413866017,0.5555555555555556,0.5851851851851851,-0.02962962962962956,135,135
Q2,overall,-0.04732291436354769,0.5185185185185185,0.6,-0.08148148148148149,135,135
Q3,activity/step,-0.01212100400710363,0.5703703703703704,0.6,-0.02962962962962956,135,135
Q3,gps/context,0.02415559673357119,0.6222222222222222,0.562962962962963,0.059259259259259234,135,135
Q3,other,-0.0028639917622796307,0.6,0.6074074074074074,-0.007407407407407418,135,135
Q3,phone/app/screen,0.05894523946286904,0.6222222222222222,0.562962962962963,0.059259259259259234,135,135
Q3,routine/regularity,0.04200322890630153,0.6296296296296297,0.5407407407407407,0.0888888888888889,135,135
Q3,sensor/coverage,-0.038135097847226004,0.562962962962963,0.5851851851851851,-0.022222222222222143,135,135
Q3,sleep/long-rest,-0.1028542467518325,0.5185185185185185,0.6518518518518519,-0.13333333333333341,135,135
Q3,overall,-0.012466127374913486,0.5851851851851851,0.5925925925925926,-0.007407407407407418,135,135
S1,activity/step,-0.018694387490890023,0.6444444444444445,0.7037037037037037,-0.059259259259259234,135,135
S1,gps/context,0.023266589414293676,0.7111111111111111,0.6814814814814815,0.029629629629629672,135,135
S1,other,-0.0523054618455456,0.6518518518518519,0.6962962962962963,-0.0444444444444444,135,135
S1,phone/app/screen,-0.08146162578364752,0.6074074074074074,0.7037037037037037,-0.09629629629629632,135,135
S1,routine/regularity,-0.009226034054058951,0.6592592592592592,0.6592592592592592,0.0,135,135
S1,sensor/coverage,-0.10090292017365471,0.5925925925925926,0.6370370370370371,-0.04444444444444451,135,135
S1,sleep/long-rest,-0.06960702576156697,0.674074074074074,0.7481481481481481,-0.07407407407407407,135,135
S1,overall,-0.06676861754758404,0.6222222222222222,0.7037037037037037,-0.08148148148148149,135,135
S2,activity/step,-0.0062651886933467104,0.6592592592592592,0.6518518518518519,0.007407407407407307,135,135
S2,gps/context,0.03731328868553772,0.6888888888888889,0.6592592592592592,0.029629629629629672,135,135
S2,other,-0.03870539068778349,0.6444444444444445,0.674074074074074,-0.02962962962962956,135,135
S2,phone/app/screen,0.01725865605153184,0.6518518518518519,0.6370370370370371,0.014814814814814836,135,135
S2,routine/regularity,-0.08035115024989249,0.5777777777777777,0.6592592592592592,-0.08148148148148149,135,135
S2,sensor/coverage,-0.06348155247868627,0.6222222222222222,0.6,0.022222222222222254,135,135
S2,sleep/long-rest,-0.09051950073195844,0.6222222222222222,0.725925925925926,-0.10370370370370374,135,135
S2,overall,-0.054305145799656875,0.6148148148148148,0.674074074074074,-0.059259259259259234,135,135
S3,activity/step,0.006060568274285119,0.674074074074074,0.6962962962962963,-0.022222222222222254,135,135
S3,gps/context,-0.018549302502880467,0.6444444444444445,0.6814814814814815,-0.03703703703703698,135,135
S3,other,0.01776792477184097,0.6814814814814815,0.6666666666666666,0.014814814814814836,135,135
S3,phone/app/screen,-0.01869559206123836,0.6814814814814815,0.6962962962962963,-0.014814814814814836,135,135
S3,routine/regularity,-0.023539999247109315,0.6148148148148148,0.6666666666666666,-0.051851851851851816,135,135
S3,sensor/coverage,0.06011664230219064,0.725925925925926,0.5777777777777777,0.14814814814814825,135,135
S3,sleep/long-rest,-0.02534403869964066,0.6518518518518519,0.7037037037037037,-0.051851851851851816,135,135
S3,overall,0.0002590149824152187,0.6370370370370371,0.674074074074074,-0.03703703703703698,135,135
S4,activity/step,-0.01309122082143439,0.562962962962963,0.5555555555555556,0.007407407407407418,135,135
S4,gps/context,0.04520853255803125,0.5925925925925926,0.5037037037037037,0.0888888888888889,135,135
S4,other,0.04842739410273919,0.6148148148148148,0.5259259259259259,0.0888888888888889,135,135
S4,phone/app/screen,0.035962176953814935,0.5925925925925926,0.562962962962963,0.02962962962962956,135,135
S4,routine/regularity,-0.05125250771594915,0.4888888888888889,0.562962962962963,-0.07407407407407413,135,135
S4,sensor/coverage,0.020860516724168495,0.6074074074074074,0.5407407407407407,0.06666666666666665,135,135
S4,sleep/long-rest,0.004490824336166494,0.5851851851851851,0.5555555555555556,0.02962962962962956,135,135
S4,overall,0.01756082125496889,0.5555555555555556,0.5259259259259259,0.029629629629629672,135,135
