subject_id,sleep_date,lifelog_date,Q1,Q2,Q3,S1,S2,S3,S4,dev_activity/step,dev_gps/context,dev_other,dev_phone/app/screen,dev_routine/regularity,dev_sensor/coverage,dev_sleep/long-rest,dev_overall
id01,2024-06-27,2024-06-26,0,0,0,0,0,1,0,1.3677473480062237,0.7869925381012268,1.0217448763355303,1.1519073687569108,1.4080056711882085,1.189444231348656,1.2388992536815477,1.1663916124883291
id01,2024-08-24,2024-08-23,1,0,0,1,0,1,0,0.8301532869340967,1.9379702143816755,1.0109123761772185,0.8352477493962011,1.097499027231682,1.213393620970079,1.162052211390254,1.155318355211601
id05,2024-11-10,2024-11-09,0,1,1,0,0,0,0,1.1056077093579622,1.4253829572768688,1.0006311542707755,1.350859653786492,1.3467402695012525,0.47828751913005335,1.1973780868678623,1.1292696214558953
id06,2024-06-17,2024-06-16,0,0,0,1,1,1,1,0.907173055419085,1.7515470132277542,0.9753116126886069,0.7310724141868554,1.5681584494285226,0.8572569728660265,0.9745001850620204,1.109288528982696
id04,2024-08-01,2024-07-31,0,1,1,1,1,1,1,1.0159195660294458,0.642428557057124,1.0738923528029665,1.034456961636385,1.0967016519537298,0.9332042954599056,1.6988112074142445,1.0707735131934
id03,2024-07-20,2024-07-19,1,1,1,0,0,1,0,1.3395167339761496,1.0598580782606086,0.8931718973922127,0.7701623647633514,1.062023948969153,0.7685483039479886,1.1992619502111734,1.0132204682172339
id08,2024-06-27,2024-06-26,0,1,1,0,0,1,0,1.3232830538449967,0.8285862649078319,1.0169988478874397,0.8678991959729042,1.0647241078380385,0.695225923358374,1.260754228094888,1.008210231700639
id07,2024-08-13,2024-08-12,1,0,0,1,1,1,1,0.9067976819147707,1.3071933916443372,0.7370132573617265,0.7026884743488121,1.1988918950987681,1.080723783664262,1.1186039605110043,1.0074160635062401
id06,2024-08-05,2024-08-04,0,0,1,1,1,1,1,0.9225099620724574,0.9950396225753483,1.0130395469282503,1.1352194443006551,0.9764220482275286,0.8870551203194589,1.0975623202097322,1.0038354378047758
id06,2024-06-24,2024-06-23,0,0,0,0,1,1,1,0.8944440878397746,0.9445443023188773,1.040432885287168,0.7804465551111752,1.0386879024560138,0.818841789764794,1.4761446614651943,0.9990774548918567
id08,2024-06-26,2024-06-25,0,1,0,0,0,0,1,0.8077676842286327,0.8681154880432258,1.078136156485173,0.6989459386646607,0.7887466513713389,1.514417275682929,0.946802572662291,0.9575616810197501
