subject_id,a,b,corr,mi
id01,Q1,Q2,-0.009661835748792293,4.6667273009837196e-05
id01,Q1,Q3,-0.05352940656009683,0.0014313273923803327
id01,Q1,S1,0.4678701898547165,0.11951316134586219
id01,Q1,S2,0.2457486392077174,0.030798447718961286
id01,Q1,S3,-0.1899232830965119,0.018022018811764795
id01,Q1,S4,0.41487884212887133,0.08873417735360226
id01,Q2,Q3,0.352807452327911,0.06314341603810072
id01,Q2,S1,0.04230741078473501,0.0008935979371862968
id01,Q2,S2,0.15328875514936832,0.011751343685186433
id01,Q2,S3,0.050872307972279894,0.0012860824024153727
id01,Q2,S4,-0.11990717980603208,0.007203787888368285
id01,Q3,S1,0.08022091167949162,0.003206019880034494
id01,Q3,S2,-0.2058823529411765,0.021571856946400153
id01,Q3,S3,-0.06832667180756571,0.002382128860606486
id01,Q3,S4,-0.16909988539863083,0.01436084907756785
id01,S1,S2,0.18300395476884015,0.01667864327527091
id01,S1,S3,-0.027954262312584403,0.00039512655535417496
id01,S1,S4,0.33603302355303244,0.05816758530614233
id01,S2,S3,0.2118126826034535,0.022184010159873993
id01,S2,S4,0.623253863326382,0.21349305193782658
id01,S3,S4,-0.010101525445522152,5.100798054682998e-05
id02,Q1,Q2,0.41391867719235786,0.08816829711392762
id02,Q1,Q3,0.3802752120726899,0.07457531920373084
id02,Q1,S1,0.4108907018066591,0.1082085445339761
id02,Q1,S2,0.3277773886785443,0.06952213123798548
id02,Q1,S3,0.096953093932882,0.004691120495435228
id02,Q1,S4,0.14484136487558033,0.01047766236550135
id02,Q2,Q3,0.6629935441317958,0.22119603443663982
id02,Q2,S1,0.13363062095621223,0.008491536322866866
id02,Q2,S2,-0.053300179088902624,0.0014859936127752105
id02,Q2,S3,-0.09644856443408245,0.005032130980745064
id02,Q2,S4,9.064933036736789e-17,0.0
id02,Q3,S1,0.05315774339537505,0.0013618143041788933
id02,Q3,S2,-0.014135069854804417,0.00010143626287210938
id02,Q3,S3,-0.05435305922648968,0.0015623076756403897
id02,Q3,S4,0.18946618668626836,0.017007965968238253
id02,S1,S2,0.34188172937891337,0.039758140306306616
id02,S1,S3,0.07733088933397014,0.002641964157666793
id02,S1,S4,0.07273929674533079,0.0025057871575871193
id02,S2,S3,0.14394032120171638,0.008031773432153777
id02,S2,S4,0.3481553119113956,0.05105428789540682
id02,S3,S4,-0.19687480773953947,0.03193677298698236
id03,Q1,Q2,0.23904572186687886,0.02419036617536033
id03,Q1,Q3,-0.06900655593423549,0.0025113880587585014
id03,Q1,S1,0.23904572186687875,0.02419036617536033
id03,Q1,S2,-0.07174300539794384,0.0025916282689973924
id03,Q1,S3,-0.09736550732578121,0.004757974763115375
id03,Q1,S4,-0.05714285714285715,0.0015322621682197501
id03,Q2,Q3,0.5933877766671153,0.16081873271371133
id03,Q2,S1,-0.01851851851851852,0.00017449186810233885
id03,Q2,S2,-0.3001225239993905,0.04870828188715484
id03,Q2,S3,-0.32870562152314203,0.05775781954259189
id03,Q2,S4,-0.019920476822239908,0.00019440778342176557
id03,Q3,S1,-0.11226255234242728,0.006828688069803718
id03,Q3,S2,0.08663791001045905,0.0037559592017310794
id03,Q3,S3,-0.3589284843290445,0.0670857459482187
id03,Q3,S4,0.06900655593423541,0.0025113880587585014
id03,S1,S2,0.17149858514250904,0.014898652900153325
id03,S1,S3,-0.3287056215231422,0.05775781954259189
id03,S1,S4,-0.01992047682223988,0.00019440778342176557
id03,S2,S3,0.09191176470588225,0.004230378414767422
id03,S2,S4,0.40996003084539395,0.11325079369662011
id03,S3,S4,0.26647402004950604,0.037432244675682486
id04,Q1,Q2,0.019851666679418692,0.00019706941909863884
id04,Q1,Q3,-0.05913123959890826,0.0017623072089359149
id04,Q1,S1,0.15274346069162217,0.01160168687995658
id04,Q1,S2,0.11931175180026102,0.007086627287926861
id04,Q1,S3,-0.028642790179736456,0.0004104369922728335
id04,Q1,S4,0.26303458350229636,0.03500242844136742
id04,Q2,Q3,0.2831921951995804,0.041927287622186185
