subject_id,corr_Q3_Q1,corr_Q3_Q2,corr_Q1_Q2,Q3_type_hint
id01,-0.05352940656009683,0.35280745232791105,-0.009661835748792293,Q2-like
id02,0.38027521207268994,0.6629935441317959,0.41391867719235786,Q2-like
id03,-0.06900655593423549,0.5933877766671154,0.23904572186687886,Q2-like
id04,-0.05913123959890825,0.2831921951995804,0.019851666679418692,Q2-like
id05,-0.0409960030845394,-0.09403246919632549,-0.15633985777612064,Q2-like
id06,0.2951406680504776,0.6390214842634577,0.1483662991744447,Q2-like
id07,-0.22500000000000006,0.020000000000000025,0.10166666666666666,Q1-like/anchor-like
id08,0.12647363331006445,0.46897904961054193,-0.09477927911685215,Q2-like
id09,0.17506448251680695,0.20772946859903385,0.27338836995775323,Q2-like
id10,0.10312858091567377,0.7015666519980602,0.15498260496951674,Q2-like
