precision,label,corr_home_share,corr_unique_cells
3,Q1,-0.005157930980415376,0.10848552918288101
3,Q2,0.10166894115680368,-0.06467796818014451
3,Q3,0.13041260335598417,0.10290271232460228
3,S1,0.1460967202213091,0.044133958060053956
3,S2,0.0766962663126079,0.004935765636810091
3,S3,0.010099117204788446,0.04724463027559645
3,S4,0.008229246728941876,0.03285188705616217
4,Q1,0.02619698539535671,0.08097831427367025
4,Q2,0.18555733799850774,-0.10994343996319722
4,Q3,0.13791895692127987,0.0569509957113056
4,S1,-0.027245443167847033,0.05069790585011534
4,S2,-0.11206575944294081,0.00800161213044709
4,S3,-0.15380079016932302,0.06399820031011454
4,S4,-0.09222721666430111,-0.0015108496896072898
