subject_id,lifelog_date,labels,diary_type,top_axes,steps,night_screen,screenoff_h,gps_radius,wifi_unique,hr_mean,top_apps
id05,2024-11-09,Q10Q21Q31S10S20S30S40,저활동+저이동/저context+낮은 생체/빛 signal,"low_activity:+3.85, phone_internal:-2.35, low_mobility_context:+1.35",,0.0,,3.493624397734457e-05,123.0,,시스템 ui(0m)
id01,2024-07-13,Q10Q21Q31S11S20S31S40,저이동/저context+긴 휴식/무화면+낮은 생체/빛 signal,"phone_internal:-1.46, physio_light_low:+1.39, low_mobility_context:+0.91",0.0,0.0,7.0,0.010742604335040318,154.0,85.0,"one ui 홈(109m), ✝️성경일독q(108m), royal match(53m), naver(45m)"
id03,2024-07-25,Q11Q21Q31S11S20S30S40,저이동/저context,"low_activity:-1.77, physio_light_low:-0.95, phone_internal:-0.92",13395.0,0.0,6.0,0.01002573279317907,185.0,105.87195883647611,"시스템 ui(232m), 카카오톡(76m), one ui 홈(50m), 통화(28m)"
id08,2024-07-27,Q11Q21Q31S11S21S30S41,저활동+낮은 생체/빛 signal,"low_activity:+1.81, phone_internal:-1.67, night_phone:-1.16",40.0,14.0,4.0,,15.0,87.83372591653077,"withings(18m), one ui 홈(18m), 시스템 ui(14m), 통화 설정(9m)"
id08,2024-08-16,Q10Q21Q30S11S20S31S40,폰/앱 내부 체류+저이동/저context+낮은 생체/빛 signal,"low_activity:-1.50, phone_internal:+1.34, low_mobility_context:+1.03",,46.0,3.0,,17.0,,"one ui 홈(148m), 시스템 ui(126m), 카카오톡(72m), youtube(65m)"
id07,2024-06-22,Q11Q21Q30S11S21S31S40,저활동+낮은 생체/빛 signal,"night_phone:-1.42, phone_internal:-1.35, physio_light_low:+1.21",2251.0,7.0,5.0,0.054386053798870196,657.0,80.51558012829115,"타임스프레드(41m), naver(40m), one ui 홈(37m), samsung wallet(7m)"
id05,2024-09-22,Q11Q21Q30S10S20S30S40,저활동+야간폰,"night_phone:+2.26, low_activity:+1.25, rest_quiet:-0.83",0.0,143.0,3.0,0.0016218414269428727,293.0,,"one ui 홈(121m), youtube(110m), naver(80m), new york mysteries 1(51m)"
id09,2024-07-13,Q10Q21Q31S11S21S30S41,저활동+야간폰+폰/앱 내부 체류+낮은 생체/빛 signal,"night_phone:+1.45, physio_light_low:+1.31, phone_internal:+1.09",1185.0,2.0,4.0,0.02061777933771251,420.0,67.84522766583552,"카카오톡(123m), microsoft launcher(104m), 네이버 웹툰(95m), one ui 홈(94m)"
id09,2024-08-27,Q11Q21Q31S11S21S30S41,저활동+긴 휴식/무화면,"rest_quiet:+1.81, low_activity:+0.96, low_mobility_context:-0.92",5762.0,51.0,4.0,0.025937996770611337,1032.0,87.28434794192087,"microsoft launcher(138m), 카카오톡(70m), 네이버 웹툰(50m), one ui 홈(37m)"
id01,2024-08-31,Q11Q21Q31S11S21S31S41,저이동/저context+낮은 생체/빛 signal,"physio_light_low:+2.26, low_mobility_context:+1.09, phone_internal:-0.73",0.0,0.0,6.0,0.000647394579637595,38.0,63.0,"one ui 홈(102m), ✝️성경일독q(80m), gs shop(50m), 쿠팡(40m)"
id10,2024-09-07,Q11Q21Q30S11S21S31S41,야간폰+폰/앱 내부 체류+저이동/저context+낮은 생체/빛 signal,"low_mobility_context:+1.56, physio_light_low:+1.20, phone_internal:+0.97",62.0,172.0,2.0,2.6771857990461462e-05,90.0,88.31455440713303,"카카오톡(256m), one ui 홈(256m), threads(98m), naver(90m)"
id08,2024-08-28,Q11Q21Q31S11S20S30S40,저이동/저context+낮은 생체/빛 signal,"night_phone:-1.19, low_mobility_context:+1.04, physio_light_low:+0.80",0.0,25.0,5.0,1.0807914942210506e-05,24.0,61.524752475247524,"시스템 ui(72m), one ui 홈(69m), youtube(36m), 메시지(21m)"
id08,2024-06-28,Q11Q21Q31S11S20S30S41,야간폰+폰/앱 내부 체류,"night_phone:+1.33, phone_internal:+0.97, low_activity:-0.85",3882.0,55.0,2.0,0.05666259796566708,183.0,95.98292889869336,"one ui 홈(262m), 시스템 ui(111m), 카카오톡(52m), youtube(42m)"
id07,2024-06-12,Q10Q21Q30S11S21S31S41,긴 휴식/무화면,"rest_quiet:+2.44, phone_internal:+0.64, low_activity:+0.57",7604.0,0.0,6.0,0.04793359729735393,603.0,87.43051500148111,"one ui 홈(172m), 타임스프레드(58m), facebook(52m), instagram(46m)"
id08,2024-07-09,Q11Q21Q30S11S21S31S41,저활동+긴 휴식/무화면,"low_activity:+1.40, rest_quiet:+1.08, night_phone:-0.91",969.0,27.0,4.0,0.06477438382988888,160.0,91.23356588385575,"one ui 홈(171m), 클래시 로얄(104m), 시스템 ui(95m), 당근(33m)"
id08,2024-08-04,Q10Q21Q31S10S21S31S41,저이동/저context+낮은 생체/빛 signal,"physio_light_low:+1.13, low_mobility_context:+1.04, phone_internal:-1.02",,33.0,4.0,,13.0,,"시스템 ui(32m), one ui 홈(21m), 클래시 로얄(21m), youtube(17m)"
id10,2024-07-09,Q10Q21Q31S11S20S31S40,긴 휴식/무화면,"rest_quiet:+2.76, night_phone:-0.74, low_mobility_context:-0.48",5035.0,0.0,6.0,0.04265734422268727,481.0,94.02209573323772,"카카오톡(109m), one ui 홈(74m), nonogram elf(60m), instagram(53m)"
id10,2024-07-15,Q10Q21Q31S11S21S31S40,혼합/약한 이벤트,"low_mobility_context:-1.57, low_activity:-1.03, rest_quiet:-0.94",8248.0,90.0,1.0,0.047369354288966437,718.0,93.10911656602782,"x(174m), one ui 홈(100m), nonogram elf(65m), 카카오톡(60m)"
id03,2024-07-19,Q11Q21Q31S10S20S31S40,긴 휴식/무화면,"rest_quiet:+2.02, low_activity:-0.70, low_mobility_context:-0.54",13111.0,0.0,5.0,0.021366304031363983,838.0,93.54775083646578,"시스템 ui(198m), 카카오톡(139m), one ui 홈(97m), instagram(28m)"
id07,2024-07-07,Q10Q21Q31S11S21S31S41,저이동/저context+낮은 생체/빛 signal,"phone_internal:-1.72, physio_light_low:+1.14, low_mobility_context:+1.00",2133.0,0.0,6.0,0.009879537830818345,202.0,79.22942206654992,"프렌즈팝콘(63m), one ui 홈(43m), 타임스프레드(26m), naver(15m)"
id09,2024-07-20,Q11Q21Q30S11S21S30S41,야간폰+저이동/저context,"low_mobility_context:+1.17, night_phone:+1.06, physio_light_low:+0.69",1686.0,201.0,2.0,0.0003059365996382317,220.0,77.87308596812125,"microsoft launcher(109m), 카카오톡(62m), whiteout survival(61m), tiktok(54m)"
id02,2024-07-23,Q11Q21Q31S11S21S31S41,폰/앱 내부 체류,"low_mobility_context:-1.71, phone_internal:+0.90, low_activity:+0.51",3945.0,4.0,5.0,1.733813918503985,1255.0,86.0227188220421,"시스템 ui(282m), one ui 홈(88m), 코레일톡(87m), 카카오톡(84m)"
id07,2024-08-04,Q11Q21Q31S11S21S31S41,야간폰+저이동/저context+낮은 생체/빛 signal,"low_mobility_context:+1.16, night_phone:+0.99, rest_quiet:-0.80",2493.0,120.0,3.0,0.0004924827724138179,73.0,84.61052578387529,"number match(110m), naver(69m), one ui 홈(41m), 타임스프레드(32m)"
id04,2024-09-10,Q10Q21Q31S11S21S31S40,야간폰,"night_phone:+0.90, low_mobility_context:+0.66, low_activity:+0.62",0.0,17.0,3.0,0.0024745647567805144,212.0,,"시스템 ui(100m), one ui 홈(95m), 당근(67m), naver(47m)"
id10,2024-08-27,Q11Q21Q31S11S20S31S40,저활동,"low_activity:+1.35, rest_quiet:-0.94, low_mobility_context:-0.39",3377.0,253.0,1.0,0.03991478071165119,410.0,93.127411288402,"one ui 홈(148m), 카카오톡(142m), instagram(96m), threads(63m)"
id04,2024-09-27,Q10Q21Q31S10S20S30S40,저활동+야간폰+폰/앱 내부 체류,"phone_internal:+1.42, low_activity:+0.81, night_phone:+0.80",2768.0,7.0,5.0,0.01968616273292907,336.0,83.80088511893786,"one ui 홈(310m), 당근(85m), 카카오톡(84m), 시스템 ui(77m)"
id01,2024-07-28,Q10Q21Q31S11S21S31S41,야간폰+폰/앱 내부 체류+긴 휴식/무화면,"rest_quiet:+0.89, night_phone:+0.83, phone_internal:+0.82",2762.0,0.0,7.0,0.02003646674318079,157.0,91.4016420361248,"✝️성경일독q(260m), one ui 홈(228m), 카카오톡(169m), naver(51m)"
id07,2024-06-29,Q11Q21Q30S11S21S31S41,저이동/저context,"low_mobility_context:+1.32, night_phone:-0.78, physio_light_low:+0.64",1290.0,19.0,5.0,0.02731870880759992,150.0,86.46932607215793,"타임스프레드(39m), royal match(35m), one ui 홈(33m), facebook(13m)"
id10,2024-08-30,Q10Q21Q31S10S20S30S40,혼합/약한 이벤트,"rest_quiet:-0.94, low_mobility_context:-0.76, phone_internal:-0.74",3354.0,128.0,1.0,0.03778783657964361,598.0,95.1630409929773,"카카오톡(73m), hexa sort(65m), one ui 홈(65m), threads(32m)"
id06,2024-06-25,Q11Q21Q30S11S21S31S41,혼합/약한 이벤트,"low_activity:-1.10, night_phone:-0.78, phone_internal:+0.70",8380.0,1.0,5.0,0.01867601552262912,644.0,82.64856863057688,"one ui 홈(165m), 카카오톡(157m), youtube(39m), 통화(18m)"
id02,2024-08-14,Q11Q21Q31S11S21S31S40,혼합/약한 이벤트,"low_activity:-1.45, physio_light_low:-0.77, night_phone:-0.74",8464.0,0.0,6.0,0.5711116012841604,523.0,91.20939089822357,"시스템 ui(134m), naver(108m), one ui 홈(74m), 코레일톡(23m)"
id04,2024-10-04,Q11Q21Q31S11S21S30S41,야간폰,"night_phone:+1.08, rest_quiet:-0.97, low_mobility_context:-0.57",847.0,16.0,2.0,0.07958116845044154,417.0,87.7315664556962,"one ui 홈(198m), 시스템 ui(140m), 당근(71m), 카카오톡(46m)"
id09,2024-08-30,Q11Q21Q31S10S20S30S40,폰/앱 내부 체류+저이동/저context,"low_mobility_context:+1.12, phone_internal:+0.81, physio_light_low:+0.69",1999.0,47.0,2.0,0.0005459533930121203,219.0,73.16020096111839,"microsoft launcher(123m), youtube(77m), tiktok(55m), 배달의민족(39m)"
id04,2024-10-26,Q11Q21Q31S10S20S30S40,저이동/저context,"low_mobility_context:+0.93, phone_internal:-0.88, physio_light_low:+0.52",,24.0,5.0,0.0013546244528277467,204.0,,"one ui 홈(108m), 당근(72m), 시스템 ui(69m), 카카오톡(16m)"
id03,2024-07-30,Q11Q21Q31S10S20S31S40,저이동/저context,"rest_quiet:-0.99, low_mobility_context:+0.79, night_phone:+0.55",4373.0,59.0,1.0,1.9561464475644444e-05,16.0,94.25439029346028,"시스템 ui(139m), instagram(136m), 카카오톡(132m), one ui 홈(105m)"
