category,Q2_1_minus_0_min,Q3_1_minus_0_min,overall_min
utility_home,37.86758814530208,29.951498611111077,200.70927722222223
messaging_social,14.603444082850132,5.570964876543215,84.17691614814815
religion_health,-7.057506938731837,4.520184722222222,31.16320185185185
other,2.245628381252402,-2.669873333333342,122.04624877777779
video_music_media,1.6379856062278044,2.5489037345678973,22.176032888888887
shopping_delivery,1.2506477264367337,1.200753703703704,8.745453703703703
game,-1.1950705694107269,-0.7339685185185187,5.959173888888889
mobility_car,-1.073049142272426,2.032741265432098,5.750575777777779
finance_auth,-0.33010680998910047,-0.477147561728394,10.156468037037039
work_study,0.07956504049544177,0.324082283950617,1.597018259259259
