subject_id,app,minutes
id01,✝️성경일독q,12978.495733333333
id01,one ui 홈,11718.83255
id01,카카오톡,4829.9956
id01,토스,3051.0146833333333
id01,캐시워크,2901.6389833333333
id01,naver,2532.869833333333
id01,통화,1347.1612
id01,youtube,1178.94685
id01,chrome,986.8076833333333
id01,네이트,880.3049833333333
id02,시스템 ui,13063.974783333333
id02,one ui 홈,5364.8775
id02,naver,4747.28885
id02,카카오톡,3208.873633333333
id02,통화,1525.6768333333334
id02,전화,810.71035
id02,갤러리,679.8872
id02,코레일톡,623.1704
id02,메시지,548.8307166666667
id02,세종버스 스마트,512.8163499999999
id03,시스템 ui,7793.734416666666
id03,카카오톡,6992.359
id03,one ui 홈,5925.9571
id03,instagram,3533.1971333333336
id03,naver,947.8977333333333
id03,통화,710.8832333333334
id03,시계,458.8688833333333
id03,쿠팡,362.19098333333335
id03,재난문자,354.5373333333333
id03,메시지,322.4509
id04,one ui 홈,13802.4317
id04,시스템 ui,9406.485083333333
id04,당근,5702.57545
id04,카카오톡,3985.9481666666666
id04,naver,2404.4868833333335
id04,갤러리,1439.6859
id04,카메라,1012.8933666666667
id04,help-cnuh24,682.99045
id04,메시지,634.7745333333334
id04,통화,566.7336833333334
id05,one ui 홈,6820.977183333333
id05,캐시워크,6362.407783333333
id05,카카오톡,4181.716133333333
id05,시스템 ui,3412.2147333333332
id05,youtube,2944.2678
id05,naver,2348.1891333333333
id05,통화,775.30105
id05,수확의 정석,494.62991666666665
id05,쿠팡,441.176
id05,네이버 카페,420.24156666666664
id06,one ui 홈,7646.7760333333335
id06,youtube,4519.691433333333
id06,카카오톡,3843.803933333333
id06,youtube music,1557.29455
id06,통화,1274.8231833333334
id06,naver,524.9008666666666
id06,네이버 웹툰,434.71835
id06,live스코어,420.24176666666665
id06,chrome,365.26236666666665
id06,시계,351.56941666666665
id07,one ui 홈,7519.61095
id07,타임스프레드,6620.28525
id07,naver,4205.24935
id07,number match,2041.7789666666667
id07,카카오톡,1833.85185
id07,instagram,1649.7274333333332
id07,facebook,879.4951166666667
id07,메시지,661.4365
id07,전화,506.9044166666667
id07,통화,503.12461666666667
id08,시스템 ui,9632.236533333333
id08,one ui 홈,9140.756133333334
id08,클래시 로얄,3134.71035
id08,youtube,2775.7988
id08,카카오톡,2532.8309833333333
id08,네이트,1246.8961833333333
id08,메시지,1184.2862833333334
id08,당근,826.1869166666667
id08,클래시오브클랜,634.3401
id08,withings,566.7592333333333
id09,microsoft launcher,7348.506866666667
id09,네이버 웹툰,2805.6767666666665
id09,카카오톡,2693.184816666667
id09,tiktok,2281.207266666667
id09,one ui 홈,1417.7533833333334
id09,whiteout survival,1338.8588666666667
id09,youtube,781.85865
id09,chrome,657.8655833333333
id09,discord,636.92005
id09,카카오버스,556.5998666666667
id10,one ui 홈,8234.955183333333
id10,카카오톡,6043.634533333333
id10,instagram,3675.15965
id10,threads,3342.732266666667
id10,naver,1452.0941833333334
id10,x,1333.2191
id10,merge designer-decor & story,1271.9208166666667
id10,youtube,1090.2873666666667
id10,nonogram elf,793.4527
id10,쿠팡,612.011
