archetype,feature,z_vs_global
0,app_unique_count,0.5243056783105928
0,wlight_max,0.5172010964463285
0,app_total_time,0.5117388797903897
0,steps_sum,0.5073175277576114
0,state_entropy,0.4550643130394592
0,mlight_max,0.42526426699041014
0,hr_mean_21_03,0.39945149179342737
0,wifi_unique_bssid,0.3733705475954038
1,screen_use_00_06,1.5224976273654816
1,screen_use_sum,1.1581023705455131
1,screen_use_18_24,1.153852143128774
1,longest_screenoff_run_h,-1.1209663876415703
1,app_time_21_03,1.0220973301948495
1,app_social_time,0.9404788276123839
1,hr_count,0.7542716463712448
1,gps_speed_mean,-0.5455767586371583
2,gps_radius_proxy,2.635653329820939
2,gps_speed_mean,2.2699908098764645
2,gps_unique_grid4,1.9544953138746115
2,wifi_unique_bssid,0.8716389090260025
2,screen_use_sum,-0.8514721456147727
2,app_browser_search_time,0.8193503780159317
2,longest_screenoff_run_h,0.6842788610584595
2,screen_use_18_24,-0.641178781731247
3,ble_unique_addr,2.2606616705318054
3,ble_records,2.2605381742077832
3,screen_use_sum,0.9387357826080163
3,mlight_mean,0.7053057804009956
3,gps_count,-0.6183973086845158
3,state_entropy,0.5942022882591351
3,night_state_entropy,0.5170953905851831
3,hr_std,-0.5004560887896047
4,app_total_time,-0.6613334976753902
4,state_entropy,-0.651996890337275
4,night_state_entropy,-0.6131019016745576
4,ble_records,-0.596325881162085
4,ble_unique_addr,-0.5805121227787915
4,wifi_unique_bssid,-0.5799901805915014
4,steps_sum,-0.572891479913152
4,app_unique_count,-0.5485160187038436
