subject_id,lifelog_date,Q1,Q2,Q3,S1,S2,S3,S4,event_intensity,steps_sum,app_total_time,screen_use_00_06,longest_screenoff_run_h,gps_radius_proxy,wifi_unique_bssid,hr_mean
id05,2024-11-09,0,1,1,0,0,0,0,9.726670311482556,,26471.0,0.0,,3.493624397734457e-05,123.0,
id07,2024-06-12,0,1,0,1,1,1,1,7.273923951404672,7604.0,29952545.0,0.0,6.0,0.04793359729735393,603.0,87.43051500148111
id03,2024-07-25,1,1,1,1,0,0,0,6.976995690117033,13395.0,28555561.0,0.0,6.0,0.01002573279317907,185.0,105.87195883647611
id01,2024-08-31,1,1,1,1,1,1,1,6.740063605231017,0.0,31833283.0,0.0,6.0,0.000647394579637595,38.0,63.0
id07,2024-08-04,1,1,1,1,1,1,1,6.649728233687833,2493.0,18250391.0,120.0,3.0,0.0004924827724138179,73.0,84.61052578387529
id09,2024-08-27,1,1,1,1,1,0,1,6.456058124476555,5762.0,25147442.0,51.0,4.0,0.025937996770611337,1032.0,87.28434794192087
id10,2024-09-07,1,1,0,1,1,1,1,6.4531905228142605,62.0,56212556.0,172.0,2.0,2.6771857990461462e-05,90.0,88.31455440713303
id08,2024-07-27,1,1,1,1,1,0,1,6.4461261812924135,40.0,4661236.0,14.0,4.0,,15.0,87.83372591653077
id03,2024-08-14,1,1,1,1,1,0,0,6.325473376842495,10349.0,18822885.0,109.0,4.0,0.00894837915097571,223.0,95.03824174819421
id08,2024-08-16,0,1,0,1,0,1,0,6.161590978263372,,38160941.0,46.0,3.0,,17.0,
id01,2024-07-13,0,1,1,1,0,1,0,6.147370981689118,0.0,27020697.0,0.0,7.0,0.010742604335040318,154.0,85.0
id07,2024-06-15,1,1,1,1,1,1,1,6.091202247984109,2624.0,19067134.0,0.0,6.0,0.00035381688175079864,121.0,86.81460331299041
id08,2024-08-28,1,1,1,1,0,0,0,6.091048473044755,0.0,16029504.0,25.0,5.0,1.0807914942210506e-05,24.0,61.524752475247524
id03,2024-07-19,1,1,1,0,0,1,0,6.067852943663498,13111.0,31520347.0,0.0,5.0,0.021366304031363983,838.0,93.54775083646578
id07,2024-07-07,0,1,1,1,1,1,1,5.949825015388005,2133.0,9777521.0,0.0,6.0,0.009879537830818345,202.0,79.22942206654992
id07,2024-06-22,1,1,0,1,1,1,0,5.8443078146398175,2251.0,9013737.0,7.0,5.0,0.054386053798870196,657.0,80.51558012829115
id07,2024-06-29,1,1,0,1,1,1,1,5.820695194585014,1290.0,10501264.0,19.0,5.0,0.02731870880759992,150.0,86.46932607215793
id09,2024-08-30,1,1,1,0,0,0,0,5.808139338319797,1999.0,23258422.0,47.0,2.0,0.0005459533930121203,219.0,73.16020096111839
id05,2024-09-22,1,1,0,0,0,0,0,5.662135580160426,0.0,30915588.0,143.0,3.0,0.0016218414269428727,293.0,
id09,2024-07-13,0,1,1,1,1,0,1,5.618259628832721,1185.0,33529086.0,2.0,4.0,0.02061777933771251,420.0,67.84522766583552
