subject_id,app,minutes
id08,시스템 ui,9632.236533333333
id08,one ui 홈,9140.756133333332
id08,클래시 로얄,3134.71035
id08,youtube,2775.7988
id08,카카오톡,2532.8309833333333
id08,네이트,1246.8961833333333
id08,메시지,1184.2862833333334
id08,당근,826.1869166666667
id08,클래시오브클랜,634.3401
id08,withings,566.7592333333333
id08,삼성 인터넷,539.5017666666666
id08,통화,490.87756666666667
id10,one ui 홈,8234.955183333333
id10,카카오톡,6043.634533333333
id10,instagram,3675.15965
id10,threads,3342.7322666666664
id10,naver,1452.0941833333334
id10,x,1333.2191
id10,merge designer-decor & story,1271.9208166666667
id10,youtube,1090.2873666666667
id10,nonogram elf,793.4527
id10,쿠팡,612.011
id10,screw puzzle,537.9896166666666
id10,fantastic bricks,537.4889166666667
