subject_id,gps_count,wifi_unique_bssid,ble_records,hr_count
id01,10481.975609756097,355.3170731707317,791.5121951219512,13056.48717948718
id02,14051.1875,505.3541666666667,343.5625,33192.555555555555
id03,11310.727272727272,373.8484848484849,336.27272727272725,39336.393939393936
id04,15973.947368421053,342.36842105263156,199.59649122807016,28226.81395348837
id05,13146.863636363636,473.20454545454544,316.45454545454544,20172.5
id06,12564.791666666666,406.9583333333333,472.7916666666667,28491.076923076922
id07,9474.551020408164,438.7755102040816,1841.7142857142858,40570.479166666664
id08,7371.419354838709,156.3111111111111,1213.0740740740741,26709.416666666668
id09,19644.780487804877,606.2682926829268,632.6666666666666,47061.87804878049
id10,9201.969696969696,426.06060606060606,913.4242424242424,47558.21212121212
