subject_id,n_days,n_q2_0to1,Q1_rate,Q2_rate,Q3_rate,S1_rate,S2_rate,S3_rate,S4_rate,dominant_q2_axes,top_apps,night_screen_mean,screenoff_mean_h,gps_radius_mean,profile_tags
id01,41,10,0.43902439024390244,0.5609756097560976,0.5853658536585366,0.6341463414634146,0.5853658536585366,0.8536585365853658,0.4878048780487805,"low_mobility_context:+0.30, physio_light_low:+0.22, low_activity:+0.19","✝️성경일독q(12978m), one ui 홈(11719m), 카카오톡(4830m), 토스(3051m), 캐시워크(2902m), naver(2533m)",4.390243902439025,5.7317073170731705,0.0569407705967126,mixed
id02,48,7,0.5416666666666666,0.6666666666666666,0.7291666666666666,0.875,0.9166666666666666,0.8958333333333334,0.75,"physio_light_low:-0.33, low_activity:-0.28, night_phone:-0.22","시스템 ui(13064m), one ui 홈(5365m), naver(4747m), 카카오톡(3209m), 통화(1526m), 전화(811m)",5.875,5.5,0.40906928676922916,S-family high/static
id03,33,5,0.8484848484848485,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.5151515151515151,0.48484848484848486,0.15151515151515152,"phone_internal:-0.42, low_mobility_context:+0.40, low_activity:-0.36","시스템 ui(7794m), 카카오톡(6992m), one ui 홈(5926m), instagram(3533m), naver(948m), 통화(711m)",33.515151515151516,3.878787878787879,0.04344170127763223,"Q1-high anchor, Q2-high regime"
id04,57,10,0.5614035087719298,0.49122807017543857,0.7719298245614035,0.7543859649122807,0.7017543859649122,0.543859649122807,0.5087719298245614,"night_phone:+0.52, low_mobility_context:+0.25, physio_light_low:+0.20","one ui 홈(13802m), 시스템 ui(9406m), 당근(5703m), 카카오톡(3986m), naver(2404m), 갤러리(1440m)",6.824561403508772,4.421052631578948,0.05722731791242288,mixed
id05,44,8,0.6136363636363636,0.4318181818181818,0.6818181818181818,0.4772727272727273,0.25,0.13636363636363635,0.4090909090909091,"low_activity:+0.73, night_phone:+0.32, rest_quiet:-0.28","one ui 홈(6821m), 캐시워크(6362m), 카카오톡(4182m), 시스템 ui(3412m), youtube(2944m), naver(2348m)",18.272727272727273,5.627906976744186,0.09156827882167894,mixed
id06,48,6,0.14583333333333334,0.3958333333333333,0.5,0.9375,0.9166666666666666,0.9583333333333334,0.8541666666666666,"low_activity:-0.36, night_phone:-0.21, low_mobility_context:+0.19","one ui 홈(7647m), youtube(4520m), 카카오톡(3844m), youtube music(1557m), 통화(1275m), naver(525m)",19.0,4.3125,0.03692688421855168,"Q1-low anchor, S-family high/static"
id07,49,12,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.7959183673469388,0.7142857142857143,0.7959183673469388,0.46938775510204084,"physio_light_low:+0.31, low_mobility_context:+0.24, phone_internal:-0.13","one ui 홈(7520m), 타임스프레드(6620m), naver(4205m), number match(2042m), 카카오톡(1834m), instagram(1650m)",25.959183673469386,5.0,0.039948448338818957,mixed
id08,56,7,0.4107142857142857,0.7857142857142857,0.44642857142857145,0.44642857142857145,0.6071428571428571,0.6607142857142857,0.6071428571428571,"night_phone:-0.41, physio_light_low:+0.36, low_mobility_context:+0.29","시스템 ui(9632m), one ui 홈(9141m), 클래시 로얄(3135m), youtube(2776m), 카카오톡(2533m), 네이트(1247m)",55.589285714285715,3.25,0.03457792523594092,"Q2-high regime, night-phone heavy, short screen-off/rest block"
id09,41,4,0.5121951219512195,0.43902439024390244,0.43902439024390244,0.5609756097560976,0.7804878048780488,0.7073170731707317,0.5853658536585366,"low_activity:+0.64, phone_internal:+0.62, physio_light_low:+0.58","microsoft launcher(7349m), 네이버 웹툰(2806m), 카카오톡(2693m), tiktok(2281m), one ui 홈(1418m), whiteout survival(1339m)",63.34146341463415,2.951219512195122,0.01939894041028649,"night-phone heavy, short screen-off/rest block"
id10,33,7,0.48484848484848486,0.5454545454545454,0.6363636363636364,0.48484848484848486,0.36363636363636365,0.48484848484848486,0.6666666666666666,"low_mobility_context:-0.42, phone_internal:+0.12, physio_light_low:-0.12","one ui 홈(8235m), 카카오톡(6044m), instagram(3675m), threads(3343m), naver(1452m), x(1333m)",103.15151515151516,2.272727272727273,0.02797443053813952,"night-phone heavy, short screen-off/rest block"
