source_file,row,target,target_idx,subject_id,sleep_date,flat_idx,move,semantic_benefit,base_benefit,semantic_positive_variants,base_positive_variants,h088_alignment,score
submission_h151_h088_hardveto_bundle_efaa9c93_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.16746537348424054,7.158917686458638e-05,8.296608328930875e-05,10,10,0.0,15.185401104571095
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.1732400415354212,7.405776917026176e-05,8.582698271307799e-05,10,10,0.0,15.182868683470856
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.2887334025590351,0.0001234296152837695,0.00014304497118846322,10,10,0.0,15.1827455775509
submission_h152_source_route_route_responsibility_upside_1e8b9fcc_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.271749084761445,0.00011616904967884196,0.0001346305611185537,10,10,0.0,15.176551769318834
submission_h074_antishortcut_inversion_816703df_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.4246079449397575,0.00018151414012319045,0.00021036025174774002,10,10,0.0,15.175448024667439
submission_h075_antibad_transport_f6863945_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.40957008930469996,0.00017508566070488513,0.00020291016247165337,10,10,0.0,15.173692905022348
submission_h071_rowtarget_assignment_a52b6b57_uploadsafe.csv,98,Q2,1,id04,2024-10-19,687,-0.4246079449397575,0.00018151414012319045,0.00021036025174774002,10,10,0.0,15.173162310381727
submission_h074_antishortcut_inversion_816703df_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.2854666704648636,0.00012977167367038398,0.00011976931263067445,10,10,0.0,15.164586766138124
submission_h152_source_route_route_responsibility_upside_1e8b9fcc_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.1888404867539697,8.584590972699538e-05,7.922919778527616e-05,10,10,0.0,15.15935107743866
submission_h151_h088_hardveto_bundle_efaa9c93_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.11258805483134204,5.118194809559936e-05,4.723701690153793e-05,10,10,0.0,15.155808413026046
submission_h075_antibad_transport_f6863945_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.2950632605530781,0.00013413423394843048,0.0001237956215394942,10,10,0.0,15.155072022809684
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.1941173359161072,8.824473809586106e-05,8.144313258885859e-05,10,10,0.0,15.154558207357141
submission_h150_robust_bundle_listener_5e12f9bd_uploadsafe.csv,91,Q2,1,id04,2024-09-25,638,-0.11647040154966472,5.2946842857516824e-05,4.8865879553315326e-05,10,10,0.0,15.137348528761391
submission_h152_source_route_route_responsibility_upside_1e8b9fcc_uploadsafe.csv,158,Q2,1,id07,2024-07-20,1107,-0.1720901503369121,5.9760209283212177e-05,6.796809752164726e-05,10,10,0.0,15.134917712443176
submission_h151_h088_hardveto_bundle_efaa9c93_uploadsafe.csv,158,Q2,1,id07,2024-07-20,1107,-0.10605055514512207,3.68272289707795e-05,4.188534009771512e-05,10,10,0.0,15.133245933688134
submission_h149_bundle_listener_route_d8e1d789_uploadsafe.csv,158,Q2,1,id07,2024-07-20,1107,-0.18284578473296897,6.34952223634129e-05,7.221610361675016e-05,10,10,0.0,15.129889553434872
submission_h074_antishortcut_inversion_816703df_uploadsafe.csv,158,Q2,1,id07,2024-07-20,1107,-0.21001921599132056,7.29314971052437e-05,8.294842282357038e-05,10,10,0.0,15.128753902262359
submission_h075_antibad_transport_f6863945_uploadsafe.csv,158,Q2,1,id07,2024-07-20,1107,-0.26889085990142503,9.337532700501898e-05,0.0001062001523775738,10,10,0.0,15.121807126702896
submission_h073_humanaction_bridge_7a2cbf07_uploadsafe.csv,128,Q1,0,id06,2024-07-07,896,0.041860553873283496,4.2051160001455e-05,0.00010279724251759844,10,10,0.0,15.120235308839801
submission_h151_h088_hardveto_bundle_efaa9c93_uploadsafe.csv,128,Q1,0,id06,2024-07-07,896,0.016509802447622957,1.6584977504573798e-05,4.054323244894069e-05,10,10,0.0,15.112324107274238
submission_h151_h088_hardveto_bundle_efaa9c93_uploadsafe.csv,102,Q2,1,id04,2024-10-25,715,-0.09109833431864131,2.0753335287823506e-05,2.42498458816812e-05,10,10,0.0,15.108783615389342
