name,family,n_cells
gemini2_cluster8=0|Q,gemini2_cluster_group,336
gemini2_cluster8=0|S,gemini2_cluster_group,448
gemini2_cluster8=0|target=Q1,gemini2_cluster_target,112
gemini2_cluster8=0|target=Q2,gemini2_cluster_target,112
gemini2_cluster8=0|target=Q3,gemini2_cluster_target,112
gemini2_cluster8=0|target=S1,gemini2_cluster_target,112
gemini2_cluster8=0|target=S2,gemini2_cluster_target,112
gemini2_cluster8=0|target=S3,gemini2_cluster_target,112
gemini2_cluster8=0|target=S4,gemini2_cluster_target,112
gemini2_cluster8=1|Q,gemini2_cluster_group,312
gemini2_cluster8=1|S,gemini2_cluster_group,416
gemini2_cluster8=1|target=Q1,gemini2_cluster_target,104
gemini2_cluster8=1|target=Q2,gemini2_cluster_target,104
gemini2_cluster8=1|target=Q3,gemini2_cluster_target,104
gemini2_cluster8=1|target=S1,gemini2_cluster_target,104
gemini2_cluster8=1|target=S2,gemini2_cluster_target,104
gemini2_cluster8=1|target=S3,gemini2_cluster_target,104
gemini2_cluster8=1|target=S4,gemini2_cluster_target,104
gemini2_cluster8=2|Q,gemini2_cluster_group,15
gemini2_cluster8=2|S,gemini2_cluster_group,20
gemini2_cluster8=2|target=Q1,gemini2_cluster_target,5
gemini2_cluster8=2|target=Q2,gemini2_cluster_target,5
gemini2_cluster8=2|target=Q3,gemini2_cluster_target,5
gemini2_cluster8=2|target=S1,gemini2_cluster_target,5
gemini2_cluster8=2|target=S2,gemini2_cluster_target,5
gemini2_cluster8=2|target=S3,gemini2_cluster_target,5
gemini2_cluster8=2|target=S4,gemini2_cluster_target,5
gemini2_cluster8=3|Q,gemini2_cluster_group,33
gemini2_cluster8=3|S,gemini2_cluster_group,44
gemini2_cluster8=3|target=Q1,gemini2_cluster_target,11
gemini2_cluster8=3|target=Q2,gemini2_cluster_target,11
gemini2_cluster8=3|target=Q3,gemini2_cluster_target,11
gemini2_cluster8=3|target=S1,gemini2_cluster_target,11
gemini2_cluster8=3|target=S2,gemini2_cluster_target,11
gemini2_cluster8=3|target=S3,gemini2_cluster_target,11
gemini2_cluster8=3|target=S4,gemini2_cluster_target,11
gemini2_cluster8=4|Q,gemini2_cluster_group,24
gemini2_cluster8=4|S,gemini2_cluster_group,32
gemini2_cluster8=4|target=Q1,gemini2_cluster_target,8
gemini2_cluster8=4|target=Q2,gemini2_cluster_target,8
gemini2_cluster8=4|target=Q3,gemini2_cluster_target,8
gemini2_cluster8=4|target=S1,gemini2_cluster_target,8
gemini2_cluster8=4|target=S2,gemini2_cluster_target,8
gemini2_cluster8=4|target=S3,gemini2_cluster_target,8
gemini2_cluster8=4|target=S4,gemini2_cluster_target,8
gemini2_cluster8=5|Q,gemini2_cluster_group,9
gemini2_cluster8=5|S,gemini2_cluster_group,12
gemini2_cluster8=5|target=Q1,gemini2_cluster_target,3
gemini2_cluster8=5|target=Q2,gemini2_cluster_target,3
gemini2_cluster8=5|target=Q3,gemini2_cluster_target,3
gemini2_cluster8=5|target=S1,gemini2_cluster_target,3
gemini2_cluster8=5|target=S2,gemini2_cluster_target,3
gemini2_cluster8=5|target=S3,gemini2_cluster_target,3
gemini2_cluster8=5|target=S4,gemini2_cluster_target,3
gemini2_cluster8=6|Q,gemini2_cluster_group,9
gemini2_cluster8=6|S,gemini2_cluster_group,12
gemini2_cluster8=6|target=Q1,gemini2_cluster_target,3
gemini2_cluster8=6|target=Q2,gemini2_cluster_target,3
gemini2_cluster8=6|target=Q3,gemini2_cluster_target,3
gemini2_cluster8=6|target=S1,gemini2_cluster_target,3
gemini2_cluster8=6|target=S2,gemini2_cluster_target,3
gemini2_cluster8=6|target=S3,gemini2_cluster_target,3
gemini2_cluster8=6|target=S4,gemini2_cluster_target,3
gemini2_cluster8=7|Q,gemini2_cluster_group,12
gemini2_cluster8=7|S,gemini2_cluster_group,16
gemini2_cluster8=7|target=Q1,gemini2_cluster_target,4
gemini2_cluster8=7|target=Q2,gemini2_cluster_target,4
gemini2_cluster8=7|target=Q3,gemini2_cluster_target,4
gemini2_cluster8=7|target=S1,gemini2_cluster_target,4
gemini2_cluster8=7|target=S2,gemini2_cluster_target,4
gemini2_cluster8=7|target=S3,gemini2_cluster_target,4
gemini2_cluster8=7|target=S4,gemini2_cluster_target,4
gemini2_cluster12=0|Q,gemini2_cluster_group,60
gemini2_cluster12=0|S,gemini2_cluster_group,80
gemini2_cluster12=0|target=Q1,gemini2_cluster_target,20
gemini2_cluster12=0|target=Q2,gemini2_cluster_target,20
gemini2_cluster12=0|target=Q3,gemini2_cluster_target,20
gemini2_cluster12=0|target=S1,gemini2_cluster_target,20
gemini2_cluster12=0|target=S2,gemini2_cluster_target,20
gemini2_cluster12=0|target=S3,gemini2_cluster_target,20
gemini2_cluster12=0|target=S4,gemini2_cluster_target,20
gemini2_cluster12=1|Q,gemini2_cluster_group,66
gemini2_cluster12=1|S,gemini2_cluster_group,88
gemini2_cluster12=1|target=Q1,gemini2_cluster_target,22
gemini2_cluster12=1|target=Q2,gemini2_cluster_target,22
gemini2_cluster12=1|target=Q3,gemini2_cluster_target,22
gemini2_cluster12=1|target=S1,gemini2_cluster_target,22
gemini2_cluster12=1|target=S2,gemini2_cluster_target,22
gemini2_cluster12=1|target=S3,gemini2_cluster_target,22
gemini2_cluster12=1|target=S4,gemini2_cluster_target,22
gemini2_cluster12=2|Q,gemini2_cluster_group,198
gemini2_cluster12=2|S,gemini2_cluster_group,264
gemini2_cluster12=2|target=Q1,gemini2_cluster_target,66
gemini2_cluster12=2|target=Q2,gemini2_cluster_target,66
gemini2_cluster12=2|target=Q3,gemini2_cluster_target,66
gemini2_cluster12=2|target=S1,gemini2_cluster_target,66
gemini2_cluster12=2|target=S2,gemini2_cluster_target,66
gemini2_cluster12=2|target=S3,gemini2_cluster_target,66
gemini2_cluster12=2|target=S4,gemini2_cluster_target,66
gemini2_cluster12=4|Q,gemini2_cluster_group,51
gemini2_cluster12=4|S,gemini2_cluster_group,68
gemini2_cluster12=4|target=Q1,gemini2_cluster_target,17
gemini2_cluster12=4|target=Q2,gemini2_cluster_target,17
gemini2_cluster12=4|target=Q3,gemini2_cluster_target,17
gemini2_cluster12=4|target=S1,gemini2_cluster_target,17
gemini2_cluster12=4|target=S2,gemini2_cluster_target,17
gemini2_cluster12=4|target=S3,gemini2_cluster_target,17
gemini2_cluster12=4|target=S4,gemini2_cluster_target,17
gemini2_cluster12=5|Q,gemini2_cluster_group,294
gemini2_cluster12=5|S,gemini2_cluster_group,392
gemini2_cluster12=5|target=Q1,gemini2_cluster_target,98
gemini2_cluster12=5|target=Q2,gemini2_cluster_target,98
gemini2_cluster12=5|target=Q3,gemini2_cluster_target,98
gemini2_cluster12=5|target=S1,gemini2_cluster_target,98
gemini2_cluster12=5|target=S2,gemini2_cluster_target,98
gemini2_cluster12=5|target=S3,gemini2_cluster_target,98
gemini2_cluster12=5|target=S4,gemini2_cluster_target,98
gemini2_cluster12=6|Q,gemini2_cluster_group,9
gemini2_cluster12=6|S,gemini2_cluster_group,12
gemini2_cluster12=6|target=Q1,gemini2_cluster_target,3
gemini2_cluster12=6|target=Q2,gemini2_cluster_target,3
gemini2_cluster12=6|target=Q3,gemini2_cluster_target,3
gemini2_cluster12=6|target=S1,gemini2_cluster_target,3
gemini2_cluster12=6|target=S2,gemini2_cluster_target,3
gemini2_cluster12=6|target=S3,gemini2_cluster_target,3
gemini2_cluster12=6|target=S4,gemini2_cluster_target,3
gemini2_cluster12=8|Q,gemini2_cluster_group,6
gemini2_cluster12=8|S,gemini2_cluster_group,8
gemini2_cluster12=8|target=Q1,gemini2_cluster_target,2
gemini2_cluster12=8|target=Q2,gemini2_cluster_target,2
gemini2_cluster12=8|target=Q3,gemini2_cluster_target,2
gemini2_cluster12=8|target=S1,gemini2_cluster_target,2
gemini2_cluster12=8|target=S2,gemini2_cluster_target,2
gemini2_cluster12=8|target=S3,gemini2_cluster_target,2
gemini2_cluster12=8|target=S4,gemini2_cluster_target,2
gemini2_cluster12=10|Q,gemini2_cluster_group,18
gemini2_cluster12=10|S,gemini2_cluster_group,24
gemini2_cluster12=10|target=Q1,gemini2_cluster_target,6
gemini2_cluster12=10|target=Q2,gemini2_cluster_target,6
gemini2_cluster12=10|target=Q3,gemini2_cluster_target,6
gemini2_cluster12=10|target=S1,gemini2_cluster_target,6
gemini2_cluster12=10|target=S2,gemini2_cluster_target,6
gemini2_cluster12=10|target=S3,gemini2_cluster_target,6
gemini2_cluster12=10|target=S4,gemini2_cluster_target,6
gemini2_cluster12=11|Q,gemini2_cluster_group,18
gemini2_cluster12=11|S,gemini2_cluster_group,24
gemini2_cluster12=11|target=Q1,gemini2_cluster_target,6
gemini2_cluster12=11|target=Q2,gemini2_cluster_target,6
gemini2_cluster12=11|target=Q3,gemini2_cluster_target,6
gemini2_cluster12=11|target=S1,gemini2_cluster_target,6
gemini2_cluster12=11|target=S2,gemini2_cluster_target,6
gemini2_cluster12=11|target=S3,gemini2_cluster_target,6
gemini2_cluster12=11|target=S4,gemini2_cluster_target,6
gemini2_cluster16=1|Q,gemini2_cluster_group,48
gemini2_cluster16=1|S,gemini2_cluster_group,64
gemini2_cluster16=1|target=Q1,gemini2_cluster_target,16
gemini2_cluster16=1|target=Q2,gemini2_cluster_target,16
gemini2_cluster16=1|target=Q3,gemini2_cluster_target,16
gemini2_cluster16=1|target=S1,gemini2_cluster_target,16
gemini2_cluster16=1|target=S2,gemini2_cluster_target,16
gemini2_cluster16=1|target=S3,gemini2_cluster_target,16
gemini2_cluster16=1|target=S4,gemini2_cluster_target,16
gemini2_cluster16=3|Q,gemini2_cluster_group,297
gemini2_cluster16=3|S,gemini2_cluster_group,396
gemini2_cluster16=3|target=Q1,gemini2_cluster_target,99
gemini2_cluster16=3|target=Q2,gemini2_cluster_target,99
gemini2_cluster16=3|target=Q3,gemini2_cluster_target,99
gemini2_cluster16=3|target=S1,gemini2_cluster_target,99
gemini2_cluster16=3|target=S2,gemini2_cluster_target,99
gemini2_cluster16=3|target=S3,gemini2_cluster_target,99
gemini2_cluster16=3|target=S4,gemini2_cluster_target,99
gemini2_cluster16=6|Q,gemini2_cluster_group,15
gemini2_cluster16=6|S,gemini2_cluster_group,20
gemini2_cluster16=6|target=Q1,gemini2_cluster_target,5
gemini2_cluster16=6|target=Q2,gemini2_cluster_target,5
gemini2_cluster16=6|target=Q3,gemini2_cluster_target,5
gemini2_cluster16=6|target=S1,gemini2_cluster_target,5
gemini2_cluster16=6|target=S2,gemini2_cluster_target,5
gemini2_cluster16=6|target=S3,gemini2_cluster_target,5
gemini2_cluster16=6|target=S4,gemini2_cluster_target,5
gemini2_cluster16=7|Q,gemini2_cluster_group,45
gemini2_cluster16=7|S,gemini2_cluster_group,60
gemini2_cluster16=7|target=Q1,gemini2_cluster_target,15
gemini2_cluster16=7|target=Q2,gemini2_cluster_target,15
gemini2_cluster16=7|target=Q3,gemini2_cluster_target,15
gemini2_cluster16=7|target=S1,gemini2_cluster_target,15
gemini2_cluster16=7|target=S2,gemini2_cluster_target,15
gemini2_cluster16=7|target=S3,gemini2_cluster_target,15
gemini2_cluster16=7|target=S4,gemini2_cluster_target,15
gemini2_cluster16=9|Q,gemini2_cluster_group,6
gemini2_cluster16=9|S,gemini2_cluster_group,8
gemini2_cluster16=9|target=Q1,gemini2_cluster_target,2
gemini2_cluster16=9|target=Q2,gemini2_cluster_target,2
gemini2_cluster16=9|target=Q3,gemini2_cluster_target,2
gemini2_cluster16=9|target=S1,gemini2_cluster_target,2
gemini2_cluster16=9|target=S2,gemini2_cluster_target,2
gemini2_cluster16=9|target=S3,gemini2_cluster_target,2
gemini2_cluster16=9|target=S4,gemini2_cluster_target,2
gemini2_cluster16=10|Q,gemini2_cluster_group,153
gemini2_cluster16=10|S,gemini2_cluster_group,204
gemini2_cluster16=10|target=Q1,gemini2_cluster_target,51
gemini2_cluster16=10|target=Q2,gemini2_cluster_target,51
gemini2_cluster16=10|target=Q3,gemini2_cluster_target,51
gemini2_cluster16=10|target=S1,gemini2_cluster_target,51
gemini2_cluster16=10|target=S2,gemini2_cluster_target,51
gemini2_cluster16=10|target=S3,gemini2_cluster_target,51
gemini2_cluster16=10|target=S4,gemini2_cluster_target,51
gemini2_cluster16=11|Q,gemini2_cluster_group,6
gemini2_cluster16=11|S,gemini2_cluster_group,8
gemini2_cluster16=11|target=Q1,gemini2_cluster_target,2
gemini2_cluster16=11|target=Q2,gemini2_cluster_target,2
gemini2_cluster16=11|target=Q3,gemini2_cluster_target,2
gemini2_cluster16=11|target=S1,gemini2_cluster_target,2
gemini2_cluster16=11|target=S2,gemini2_cluster_target,2
gemini2_cluster16=11|target=S3,gemini2_cluster_target,2
gemini2_cluster16=11|target=S4,gemini2_cluster_target,2
gemini2_cluster16=12|Q,gemini2_cluster_group,48
gemini2_cluster16=12|S,gemini2_cluster_group,64
gemini2_cluster16=12|target=Q1,gemini2_cluster_target,16
gemini2_cluster16=12|target=Q2,gemini2_cluster_target,16
gemini2_cluster16=12|target=Q3,gemini2_cluster_target,16
gemini2_cluster16=12|target=S1,gemini2_cluster_target,16
gemini2_cluster16=12|target=S2,gemini2_cluster_target,16
gemini2_cluster16=12|target=S3,gemini2_cluster_target,16
gemini2_cluster16=12|target=S4,gemini2_cluster_target,16
gemini2_cluster16=13|Q,gemini2_cluster_group,12
gemini2_cluster16=13|S,gemini2_cluster_group,16
gemini2_cluster16=13|target=Q1,gemini2_cluster_target,4
gemini2_cluster16=13|target=Q2,gemini2_cluster_target,4
gemini2_cluster16=13|target=Q3,gemini2_cluster_target,4
gemini2_cluster16=13|target=S1,gemini2_cluster_target,4
