candidate_id,row,target_index,target,delta_logit_vs_h136,new_logit_move
h138_margin_only_g025_baeb4807,135,2,Q3,-0.00958364132296885,0.04484197606673068
h138_margin_only_g025_baeb4807,135,4,S2,0.005931019811379112,0.005931019811380445
h138_margin_only_g05_09427c97,135,2,Q3,-0.019167282645937256,0.035258334743762276
h138_margin_only_g05_09427c97,135,4,S2,0.011862039622754228,0.01186203962275556
h138_toxicity_relief_only_2bea533f,207,4,S2,-0.013750000000000151,-0.013750000000000151
h138_boundary_pair_g025_52b26210,135,2,Q3,-0.00958364132296885,0.04484197606673068
h138_boundary_pair_g025_52b26210,135,4,S2,0.005931019811379112,0.005931019811380445
h138_boundary_pair_g025_52b26210,207,4,S2,-0.013750000000000151,-0.013750000000000151
h138_boundary_pair_g05_ab809ab5,135,2,Q3,-0.019167282645937256,0.035258334743762276
h138_boundary_pair_g05_ab809ab5,135,4,S2,0.011862039622754228,0.01186203962275556
h138_boundary_pair_g05_ab809ab5,207,4,S2,-0.013750000000000151,-0.013750000000000151
h138_boundary_pair_soft_1421f5dd,135,2,Q3,-0.005590457438398921,0.04883515995130061
h138_boundary_pair_soft_1421f5dd,135,4,S2,0.005931019811379112,0.005931019811380445
h138_boundary_pair_soft_1421f5dd,207,4,S2,-0.013750000000000151,-0.013750000000000151
h138_stress_decoy_pair_a1098373,131,3,S1,0.005324118597312882,0.005324118597312882
h138_stress_decoy_pair_a1098373,131,4,S2,-0.004415804533105749,-0.004415804533105749
h138_stress_decoy_pair_a1098373,207,4,S2,-0.013750000000000151,-0.013750000000000151
