row,target,h042_prob,h057_prob,q055,q061,q061_minus_h057
0,Q1,0.1952401438424609,0.1839999885504578,0.1854371762717269,0.1859798815132273,0.001979892962769514
0,Q2,0.5115819275521561,0.5115819275521561,0.4864500056521516,0.4775824655365743,-0.03399946201558185
0,Q3,0.5541805485467693,0.5074404548458739,0.5135619962451818,0.5133172079218004,0.0058767530759265
0,S1,0.5454902757586634,0.5202725253271271,0.52357043643751,0.5236101888857627,0.0033376635586356285
0,S2,0.4713998480827134,0.4579375217389834,0.4596904216883933,0.45951764185043276,0.001580120111449368
0,S3,0.8468215168945182,0.8508786159626692,0.8503544989480489,0.8502111327255205,-0.0006674832371487138
0,S4,0.5111230093690158,0.5084298008946088,0.5087811200493267,0.5091151839410136,0.0006853830464048638
1,Q1,0.0950246972067914,0.0950246972067914,0.1053362535521843,0.10513601412033242,0.01011131691354103
1,Q2,0.5142003796073951,0.5142003796073951,0.5181754970799629,0.5181404945598331,0.003940114952438067
1,Q3,0.510501737615549,0.510501737615549,0.4721808014898611,0.47228361858976353,-0.038218119025785424
1,S1,0.223901638829074,0.223901638829074,0.2030504378939282,0.20320590818297565,-0.020695730646098337
1,S2,0.467637104525372,0.467637104525372,0.4614801470816216,0.4611180245134399,-0.006519080011932077
1,S3,0.8477592475098434,0.8477592475098434,0.8432616780888157,0.8432754302407395,-0.004483817269103962
1,S4,0.3729978985430439,0.3729978985430439,0.3640886079729325,0.36372729851958824,-0.009270600023455644
2,Q1,0.1032837510399468,0.1032837510399468,0.0998835570903304,0.1001592175335198,-0.0031245335064269963
2,Q2,0.536621580933206,0.536621580933206,0.5558338665885816,0.5558458654282564,0.019224284495050425
2,Q3,0.5682112561937659,0.5682112561937659,0.5617335946194031,0.5616751943609942,-0.006536061832771667
2,S1,0.2518576456277656,0.2518576456277656,0.2451144903873105,0.2450768042172474,-0.006780841410518185
2,S2,0.4522512987540221,0.4522512987540221,0.4455001466865816,0.4449546457295745,-0.007296653024447597
2,S3,0.8949298069616637,0.8949298069616637,0.9236454381120364,0.9238245894751469,0.028894782513483208
2,S4,0.4013011799248306,0.4013011799248306,0.3577349856861712,0.357790335207552,-0.04351084471727862
3,Q1,0.6577389160188123,0.6612812262919237,0.6608201989248288,0.6607505674311869,-0.0005306588607367768
3,Q2,0.6600442750657125,0.6600442750657125,0.6926705483094857,0.6987517935481184,0.038707518482405945
3,Q3,0.5574422325902662,0.5825405612758282,0.5792881428578803,0.5795370659761659,-0.003003495299662262
3,S1,0.876117151296551,0.8856649411247233,0.8844569257457948,0.884269699592085,-0.0013952415326382583
3,S2,0.5522444759551001,0.5721461430128739,0.5695620616481524,0.5692474001812561,-0.00289874283161784
3,S3,0.8345777914923951,0.8471588175105197,0.8455634161020195,0.8457006217293793,-0.00145819578114037
3,S4,0.5920179317962512,0.6214483717332009,0.6176549412028199,0.6175512074460789,-0.003897164287121946
4,Q1,0.5445439902464404,0.5445439902464404,0.5326634679936281,0.5326987990380605,-0.011845191208379902
4,Q2,0.5395147550620563,0.5395147550620563,0.5521281148030351,0.5523215077542246,0.012806752692168355
4,Q3,0.5388232923930961,0.5388232923930961,0.555674747689608,0.5556042658277728,0.01678097343467666
