bundle_id,row,subject_id,template,targets,flat_indices,target_indices,moves,score,residual_toxicity,residual_safety,residual_gap,antidote_score,h111_rate,h108_rejected_rate,h109_rate,family_count,spec_name
r135_h112_core_Q1_S4_Q3,135,id06,h112_core,"('Q1', 'S4', 'Q3')","(945, 951, 947)","(0, 6, 2)","(np.float64(-0.07623078095430554), np.float64(-0.10657560444966047), np.float64(0.0686236045348382))",0.8356871986275328,0.4803179047619048,0.7548197104761906,0.2745018057142857,0.9060819047619048,1.0,0.6666666666666666,0.0,5.333333333333333,rowroute_h112_core_c48_a058
r164_h112_core_S4_S1_Q1,164,id07,h112_core,"('S4', 'S1', 'Q1')","(1154, 1151, 1148)","(6, 3, 0)","(np.float64(-0.09550790224960094), np.float64(0.09637436946333212), np.float64(-0.1383424650040882))",0.8207915408682309,0.4820683809523809,0.6955600285714286,0.21349164761904774,0.8975257142857144,1.0,0.6666666666666666,1.0,6.333333333333333,rowroute_h112_core_c48_a058
r003_h112_core_S1_Q3,3,id01,h112_core,"('S1', 'Q3')","(24, 23)","(3, 2)","(np.float64(0.049638695112543006), np.float64(0.04512342613151147))",0.7866867681263996,0.47496685714285714,0.7365499228571428,0.2615830657142857,0.77882,1.0,1.0,0.0,4.5,rowroute_h112_core_c48_a058
r135_h111_core_Q1_S4_Q3,135,id06,h111_core,"('Q1', 'S4', 'Q3')","(945, 951, 947)","(0, 6, 2)","(np.float64(-0.07623078095430554), np.float64(-0.10657560444966047), np.float64(0.0686236045348382))",0.7856871986275328,0.4803179047619048,0.7548197104761906,0.2745018057142857,0.9060819047619048,1.0,0.6666666666666666,0.0,5.333333333333333,rowroute_h112_core_c48_a058
r135_quality_stage_Q1_S4_Q3,135,id06,quality_stage,"('Q1', 'S4', 'Q3')","(945, 951, 947)","(0, 6, 2)","(np.float64(-0.07623078095430554), np.float64(-0.10657560444966047), np.float64(0.0686236045348382))",0.7856871986275328,0.4803179047619048,0.7548197104761906,0.2745018057142857,0.9060819047619048,1.0,0.6666666666666666,0.0,5.333333333333333,rowroute_h112_core_c48_a058
r164_h111_core_S4_S1_Q1,164,id07,h111_core,"('S4', 'S1', 'Q1')","(1154, 1151, 1148)","(6, 3, 0)","(np.float64(-0.09550790224960094), np.float64(0.09637436946333212), np.float64(-0.1383424650040882))",0.7707915408682309,0.4820683809523809,0.6955600285714286,0.21349164761904774,0.8975257142857144,1.0,0.6666666666666666,1.0,6.333333333333333,rowroute_h112_core_c48_a058
r164_quality_stage_S4_S1_Q1,164,id07,quality_stage,"('S4', 'S1', 'Q1')","(1154, 1151, 1148)","(6, 3, 0)","(np.float64(-0.09550790224960094), np.float64(0.09637436946333212), np.float64(-0.1383424650040882))",0.7707915408682309,0.4820683809523809,0.6955600285714286,0.21349164761904774,0.8975257142857144,1.0,0.6666666666666666,1.0,6.333333333333333,rowroute_h112_core_c48_a058
r003_h111_core_S1_Q3,3,id01,h111_core,"('S1', 'Q3')","(24, 23)","(3, 2)","(np.float64(0.049638695112543006), np.float64(0.04512342613151147))",0.7366867681263995,0.47496685714285714,0.7365499228571428,0.2615830657142857,0.77882,1.0,1.0,0.0,4.5,rowroute_h112_core_c48_a058
r003_quality_stage_S1_Q3,3,id01,quality_stage,"('S1', 'Q3')","(24, 23)","(3, 2)","(np.float64(0.049638695112543006), np.float64(0.04512342613151147))",0.7366867681263995,0.47496685714285714,0.7365499228571428,0.2615830657142857,0.77882,1.0,1.0,0.0,4.5,rowroute_h112_core_c48_a058
r139_h112_core_S4_Q3,139,id06,h112_core,"('S4', 'Q3')","(979, 975)","(6, 2)","(np.float64(-0.06624390353489695), np.float64(0.027103169705351492))",0.735950669802159,0.48362742857142854,0.6905451114285714,0.2069176828571429,0.9190771428571429,1.0,0.0,0.0,3.5,rowroute_h112_core_c48_a058
