target,view_id,split,method,base_logloss,aug_logloss,logloss_delta,teacher_r2,teacher_spearman
Q2,family,subject,masked_residual_student,0.765899724395758,0.761606747817211,-0.0042929765785469,-0.3329701014680846,-0.1035484948896867
Q2,jepa_resid,subject,masked_residual_student,0.765899724395758,0.7356891080506113,-0.0302106163451467,-0.1955390004708543,-0.234482211434789
Q2,story_bundle,subject,masked_residual_student,0.765899724395758,0.7665933701067598,0.0006936457110017,-0.6188852243571705,0.0055324059213461
Q2,raw_day,subject,masked_residual_student,0.765899724395758,0.7669708104311173,0.0010710860353592,-0.6891053628920492,-0.027644515116947
Q2,family_story,subject,masked_residual_student,0.765899724395758,0.7704494919315803,0.0045497675358222,-0.8367165407713519,-0.0162669445281211
Q2,family_jepa_story,subject,masked_residual_student,0.765899724395758,0.770790649206137,0.004890924810379,-0.9679086663715112,-0.0443088278625244
S1,family,subject,masked_residual_student,0.6566789899315844,0.6671629107369109,0.0104839208053265,-0.3048054057335663,-0.0402204455330643
S1,jepa_resid,subject,masked_residual_student,0.6566789899315844,0.6561011083703726,-0.0005778815612117,-0.0230974556704139,0.1451069552606844
S1,story_bundle,subject,masked_residual_student,0.6566789899315844,0.659098166770784,0.0024191768391996,-0.5459475410769992,0.0628587795495286
S1,raw_day,subject,masked_residual_student,0.6566789899315844,0.6525359065432796,-0.0041430833883047,-0.7335180964895158,0.1525363911262113
S1,family_story,subject,masked_residual_student,0.6566789899315844,0.6515704804980692,-0.0051085094335151,-0.593627915513278,0.1143829846073314
S1,family_jepa_story,subject,masked_residual_student,0.6566789899315844,0.6475513435130703,-0.009127646418514,-0.6333569744073546,0.1721896239816822
Q2,family,dateblock,masked_residual_student,0.7153337395560486,0.7228955994122114,0.0075618598561627,-0.1277439772615085,0.0129067962475534
Q2,jepa_resid,dateblock,masked_residual_student,0.7153337395560486,0.7080280536162756,-0.0073056859397729,-0.1107509064672804,-0.0889946123190732
Q2,story_bundle,dateblock,masked_residual_student,0.7153337395560486,0.721137997328054,0.0058042577720053,-0.4955830973282107,-0.001654329157181
Q2,raw_day,dateblock,masked_residual_student,0.7153337395560486,0.7119287366520164,-0.0034050029040322,-0.4471522587480505,-0.0987223969830303
Q2,family_story,dateblock,masked_residual_student,0.7153337395560486,0.7210379402924325,0.0057042007363838,-0.5608679096092644,0.0419642566136129
Q2,family_jepa_story,dateblock,masked_residual_student,0.7153337395560486,0.7207754427454898,0.0054417031894411,-0.6668994938230486,0.0085711040548348
S1,family,dateblock,masked_residual_student,0.5818632837982721,0.585872053851703,0.0040087700534309,-0.1072083638657155,-0.0579548540980449
S1,jepa_resid,dateblock,masked_residual_student,0.5818632837982721,0.5819488246780345,8.554087976242464e-05,-0.0697868310676037,-0.0716536871787021
S1,story_bundle,dateblock,masked_residual_student,0.5818632837982721,0.5792252108461503,-0.0026380729521218,-0.3411653265210119,0.1089141180944103
S1,raw_day,dateblock,masked_residual_student,0.5818632837982721,0.5841480040854478,0.0022847202871756,-0.4245385478411572,-0.0773568264534639
S1,family_story,dateblock,masked_residual_student,0.5818632837982721,0.5815636587470951,-0.0002996250511769,-0.4786992680847621,0.0568079842369592
S1,family_jepa_story,dateblock,masked_residual_student,0.5818632837982721,0.5825363841755057,0.0006731003772335,-0.5761571689469904,0.0347215541805144
