candidate,outcome,public_lb_lo_exclusive,public_lb_hi_inclusive,world_update_class,next_action,candidate_to_test,forbidden_action,branch_status,allowed_next,forbidden
e224,capped_jepa_breakthrough,-inf,0.5762613298,strong_support,"Do not immediately increase Q3. First decompose the win into S4 body, Q3 residual, and E154 inherited body using an E224-vs-E95-anchor attribution audit.",conditional:e224_component_decomposition_or_e224_e95_anchor,"Do not submit E223/E211 full-Q3 next as a victory lap; a breakthrough specifically validates capped Q3, not larger Q3.",,,
e224,clean_win,0.5762613298,0.5762760190999999,support,Promote E224 as the JEPA-family anchor. Use the E224 E95-anchor sibling only if the next public slot is a clean attribution sensor.,analysis_outputs/submission_e224_e224_q3s0p625_s4toward_e95_a0p5_9c52abe2.csv,Do not infer that Q3 scale should be raised to 0.75 or 1.0 without a new tail audit.,,,
e224,micro_win,0.5762760190999999,0.5762883298,weak_support,"Keep E224 as the preferred JEPA sensor, but do not submit a sibling until an exact-score attribution audit identifies whether Q3 or S4 carried the win.",conditional:e224_exact_score_attribution,Do not tune q3_scale from one micro-win.,,,
e224,tie,0.5762883298,0.5762943298,underresolved,Keep E95 practical. Treat E224 as an unresolved diagnostic and run a target/component attribution audit before any JEPA sibling.,,"Do not choose E223, E211, or q3_scale 0.5 from a tie; the scalar score does not identify the target component.",,,
e224,small_loss,0.5762943298,0.576300366,weak_rejection,"Do not submit another amplitude sibling. Audit whether E154 inherited body or E224 Q3/S4 residual caused the loss, then decide between E154 branch and new JEPA target design.",conditional:e224_loss_attribution_then_e154_or_new_jepa,Do not rescue by raising Q3 to 0.75 or reverting to full-Q3 E211.,,,
e224,mixmin_safe_loss,0.576300366,0.5763066405,rejection,Demote E211/E223/E224 as expected-score followups. Keep JEPA axes as diagnostics and move to a new representation or support-tail target.,conditional:new_jepa_support_tail_objective,Do not submit E224 E95-anchor sibling or E223 as automatic followup.,,,
e224,branch_loss,0.5763066405,0.5763413298,strong_rejection,Close current E211-family expected-score lane. Search for non-collinear hidden structure or build a JEPA objective with support/tail regularization baked in.,conditional:non_collinear_search_or_support_regularized_jepa,"Do not submit original E211, E223, or E224 siblings.",,,
e224,hard_fail,0.5763413298,0.5765913297999999,hard_rejection,Keep E208/E211 axes only as diagnostics. Rebuild target representation or return to block/sequence hidden-world search.,,"Do not tune Q3 scale, S4 mode, or anchor scale inside the same translator.",,,
e224,e216_like_fail,0.5765913297999999,inf,translator_collapse,Do a root-cause miss anatomy like E219 before any further JEPA submission. Treat current JEPA probability movement as unsafe.,conditional:e224_public_miss_anatomy,Do not submit any E209/E210/E211/E223/E224 sibling before the miss anatomy is resolved.,,,
e166,broad_breakthrough,-inf,0.5762613298,strong_support,Promote broad survivor structure as a live hidden-world target. Do an exact E166 component/block attribution before scaling or submitting any E166-family sibling.,conditional:e166_component_block_attribution,Do not scale E166 up from a single win; E167 already says this branch is safety-atlas divergent.,,,
