set,view,heldout_pair,heldout_family,actual_direction,nearest_pair,nearest_family,pred_direction,correct,nearest_distance,min_distance_new_won,min_distance_new_lost,margin_new_won_minus_new_lost
top4,sequence_only,mixmin_vs_a2c8,broad_public_success,new_won,e101_vs_e95,frontier_near_loss,new_lost,0,9.615109783555958,9.615109783557225,9.615109783555958,1.2665424264923786e-12
top4,sequence_only,e95_vs_mixmin,frontier_hardtail_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,8.76695234354537e-13,8.76695234354537e-13,2.603346483780243e-12,-1.7266512494257059e-12
top4,sequence_only,e101_vs_e95,frontier_near_loss,new_lost,e95_vs_mixmin,frontier_hardtail_success,new_won,0,2.603537221648266e-12,2.603537221648266e-12,6.639058626196909,-6.639058626194306
top4,sequence_only,e101_vs_mixmin,mixmin_relative_success,new_won,e95_vs_mixmin,frontier_hardtail_success,new_won,1,8.766952404259239e-13,8.766952404259239e-13,3.4802088327374445e-12,-2.6035135923115207e-12
top4,sequence_only,e72_vs_mixmin,q2s3_gate_fail,new_lost,e101_vs_e95,frontier_near_loss,new_lost,1,8.865748749960774,8.865748749961112,8.865748749960774,3.375077994860476e-13
top4,sequence_only,e72_vs_e95,q2s3_gate_fail,new_lost,mixmin_vs_a2c8,broad_public_success,new_won,0,59.39930163140637,59.39930163140637,59.94196487475539,-0.5426632433490255
top4,sequence_axis,mixmin_vs_a2c8,broad_public_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,52.15701094154883,52.15701094154883,52.157010941551405,-2.5721647034515627e-12
top4,sequence_axis,e95_vs_mixmin,frontier_hardtail_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,8.774317444881847e-13,8.774317444881847e-13,2.60553486034424e-12,-1.7281031158560556e-12
top4,sequence_axis,e101_vs_e95,frontier_near_loss,new_lost,e95_vs_mixmin,frontier_hardtail_success,new_won,0,2.60572543802414e-12,2.60572543802414e-12,6.841323737801259,-6.841323737798653
top4,sequence_axis,e101_vs_mixmin,mixmin_relative_success,new_won,e95_vs_mixmin,frontier_hardtail_success,new_won,1,8.774317505544753e-13,8.774317505544753e-13,3.48313355820559e-12,-2.605701807651115e-12
top4,sequence_axis,e72_vs_mixmin,q2s3_gate_fail,new_lost,e101_vs_e95,frontier_near_loss,new_lost,1,9.063834508541273,9.063834508541603,9.063834508541273,3.304023721284466e-13
top4,sequence_axis,e72_vs_e95,q2s3_gate_fail,new_lost,e72_vs_mixmin,q2s3_gate_fail,new_lost,1,67.29307388356322,67.53926621076297,67.29307388356322,0.2461923271997506
top4,sequence_axis_flank,mixmin_vs_a2c8,broad_public_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,52.15701094154883,52.15701094154883,52.157010941551405,-2.5721647034515627e-12
top4,sequence_axis_flank,e95_vs_mixmin,frontier_hardtail_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,8.774317444881847e-13,8.774317444881847e-13,2.60553486034424e-12,-1.7281031158560556e-12
top4,sequence_axis_flank,e101_vs_e95,frontier_near_loss,new_lost,e95_vs_mixmin,frontier_hardtail_success,new_won,0,2.60572543802414e-12,2.60572543802414e-12,7.240083192665145,-7.2400831926625395
top4,sequence_axis_flank,e101_vs_mixmin,mixmin_relative_success,new_won,e95_vs_mixmin,frontier_hardtail_success,new_won,1,8.774317505544753e-13,8.774317505544753e-13,3.48313355820559e-12,-2.605701807651115e-12
top4,sequence_axis_flank,e72_vs_mixmin,q2s3_gate_fail,new_lost,e101_vs_e95,frontier_near_loss,new_lost,1,9.469710653056666,9.469710653056982,9.469710653056666,3.161915174132446e-13
top4,sequence_axis_flank,e72_vs_e95,q2s3_gate_fail,new_lost,e72_vs_mixmin,q2s3_gate_fail,new_lost,1,67.34121080512962,67.77558658880544,67.34121080512962,0.43437578367581864
top16,sequence_only,mixmin_vs_a2c8,broad_public_success,new_won,e72_vs_e95,q2s3_gate_fail,new_lost,0,276.51975240001497,279.89450778354075,276.51975240001497,3.3747553835257804
top16,sequence_only,e95_vs_mixmin,frontier_hardtail_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,2.615972204533899e-13,2.615972204533899e-13,7.815324808729066e-13,-5.199352604195168e-13
top16,sequence_only,e101_vs_e95,frontier_near_loss,new_lost,e95_vs_mixmin,frontier_hardtail_success,new_won,0,7.815149176144578e-13,7.815149176144578e-13,5.688223332992056,-5.688223332991274
top16,sequence_only,e101_vs_mixmin,mixmin_relative_success,new_won,e95_vs_mixmin,frontier_hardtail_success,new_won,1,2.614362156383601e-13,2.614362156383601e-13,1.0431396509231692e-12,-7.817034352848092e-13
top16,sequence_only,e72_vs_mixmin,q2s3_gate_fail,new_lost,e101_vs_e95,frontier_near_loss,new_lost,1,6.757192488925757,6.757192488925916,6.757192488925757,1.5898393712632242e-13
top16,sequence_only,e72_vs_e95,q2s3_gate_fail,new_lost,e72_vs_mixmin,q2s3_gate_fail,new_lost,1,11.051681431953112,11.781696809314045,11.051681431953112,0.7300153773609335
top16,sequence_axis,mixmin_vs_a2c8,broad_public_success,new_won,e72_vs_e95,q2s3_gate_fail,new_lost,0,276.5803263831643,279.9756423219455,276.5803263831643,3.3953159387812093
top16,sequence_axis,e95_vs_mixmin,frontier_hardtail_success,new_won,e101_vs_mixmin,mixmin_relative_success,new_won,1,2.6162878764414003e-13,2.6162878764414003e-13,7.816343739924089e-13,-5.200055863482688e-13
top16,sequence_axis,e101_vs_e95,frontier_near_loss,new_lost,e95_vs_mixmin,frontier_hardtail_success,new_won,0,7.816168130235413e-13,7.816168130235413e-13,5.869580251846372,-5.869580251845591
top16,sequence_axis,e101_vs_mixmin,mixmin_relative_success,new_won,e95_vs_mixmin,frontier_hardtail_success,new_won,1,2.614687038445721e-13,2.614687038445721e-13,1.0432743528677144e-12,-7.818056490231423e-13
top16,sequence_axis,e72_vs_mixmin,q2s3_gate_fail,new_lost,e101_vs_e95,frontier_near_loss,new_lost,1,6.91967061328109,6.919670613281244,6.91967061328109,1.545430450278218e-13
top16,sequence_axis,e72_vs_e95,q2s3_gate_fail,new_lost,mixmin_vs_a2c8,broad_public_success,new_won,0,15.427269392037056,15.427269392037056,15.95315850600586,-0.5258891139688036
