subject_id,run_type,n_runs,mean_run_length,max_run_length
id01,.,12,1.0833333333333333,2
id01,E,7,3.857142857142857,9
id01,T,8,5.125,15
id02,.,9,1.2222222222222223,2
id02,E,4,8.0,16
id02,T,9,5.333333333333333,16
id03,.,16,1.9375,11
id03,E,7,3.0,5
id03,T,12,2.75,6
id04,.,3,2.3333333333333335,3
id04,E,8,3.375,6
id04,T,9,6.333333333333333,28
id05,.,12,1.5833333333333333,3
id05,E,8,2.625,5
id05,T,12,3.6666666666666665,10
id06,.,7,1.5714285714285714,3
id06,E,6,4.0,8
id06,T,10,4.8,13
id07,.,6,1.0,1
id07,E,6,5.0,15
id07,T,4,12.25,25
id08,.,10,1.2,3
id08,E,10,1.9,6
id08,T,12,4.666666666666667,15
id09,.,14,1.0714285714285714,2
id09,E,8,3.375,12
id09,T,10,4.1,11
id10,.,17,1.6470588235294117,4
id10,E,7,3.142857142857143,8
id10,T,12,2.75,5
