task,feature_block,feature,coef,abs_coef
classify_joint_health,human_plus_identity_action,meta_mode_row,-0.7518188714706876,0.7518188714706876
classify_joint_health,human_plus_identity_action,human_q_minus_s__diary_mobility_context_pc4,0.5157177660452692,0.5157177660452692
classify_joint_health,human_plus_identity_action,meta_mode_subject,0.5151442705678888,0.5151442705678888
classify_joint_health,human_plus_action,source__abs_Q1,0.5129805798652591,0.5129805798652591
classify_joint_health,human_signature,human_q_minus_s__diary_mobility_context_pc4,0.5010542056975267,0.5010542056975267
classify_joint_health,human_plus_action,human_q_minus_s__diary_mobility_context_pc4,0.4936515992807428,0.4936515992807428
classify_joint_health,human_plus_action,human_q_minus_s__cash_pay25_near3_money_rumination_subj_z,0.47626659075327377,0.47626659075327377
classify_joint_health,human_plus_identity_action,human_q_minus_s__cash_pay25_post3_relief_home_subj_z,-0.4759345305164473,0.4759345305164473
classify_joint_health,human_plus_identity_action,source__abs_Q1,0.4744970626304352,0.4744970626304352
classify_joint_health,human_plus_action,human_q_minus_s__cash_pay25_post3_relief_home_subj_z,-0.4695600813841481,0.4695600813841481
classify_joint_health,human_plus_identity_action,human_q_minus_s__cash_pay25_near3_money_rumination_subj_z,0.46813631618998,0.46813631618998
classify_joint_health,human_signature,human_q_minus_s__cash_pay25_near3_money_rumination_subj_z,0.4672160840148232,0.4672160840148232
classify_joint_health,human_signature,human_q_minus_s__cash_pay25_pre7_budget_squeeze_subj_z,-0.4651771379949649,0.4651771379949649
classify_joint_health,human_plus_identity_action,human_signed__diary_mobility_context_pc4,-0.4621301639631569,0.4621301639631569
classify_joint_health,human_signature,human_signed__diary_mobility_context_pc4,-0.44772373286152634,0.44772373286152634
classify_joint_health,human_plus_action,human_signed__diary_diary_state_k10_0,-0.43380279067998484,0.43380279067998484
classify_joint_health,human_signature,human_signed__diary_diary_state_k10_0,-0.43047660927149,0.43047660927149
classify_joint_health,human_signature,human_signed__diary_bedtime_phone_pc4,0.4179125294720907,0.4179125294720907
classify_joint_health,human_signature,human_signed__diary_jepa_resid_dateblock_physiology_activity,-0.41294260618311607,0.41294260618311607
classify_joint_health,human_plus_action,source__abs_Q3,-0.41262503808861223,0.41262503808861223
classify_joint_health,human_plus_identity_action,source__abs_Q3,-0.4111540786241605,0.4111540786241605
classify_joint_health,human_plus_action,human_q_minus_s__cash_pay25_pre7_budget_squeeze_subj_z,-0.4083771022461252,0.4083771022461252
classify_joint_health,human_plus_identity_action,human_signed__cash_paymonth_start_post3_relief_home_subj_z,-0.4054962472365687,0.4054962472365687
classify_joint_health,human_signature,human_signed__diary_diary_state_k6_1,-0.4029563767885589,0.4029563767885589
classify_joint_health,human_signature,human_q_minus_s__cash_pay25_post3_relief_home_subj_z,-0.401888253718006,0.401888253718006
classify_joint_health,human_signature,human_signed__cash_paymonth_start_post3_relief_home_subj_z,-0.399299302181046,0.399299302181046
classify_joint_health,human_plus_identity_action,human_q_minus_s__cash_pay25_pre7_budget_squeeze_subj_z,-0.39304017888906473,0.39304017888906473
classify_joint_health,human_plus_action,human_absw__story_physical_fatigue,0.39276013204590704,0.39276013204590704
classify_joint_health,human_plus_action,human_signed__cash_paymonth_start_post3_relief_home_subj_z,-0.3923045666181044,0.3923045666181044
classify_joint_health,human_signature,human_signed__diary_physiology_activity_pc2,-0.3913387939923556,0.3913387939923556
classify_joint_health,human_signature,human_signed__diary_jepa_resid_dateblock_social_comm,-0.3871699979441641,0.3871699979441641
classify_joint_health,human_plus_action,human_signed__diary_physiology_activity_pc2,-0.3851677413115487,0.3851677413115487
classify_joint_health,human_plus_action,human_signed__diary_mobility_context_pc4,-0.38501664048842393,0.38501664048842393
classify_joint_health,human_plus_identity_action,human_absw__story_physical_fatigue,0.38483348782237586,0.38483348782237586
classify_joint_health,human_signature,human_signed__diary_diary_state_k4_1,-0.3844493482887938,0.3844493482887938
classify_joint_health,human_plus_identity_action,human_signed__diary_diary_state_k10_0,-0.38392274574342855,0.38392274574342855
classify_joint_health,human_plus_action,human_signed__diary_diary_state_k6_1,-0.38018454106166505,0.38018454106166505
classify_joint_health,human_signature,human_q_minus_s__diary_diary_state_k10_2,0.37698059344763873,0.37698059344763873
classify_joint_health,human_plus_action,human_signed__story_media_binge_late,-0.37694024639405227,0.37694024639405227
