prior,outcome,sub_idx,target,subject_id,hidden_block_id,lifelog_date,edge_distance,flip_rank,flip_benefit,support_label,subject_prior_y1,global_prior_y1,posterior_support_rate,posterior_label1_rate,support_rate_lift_vs_subject_prior
global,edge_or_stronger_win,133,S3,id06,id06_b2,2024-07-11,2,1,0.020333589154941,1,0.9583333333333334,0.6622222222222223,0.9117291414752116,0.9117291414752116,-0.04660419185812181
global,edge_or_stronger_win,145,S3,id06,id06_b8,2024-08-14,0,2,0.0197199567616581,1,0.9583333333333334,0.6622222222222223,0.9141475211608222,0.9141475211608222,-0.04418581217251116
global,edge_or_stronger_win,141,S3,id06,id06_b6,2024-08-09,0,3,0.0193484331585298,1,0.9583333333333334,0.6622222222222223,0.898428053204353,0.898428053204353,-0.05990528012898033
global,edge_or_stronger_win,39,S3,id02,id02_b2,2024-09-06,3,4,0.0188805364597103,1,0.8958333333333334,0.6622222222222223,0.9008464328899637,0.9008464328899637,0.005013099556630318
global,edge_or_stronger_win,215,S3,id09,id09_b4,2024-09-04,0,5,0.018486072142399,1,0.7073170731707317,0.6622222222222223,0.909310761789601,0.909310761789601,0.20199368861886935
global,edge_or_stronger_win,146,S3,id06,id06_b10,2024-08-19,0,6,0.0184824717931251,1,0.9583333333333334,0.6622222222222223,0.9032648125755743,0.9032648125755743,-0.05506852075775903
global,edge_or_stronger_win,235,S3,id10,id10_b2,2024-08-17,3,7,0.0184045224551778,1,0.48484848484848486,0.6622222222222223,0.8948004836759371,0.8948004836759371,0.40995199882745226
global,edge_or_stronger_win,120,S3,id05,id05_b6,2024-11-07,0,8,0.0178216646478344,0,0.13636363636363635,0.6622222222222223,0.6686819830713422,0.3313180169286578,-0.19495438056502146
global,edge_or_stronger_win,241,S3,id10,id10_b4,2024-09-17,2,9,0.017224091702018,0,0.48484848484848486,0.6622222222222223,0.6964933494558646,0.30350665054413545,0.18134183430434947
global,edge_or_stronger_win,8,S3,id01,id01_b2,2024-08-09,5,10,0.0163443551421569,1,0.8536585365853658,0.6622222222222223,0.8923821039903265,0.8923821039903265,0.038723567404960635
global,edge_or_stronger_win,57,S3,id02,id02_b4,2024-10-14,1,11,0.015987119957691,1,0.8958333333333334,0.6622222222222223,0.875453446191052,0.875453446191052,-0.02037988714228134
global,edge_or_stronger_win,12,S3,id01,id01_b2,2024-08-14,1,12,0.015941887666894,1,0.8536585365853658,0.6622222222222223,0.8694074969770254,0.8694074969770254,0.015748960391659517
global,edge_or_stronger_win,129,S3,id06,id06_b2,2024-07-07,1,13,0.0155335426296066,1,0.9583333333333334,0.6622222222222223,0.8935912938331319,0.8935912938331319,-0.06474203950020152
global,edge_or_stronger_win,86,S3,id04,id04_b6,2024-09-18,0,14,0.0154193822289822,0,0.543859649122807,0.6622222222222223,0.6336154776299879,0.36638452237001207,0.17747512675279498
