target,view_id,split,context_cols,teacher_resid_std,student_oof_r2,student_spearman,base_loss,aug_loss,actual_delta,null_best,null_median,null_q20,dominance,placebo_adjusted_vs_median,gate
Q2,jepa_resid,subject,32,0.529534051053269,-0.19553900047085437,-0.234482211434789,0.765899724395758,0.7356891080506113,-0.030210616345146768,-0.021406624239166838,0.0028981939091116127,-0.0025721150444223614,1.0,-0.03310881025425838,True
Q1,jepa_resid,dateblock,32,0.4908833672240929,-0.1664291773799762,-0.22120214585421824,0.6789693600090467,0.6531265876023047,-0.025842772406742043,-0.02603703318301931,-0.00012168419001035158,-0.008620066584655238,0.9583333333333334,-0.02572108821673169,True
S2,raw_day,subject,160,0.49872433951814304,-0.2963211493696083,0.20683460165235387,0.6986893302524716,0.6822372557578323,-0.016452074494639257,-0.01743335559009429,0.00030626463503719004,-0.009405309767174819,0.9583333333333334,-0.016758339129676447,True
S2,jepa_resid,dateblock,32,0.44483294615623337,-0.12233314266781137,-0.16597316529958175,0.5904046644709509,0.5761934463266343,-0.014211218144316584,-0.005020530274448487,0.0020184700966901503,-0.00021252264359155042,1.0,-0.016229688241006734,True
S1,family_jepa_story,subject,280,0.4778440073295617,-0.6333569744073546,0.17218962398168225,0.6566789899315844,0.6475513435130703,-0.009127646418514046,-0.005946189747767394,0.0013372552504740676,-0.0013492776726554243,1.0,-0.010464901668988114,True
S2,family,dateblock,40,0.44483294615623337,-0.1478243959804979,-0.12737965784193175,0.5904046644709509,0.5828530400049493,-0.00755162446600155,-0.006944294405319629,0.0006812649410432581,-0.0013908552352478452,1.0,-0.008232889407044808,True
S1,family_story,subject,248,0.4778440073295617,-0.593627915513278,0.11438298460733141,0.6566789899315844,0.6515704804980692,-0.0051085094335151515,-0.004324167934377954,0.0019350073403281431,-0.0005245588895313791,1.0,-0.007043516773843295,True
Q3,family,dateblock,40,0.4936303292657202,-0.18063398062798797,-0.15856150729962454,0.6845739000444798,0.6800667382050789,-0.004507161839400919,-0.006299788594895772,-8.559684780934385e-05,-0.0029890012546605503,0.875,-0.004421564991591576,True
Q2,family,subject,40,0.529534051053269,-0.3329701014680846,-0.1035484948896867,0.765899724395758,0.761606747817211,-0.004292976578546992,-0.016337430555411037,0.00038621563690194316,-0.003524472408027179,0.875,-0.004679192215448935,True
S2,family_story,subject,248,0.49872433951814304,-1.2746444211602355,-0.06828998332502054,0.6986893302524716,0.6948323787952333,-0.0038569514572383,-0.005772904641687782,0.0022176105184479877,0.00025274792621103896,0.9583333333333334,-0.006074561975686288,True
S1,story_bundle,dateblock,208,0.44112200097052084,-0.34116532652101195,0.10891411809441036,0.5818632837982721,0.5792252108461503,-0.002638072952121817,-0.002501328211675369,0.0013787454683487632,0.00039898851062130107,1.0,-0.00401681842047058,True
Q1,family_story,subject,248,0.5111074948842117,-0.532496553336798,0.1071317224611809,0.7184971884650593,0.7163100745598975,-0.002187113905161797,0.0005858109269252232,0.0019029532387131454,0.0010733323762930126,1.0,-0.0040900671438749425,True
S3,jepa_resid,dateblock,32,0.4222377105913364,-0.08924166273977918,-0.05718250460496102,0.533414861676673,0.5314964425865426,-0.0019184190901303522,-0.010865765398888283,0.0013502543409538714,0.0005061875926109407,0.9166666666666666,-0.0032686734310842236,True
S2,family,subject,40,0.49872433951814304,-0.2886501679157034,-0.04675308684651941,0.6986893302524716,0.6969319635565653,-0.001757366695906315,-0.0022345283425129203,0.0008799762127560951,-0.00043236873614438355,0.9166666666666666,-0.00263734290866241,True
Q3,story_bundle,subject,208,0.5084943398714247,-0.5869415714293214,0.0012924508269176642,0.717155065964102,0.7155605343864516,-0.0015945315776503266,-0.007229000878637315,0.00295178445033889,0.0010355248776034109,0.9166666666666666,-0.004546316027989217,True
S2,family_jepa_story,subject,280,0.49872433951814304,-1.5880756327725547,0.016009494697093157,0.6986893302524716,0.6975697145571347,-0.0011196156953369174,-0.0011990427452843733,0.0013164758817238997,-0.0005298662552527311,0.9583333333333334,-0.002436091577060817,True
