view_id,split,global_auc,global_logloss,within_auc_weighted,within_auc_unweighted,mixed_blocks,pairs,null_median,null_p90,null_dominance,row_placement_gate
calendar,subject_holdout,0.464606381273048,0.7268935733618608,0.5546558704453441,0.5618518518518519,60,494,0.49493927125506076,0.5323886639676113,0.9375,True
calendar,dateblock_holdout,0.5102212602212602,0.7132840423349839,0.5404858299595142,0.5582407407407408,60,494,0.49493927125506076,0.5394736842105263,0.8958333333333334,True
calendar,row_stratified5,0.5582311207311208,0.6958415053685559,0.5121457489878543,0.5247222222222222,60,494,0.5070850202429149,0.5475708502024292,0.5625,False
family_jepa,subject_holdout,0.4668710918710919,0.9874292633040279,0.4939271255060729,0.4660185185185185,60,494,0.5050607287449393,0.5536437246963563,0.3958333333333333,False
family_jepa,dateblock_holdout,0.5340307840307841,0.8045065266126102,0.5344129554655871,0.5556481481481481,60,494,0.5030364372469636,0.5435222672064777,0.8229166666666666,True
family_jepa,row_stratified5,0.5795254128587463,0.7616301676029849,0.4757085020242915,0.44935185185185184,60,494,0.49696356275303644,0.5364372469635628,0.2604166666666667,False
story_episode,subject_holdout,0.5093394260060926,0.740096822630321,0.5060728744939271,0.4984259259259259,60,494,0.5030364372469636,0.5465587044534413,0.5104166666666666,False
story_episode,dateblock_holdout,0.4908008658008658,0.7510453172090251,0.48380566801619435,0.49472222222222223,60,494,0.4979757085020243,0.5394736842105263,0.3333333333333333,False
story_episode,row_stratified5,0.5135281385281386,0.7335443163506943,0.5121457489878543,0.5255555555555556,60,494,0.492914979757085,0.5435222672064777,0.6666666666666666,False
family_jepa_dbdelta,subject_holdout,0.5205226871893539,0.8315861507453834,0.5506072874493927,0.5450925925925926,60,494,0.49696356275303644,0.5445344129554657,0.9375,True
family_jepa_dbdelta,dateblock_holdout,0.5336099086099085,0.8110033959262134,0.5748987854251012,0.5642592592592592,60,494,0.5030364372469636,0.5506072874493927,0.9791666666666666,True
family_jepa_dbdelta,row_stratified5,0.5173961840628507,0.8050559640311076,0.5850202429149798,0.56,60,494,0.4979757085020243,0.548582995951417,0.9791666666666666,True
story_episode_dbdelta,subject_holdout,0.5200016033349367,0.729485667206185,0.5161943319838057,0.5498148148148148,60,494,0.4939271255060729,0.5384615384615385,0.7291666666666666,False
story_episode_dbdelta,dateblock_holdout,0.5086580086580087,0.7341158771311173,0.5020242914979757,0.5318518518518519,60,494,0.5,0.5445344129554657,0.5208333333333334,False
story_episode_dbdelta,row_stratified5,0.48282427449094123,0.7437599459177876,0.5080971659919028,0.5180555555555555,60,494,0.4979757085020243,0.5435222672064777,0.5625,False
