hidden_block_id,subject_id,start,end,n_rows,target,raw_rate,raw_expected_count,count_band,count_lower,count_upper,scenario
id01_b2,id01,2024-07-30,2024-08-16,14,Q1,0.4602516106696382,6.443522549374935,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,Q2,0.557305262919554,7.802273680873755,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,Q3,0.5946069568108774,8.324497395352283,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,S1,0.6679342280013926,9.351079192019496,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,S2,0.6195641579958909,8.673898211942474,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,S3,0.820532578100575,11.48745609340805,,,,mixhard_gap_rawobj
id01_b2,id01,2024-07-30,2024-08-16,14,S4,0.49605260326160266,6.944736445662437,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,Q1,0.4357998575467689,5.665398148107996,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,Q2,0.5841379431608174,7.593793261090625,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,Q3,0.6324749474748232,8.222174317172701,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,S1,0.6733778146850441,8.753911590905574,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,S2,0.6465216038891467,8.404780850558907,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,S3,0.8286270363096813,10.772151472025856,,,,mixhard_gap_rawobj
id01_b4,id01,2024-09-01,2024-09-14,13,S4,0.5489025192558302,7.135732750325793,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,Q1,0.5252622869596713,8.40419659135474,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,Q2,0.6472598662080868,10.35615785932939,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,Q3,0.6927861471961265,11.084578355138024,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,S1,0.8632999582847333,13.812799332555732,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,S2,0.8659444884139555,13.855111814623289,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,S3,0.8318917101993154,13.310267363189046,,,,mixhard_gap_rawobj
id02_b2,id02,2024-08-25,2024-09-09,16,S4,0.6919409884519903,11.071055815231844,,,,mixhard_gap_rawobj
id02_b4,id02,2024-09-28,2024-10-15,16,Q1,0.5477849326711238,8.764558922737981,,,,mixhard_gap_rawobj
id02_b4,id02,2024-09-28,2024-10-15,16,Q2,0.6726095998189737,10.76175359710358,,,,mixhard_gap_rawobj
id02_b4,id02,2024-09-28,2024-10-15,16,Q3,0.704895984993751,11.278335759900015,,,,mixhard_gap_rawobj
