view_id,split,cluster6,n_test_rows,e247_q3_changed_rate,e256_vs_e247_q3_changed_rate,e247_q3_abs_logit_delta_mean,e256_vs_e247_q3_abs_logit_delta_mean,life_pc1_mean
family_jepa_context,subject5,0,122,0.10655737704918032,0.04918032786885246,0.0073413695481222814,0.003768263460856265,-0.9524612766658662
family_jepa_context,subject5,1,85,0.15294117647058825,0.07058823529411765,0.011811006798751427,0.0037299339038957195,0.2182639362156846
family_jepa_context,subject5,4,19,0.21052631578947367,0.05263157894736842,0.01278469219484274,0.0015987656416649688,-1.234070994309691
family_jepa_context,subject5,5,24,0.16666666666666666,0.16666666666666666,0.005947677823068591,0.005947677823068556,-0.2488626740163633
family_jepa_context,dateblock5,0,22,0.13636363636363635,0.13636363636363635,0.008978696220043986,0.007491033419903052,-2.330323070929673
family_jepa_context,dateblock5,1,68,0.08823529411764706,0.014705882352941176,0.007110243475463406,0.0017410888156164095,1.663425514451255
family_jepa_context,dateblock5,2,71,0.15492957746478872,0.11267605633802817,0.009820126264008484,0.0069517711176875704,-0.16829782304714924
family_jepa_context,dateblock5,3,31,0.16129032258064516,0.0,0.012345382815952157,0.0,0.09948786535849746
family_jepa_context,dateblock5,4,23,0.17391304347826086,0.17391304347826086,0.0062062725110280945,0.006206272511028059,1.2685566961012515
family_jepa_context,dateblock5,5,35,0.14285714285714285,0.02857142857142857,0.010900803121577235,0.0008679013483324117,-2.905788225172454
raw_human_context,subject5,1,159,0.11320754716981132,0.0880503144654088,0.00624968195519157,0.005008014605709282,0.24366619320132313
raw_human_context,subject5,3,67,0.13432835820895522,0.014925373134328358,0.00972568322331961,0.0011446908284032228,-0.7532308981546053
raw_human_context,subject5,5,24,0.2916666666666667,0.08333333333333333,0.026663161474273934,0.003205197132920353,-0.4854784886691143
raw_human_context,dateblock5,0,14,0.21428571428571427,0.07142857142857142,0.02014363505482399,0.002169753370831029,-0.9677200825018045
raw_human_context,dateblock5,1,45,0.15555555555555556,0.08888888888888889,0.010850646360609426,0.004175677268878452,-0.5611704840993591
raw_human_context,dateblock5,2,93,0.15053763440860216,0.053763440860215055,0.010355316701135204,0.0028343993006019735,0.8874493099306269
raw_human_context,dateblock5,3,98,0.10204081632653061,0.07142857142857142,0.005631649510407285,0.0047756344872829795,-0.22387422908151555
hybrid_context,subject5,0,5,0.2,0.0,0.01741582263520215,0.0,-0.07857201782142054
hybrid_context,subject5,1,149,0.14093959731543623,0.08053691275167785,0.008837723358878178,0.004796120739461536,0.010058770471265695
hybrid_context,subject5,2,12,0.4166666666666667,0.16666666666666666,0.034116501810498974,0.006510076469785335,-0.23026339735676604
hybrid_context,subject5,3,57,0.07017543859649122,0.05263157894736842,0.003191744651076218,0.0027570251084857427,1.2774969616509546
hybrid_context,subject5,4,27,0.1111111111111111,0.0,0.010741063767935434,0.0,0.7762472702078475
hybrid_context,dateblock5,0,59,0.06779661016949153,0.0,0.006254859186326933,0.0,1.954535300200768
hybrid_context,dateblock5,2,26,0.15384615384615385,0.11538461538461539,0.007415968924184687,0.004601597149691623,-0.8895181066043192
hybrid_context,dateblock5,3,24,0.25,0.041666666666666664,0.016903569130069337,0.0012656894663181002,0.546513392572284
hybrid_context,dateblock5,4,36,0.2222222222222222,0.16666666666666666,0.014392336307431959,0.007914147434546865,0.5370802859901791
hybrid_context,dateblock5,5,105,0.11428571428571428,0.06666666666666667,0.007614994590563261,0.004904437697843586,-1.2878702453540096
