selector,group_type,group,selected_n,group_n,selected_rate
e230_risk21,subject_id,id02,6,32,0.1875
e230_risk21,lifelog_weekday,0,6,37,0.16216216216216217
e230_risk21,subject_id,id01,5,27,0.18518518518518517
e230_risk21,subject_id,id03,3,21,0.14285714285714285
e230_risk21,lifelog_weekday,6,3,33,0.09090909090909091
e230_risk21,lifelog_weekday,5,3,35,0.08571428571428572
e230_risk21,lifelog_weekday,4,3,36,0.08333333333333333
e230_risk21,lifelog_weekday,2,3,37,0.08108108108108109
e230_risk21,subject_id,id10,2,22,0.09090909090909091
e230_risk21,subject_id,id06,2,24,0.08333333333333333
e230_risk21,subject_id,id07,2,30,0.06666666666666667
e230_risk21,lifelog_weekday,1,2,39,0.05128205128205128
e230_risk21,subject_id,id09,1,27,0.037037037037037035
e230_risk21,lifelog_weekday,3,1,33,0.030303030303030304
e230_risk21,subject_id,id04,0,27,0.0
e230_risk21,subject_id,id05,0,21,0.0
e230_risk21,subject_id,id08,0,19,0.0
e230_risk21_only_not_e237,subject_id,id02,4,32,0.125
e230_risk21_only_not_e237,lifelog_weekday,0,4,37,0.10810810810810811
e230_risk21_only_not_e237,subject_id,id03,3,21,0.14285714285714285
e230_risk21_only_not_e237,lifelog_weekday,4,2,36,0.05555555555555555
e230_risk21_only_not_e237,lifelog_weekday,2,2,37,0.05405405405405406
e230_risk21_only_not_e237,subject_id,id06,1,24,0.041666666666666664
e230_risk21_only_not_e237,subject_id,id01,1,27,0.037037037037037035
e230_risk21_only_not_e237,subject_id,id07,1,30,0.03333333333333333
e230_risk21_only_not_e237,lifelog_weekday,6,1,33,0.030303030303030304
e230_risk21_only_not_e237,lifelog_weekday,5,1,35,0.02857142857142857
e230_risk21_only_not_e237,subject_id,id04,0,27,0.0
e230_risk21_only_not_e237,subject_id,id05,0,21,0.0
e230_risk21_only_not_e237,subject_id,id08,0,19,0.0
e230_risk21_only_not_e237,subject_id,id09,0,27,0.0
e230_risk21_only_not_e237,subject_id,id10,0,22,0.0
e230_risk21_only_not_e237,lifelog_weekday,1,0,39,0.0
e230_risk21_only_not_e237,lifelog_weekday,3,0,33,0.0
e230_swing25,subject_id,id08,5,19,0.2631578947368421
e230_swing25,lifelog_weekday,0,5,37,0.13513513513513514
e230_swing25,lifelog_weekday,5,4,35,0.11428571428571428
e230_swing25,lifelog_weekday,4,4,36,0.1111111111111111
e230_swing25,lifelog_weekday,2,4,37,0.10810810810810811
e230_swing25,subject_id,id10,3,22,0.13636363636363635
e230_swing25,subject_id,id06,3,24,0.125
e230_swing25,subject_id,id04,3,27,0.1111111111111111
e230_swing25,subject_id,id07,3,30,0.1
e230_swing25,subject_id,id02,3,32,0.09375
e230_swing25,lifelog_weekday,3,3,33,0.09090909090909091
e230_swing25,lifelog_weekday,6,3,33,0.09090909090909091
e230_swing25,subject_id,id03,2,21,0.09523809523809523
e230_swing25,subject_id,id09,2,27,0.07407407407407407
e230_swing25,lifelog_weekday,1,2,39,0.05128205128205128
e230_swing25,subject_id,id01,1,27,0.037037037037037035
e230_swing25,subject_id,id05,0,21,0.0
e237_drop,lifelog_weekday,1,6,39,0.15384615384615385
e237_drop,subject_id,id10,5,22,0.22727272727272727
e237_drop,subject_id,id01,5,27,0.18518518518518517
e237_drop,lifelog_weekday,4,5,36,0.1388888888888889
e237_drop,subject_id,id09,4,27,0.14814814814814814
e237_drop,subject_id,id07,4,30,0.13333333333333333
e237_drop,lifelog_weekday,5,4,35,0.11428571428571428
e237_drop,lifelog_weekday,0,4,37,0.10810810810810811
e237_drop,subject_id,id08,3,19,0.15789473684210525
e237_drop,subject_id,id02,2,32,0.0625
e237_drop,lifelog_weekday,3,2,33,0.06060606060606061
e237_drop,lifelog_weekday,6,2,33,0.06060606060606061
e237_drop,lifelog_weekday,2,2,37,0.05405405405405406
e237_drop,subject_id,id05,1,21,0.047619047619047616
e237_drop,subject_id,id06,1,24,0.041666666666666664
e237_drop,subject_id,id03,0,21,0.0
e237_drop,subject_id,id04,0,27,0.0
e237_only_not_risk21,lifelog_weekday,4,4,36,0.1111111111111111
e237_only_not_risk21,lifelog_weekday,1,4,39,0.10256410256410256
e237_only_not_risk21,subject_id,id08,3,19,0.15789473684210525
e237_only_not_risk21,subject_id,id10,3,22,0.13636363636363635
e237_only_not_risk21,subject_id,id09,3,27,0.1111111111111111
e237_only_not_risk21,subject_id,id07,3,30,0.1
e237_only_not_risk21,lifelog_weekday,5,2,35,0.05714285714285714
e237_only_not_risk21,lifelog_weekday,0,2,37,0.05405405405405406
e237_only_not_risk21,subject_id,id05,1,21,0.047619047619047616
e237_only_not_risk21,subject_id,id01,1,27,0.037037037037037035
e237_only_not_risk21,lifelog_weekday,3,1,33,0.030303030303030304
e237_only_not_risk21,lifelog_weekday,2,1,37,0.02702702702702703
e237_only_not_risk21,subject_id,id02,0,32,0.0
e237_only_not_risk21,subject_id,id03,0,21,0.0
e237_only_not_risk21,subject_id,id04,0,27,0.0
e237_only_not_risk21,subject_id,id06,0,24,0.0
e237_only_not_risk21,lifelog_weekday,6,0,33,0.0
e237_only_not_swing25,lifelog_weekday,1,5,39,0.1282051282051282
e237_only_not_swing25,subject_id,id01,4,27,0.14814814814814814
e237_only_not_swing25,subject_id,id10,2,22,0.09090909090909091
e237_only_not_swing25,subject_id,id09,2,27,0.07407407407407407
e237_only_not_swing25,subject_id,id07,2,30,0.06666666666666667
e237_only_not_swing25,lifelog_weekday,4,2,36,0.05555555555555555
e237_only_not_swing25,lifelog_weekday,0,2,37,0.05405405405405406
e237_only_not_swing25,subject_id,id05,1,21,0.047619047619047616
e237_only_not_swing25,subject_id,id02,1,32,0.03125
e237_only_not_swing25,lifelog_weekday,3,1,33,0.030303030303030304
e237_only_not_swing25,lifelog_weekday,5,1,35,0.02857142857142857
e237_only_not_swing25,lifelog_weekday,2,1,37,0.02702702702702703
e237_only_not_swing25,subject_id,id03,0,21,0.0
e237_only_not_swing25,subject_id,id04,0,27,0.0
e237_only_not_swing25,subject_id,id06,0,24,0.0
e237_only_not_swing25,subject_id,id08,0,19,0.0
e237_only_not_swing25,lifelog_weekday,6,0,33,0.0
e237_overlap_risk21,subject_id,id01,4,27,0.14814814814814814
e237_overlap_risk21,subject_id,id10,2,22,0.09090909090909091
e237_overlap_risk21,subject_id,id02,2,32,0.0625
e237_overlap_risk21,lifelog_weekday,6,2,33,0.06060606060606061
e237_overlap_risk21,lifelog_weekday,5,2,35,0.05714285714285714
e237_overlap_risk21,lifelog_weekday,0,2,37,0.05405405405405406
e237_overlap_risk21,lifelog_weekday,1,2,39,0.05128205128205128
e237_overlap_risk21,subject_id,id06,1,24,0.041666666666666664
e237_overlap_risk21,subject_id,id09,1,27,0.037037037037037035
e237_overlap_risk21,subject_id,id07,1,30,0.03333333333333333
e237_overlap_risk21,lifelog_weekday,3,1,33,0.030303030303030304
e237_overlap_risk21,lifelog_weekday,4,1,36,0.027777777777777776
e237_overlap_risk21,lifelog_weekday,2,1,37,0.02702702702702703
e237_overlap_risk21,subject_id,id03,0,21,0.0
e237_overlap_risk21,subject_id,id04,0,27,0.0
e237_overlap_risk21,subject_id,id05,0,21,0.0
e237_overlap_risk21,subject_id,id08,0,19,0.0
e237_overlap_swing25,subject_id,id08,3,19,0.15789473684210525
e237_overlap_swing25,subject_id,id10,3,22,0.13636363636363635
e237_overlap_swing25,lifelog_weekday,5,3,35,0.08571428571428572
e237_overlap_swing25,lifelog_weekday,4,3,36,0.08333333333333333
e237_overlap_swing25,subject_id,id09,2,27,0.07407407407407407
e237_overlap_swing25,subject_id,id07,2,30,0.06666666666666667
e237_overlap_swing25,lifelog_weekday,6,2,33,0.06060606060606061
e237_overlap_swing25,lifelog_weekday,0,2,37,0.05405405405405406
e237_overlap_swing25,subject_id,id06,1,24,0.041666666666666664
e237_overlap_swing25,subject_id,id01,1,27,0.037037037037037035
e237_overlap_swing25,subject_id,id02,1,32,0.03125
e237_overlap_swing25,lifelog_weekday,3,1,33,0.030303030303030304
e237_overlap_swing25,lifelog_weekday,2,1,37,0.02702702702702703
e237_overlap_swing25,lifelog_weekday,1,1,39,0.02564102564102564
e237_overlap_swing25,subject_id,id03,0,21,0.0
e237_overlap_swing25,subject_id,id04,0,27,0.0
e237_overlap_swing25,subject_id,id05,0,21,0.0
