target,case,n_blocks,n_rows,block_rate_mean,block_rate_std,row_weighted_rate
Q1,diff01,9,87,0.44436026936026934,0.23686629381937963,0.4482758620689655
Q1,diff10,6,60,0.47222222222222227,0.10028146288719586,0.4666666666666667
Q1,next0,5,50,0.3422222222222222,0.19706488246573656,0.34
Q1,next1,5,45,0.5768253968253969,0.2282970134037021,0.5777777777777777
Q1,prev0,6,50,0.577020202020202,0.2959451594369191,0.56
Q1,prev1,4,35,0.6401515151515151,0.15030556741369058,0.6285714285714286
Q1,same0,7,55,0.354421768707483,0.18170127242114512,0.34545454545454546
Q1,same1,8,68,0.6837301587301587,0.25121617762643106,0.6470588235294118
Q2,diff01,6,55,0.5884920634920635,0.15117745642394506,0.5818181818181818
Q2,diff10,9,77,0.6226551226551227,0.3147767330005574,0.6363636363636364
Q2,next0,4,39,0.42678571428571427,0.32734144783297414,0.38461538461538464
Q2,next1,6,56,0.49801587301587297,0.3117184945380537,0.5178571428571429
Q2,prev0,4,31,0.5902777777777778,0.23905436775081257,0.6129032258064516
Q2,prev1,6,54,0.7264309764309765,0.17113231423323055,0.7222222222222222
Q2,same0,5,47,0.3826551226551227,0.21550953649761442,0.3617021276595745
Q2,same1,10,91,0.5921789321789321,0.27976973454005144,0.5824175824175825
Q3,diff01,8,74,0.6828373015873016,0.21261101079006015,0.6891891891891891
Q3,diff10,10,85,0.5492135642135643,0.14900132097415447,0.5294117647058824
Q3,next0,3,26,0.5888888888888889,0.3715167443844553,0.5384615384615384
Q3,next1,7,69,0.5482993197278911,0.10308772600051752,0.5507246376811594
Q3,prev0,4,28,0.5208333333333333,0.20518453753741886,0.5357142857142857
Q3,prev1,6,57,0.7098063973063974,0.16427477208015775,0.7017543859649122
Q3,same0,4,35,0.5860840548340549,0.2672615272300675,0.6
Q3,same1,8,76,0.611562049062049,0.289419817982966,0.6052631578947368
S1,diff01,6,53,0.5354737854737855,0.1817716107444075,0.5283018867924528
S1,diff10,6,54,0.6247895622895623,0.22041469206892192,0.5925925925925926
S1,next0,1,12,0.4166666666666667,0.0,0.4166666666666667
S1,next1,9,83,0.7241622574955908,0.1825646448353057,0.7349397590361446
S1,prev0,5,41,0.6022727272727273,0.09425655160603509,0.6097560975609756
S1,prev1,5,44,0.8636363636363636,0.12567540214138015,0.8636363636363636
S1,same0,3,21,0.49801587301587297,0.26727597151324645,0.5238095238095238
S1,same1,15,142,0.7466762866762867,0.20165113072442165,0.7535211267605634
S2,diff01,4,36,0.5877525252525253,0.03741828664832688,0.5833333333333334
S2,diff10,3,20,0.5,0.05832118435198042,0.5
S2,next0,3,23,0.3703703703703704,0.19237734352061206,0.34782608695652173
S2,next1,7,72,0.7579365079365079,0.15498356125086138,0.7638888888888888
S2,prev0,4,31,0.38446969696969696,0.09868496568267446,0.3870967741935484
S2,prev1,6,54,0.6616161616161617,0.2548378951826841,0.6666666666666666
S2,same0,6,46,0.3511904761904761,0.23099817269994008,0.34782608695652173
S2,same1,17,168,0.8123143196672608,0.17126065477431357,0.8035714285714286
S3,diff01,4,32,0.5560064935064934,0.1195002586390865,0.5625
S3,diff10,5,40,0.5178571428571429,0.31385351876652023,0.525
S3,next0,5,44,0.5507936507936508,0.29515274410589104,0.5681818181818182
S3,next1,5,51,0.8511111111111112,0.1119082516623482,0.8431372549019608
S3,prev0,4,34,0.5183080808080808,0.18734050965964288,0.5294117647058824
S3,prev1,6,51,0.686026936026936,0.21467080802079241,0.7058823529411765
S3,same0,5,43,0.37619047619047613,0.2123427493103574,0.37209302325581395
S3,same1,16,155,0.7926136363636364,0.20120777494507291,0.7806451612903226
S4,diff01,10,95,0.5394444444444445,0.20934942906697476,0.5368421052631579
S4,diff10,4,36,0.4512987012987013,0.2770795275687829,0.4722222222222222
S4,next0,3,24,0.47142857142857136,0.1718249385968449,0.5
S4,next1,7,71,0.630952380952381,0.18719730753297137,0.647887323943662
S4,prev0,4,33,0.3058712121212121,0.18690360844526854,0.30303030303030304
S4,prev1,6,52,0.7043350168350168,0.18642797794503096,0.6923076923076923
S4,same0,6,50,0.36640211640211645,0.16453771707379466,0.38
S4,same1,10,89,0.6765800865800866,0.1791391421654333,0.6853932584269663
