pool,base_agg,delta_agg,gate,n,pool_size,pool_support_mean,gate_active_q2s3,gate_weight_q2s3_mean,strict_gate,deployable_gate,loose_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
top75_heldout_mean,mean,signed_p75,none,6,75,1.64,1.0,1.0,1,0,2,1,-1.0055969577260626e-05,-5.164115944422676e-06,7.559492425368575e-06,3,3,-0.00047790713162695897,-0.0004136019279208148,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,weighted_mean,none,6,13,1.4615384615384615,1.0,1.0,0,0,3,1,-1.009159765119616e-05,-5.326065198540952e-06,1.0624113152668535e-05,3,3,-0.00041212629265754974,-0.00034734016308482496,0.8333333333333334
translator_tail_soft_p90_m0.50,median,signed_p75,top_abs50,6,13,1.4615384615384615,0.158,0.158,0,0,3,0,-9.973531805984592e-06,-5.745838814741333e-06,1.1784208253873274e-05,3,3,-0.0003910433023813012,-0.0002813426163084554,0.7222222222222222
translator_tail_soft_p90_m1.00,median,signed_p75,top_abs50,6,25,1.36,0.142,0.142,0,0,3,0,-9.77318837036556e-06,-5.154073905777601e-06,6.264654270782266e-06,3,3,-0.000538294605398823,-0.0003827535881673228,0.6944444444444444
translator_tail_soft_p90_m0.50,mean,mean,top_abs50,6,13,1.4615384615384615,0.166,0.166,0,0,3,0,-9.699737803958719e-06,-4.934205351303511e-06,9.87491326909229e-06,3,3,-0.0005234100734269193,-0.0004319755688249494,0.7222222222222222
translator_tail_soft_p90_m0.50,mean,signed_p75,top_abs30,6,13,1.4615384615384615,0.094,0.094,0,0,3,0,-9.484054269037756e-06,-4.718521816382548e-06,8.434921931588235e-06,3,3,-0.00039546529735553365,-0.0002763092996786176,0.5555555555555556
top75_heldout_mean,mean,mean,top_abs30,6,75,1.64,0.1,0.1,0,0,3,0,-9.215934146045157e-06,-4.324080513207207e-06,6.726932959777443e-06,3,3,-0.0004439047354567252,-0.0003346898056113157,0.6111111111111112
translator_tail_soft_p90_m0.50,median,mean,top_abs50,6,13,1.4615384615384615,0.166,0.166,0,0,3,0,-9.192272616198593e-06,-4.964579624955334e-06,1.2088610949589906e-05,3,3,-0.0005234100734269193,-0.0004323039830903539,0.7222222222222222
top50_heldout_mean,mean,mean,top_abs30,6,50,1.84,0.1,0.1,0,0,3,0,-9.158069968040472e-06,-4.357202493254775e-06,7.127026603770403e-06,3,3,-0.0004600256994749044,-0.0003273541179591832,0.6111111111111112
support2_top50,mean,mean,top_abs30,6,50,2.0,0.1,0.1,0,0,3,0,-9.094715900159756e-06,-4.348154617028754e-06,7.0468703625703455e-06,3,3,-0.00043717401991457544,-0.00030952141372161414,0.6111111111111112
support2,mean,mean,top_abs30,6,51,2.0,0.1,0.1,0,0,3,0,-9.086588729112499e-06,-4.340912587719181e-06,7.048642349682943e-06,3,3,-0.00043238531903821986,-0.00030605638411340674,0.6111111111111112
high_block,mean,signed_p75,top_abs30,6,47,1.7659574468085106,0.096,0.096,0,0,3,0,-9.080374474890185e-06,-4.3219646135295164e-06,7.657595095578174e-06,3,3,-0.00043831761072718467,-0.0003247542131291914,0.5833333333333334
top50_heldout_mean,median,mean,top_abs30,6,50,1.84,0.1,0.1,0,0,3,0,-9.059641820963193e-06,-4.400290847694777e-06,6.484864715328165e-06,3,3,-0.00046002569947487665,-0.00032879656664542276,0.6111111111111112
translator_tail_soft_p90_m1.00,mean,weighted_mean,top_abs30,6,25,1.36,0.1,0.1,0,0,3,0,-9.05734425726834e-06,-4.103760282925251e-06,7.4487637387044e-06,3,3,-0.0004691253452291516,-0.0003179784385248408,0.5833333333333334
support2_high_block,mean,weighted_mean,top_abs30,6,36,2.0,0.1,0.1,0,0,3,0,-9.022492092225498e-06,-4.265721277318946e-06,8.651665504899597e-06,3,3,-0.000374947991317362,-0.00024554815478475267,0.5555555555555556
top75_heldout_mean,median,mean,top_abs30,6,75,1.64,0.1,0.1,0,0,3,0,-9.012035434574628e-06,-4.338984613161401e-06,6.271734314000632e-06,3,3,-0.00044390473545666276,-0.00033256211402220574,0.6111111111111112
support2,median,mean,top_abs30,6,51,2.0,0.1,0.1,0,0,3,0,-9.004464325168549e-06,-4.394440906052566e-06,6.49518444395536e-06,3,3,-0.00043238531903816435,-0.0003078026341204077,0.6111111111111112
high_block,mean,weighted_mean,top_abs30,6,47,1.7659574468085106,0.1,0.1,0,0,3,0,-8.99999640791016e-06,-4.241586546549492e-06,8.599497243966248e-06,3,3,-0.0003818163354707485,-0.00026604182949441766,0.5555555555555556
support2_top50,median,mean,top_abs30,6,50,2.0,0.1,0.1,0,0,3,0,-8.991423373405638e-06,-4.397945336465092e-06,6.5076771073036e-06,3,3,-0.0004371740199145477,-0.00031122420439476644,0.6111111111111112
translator_tail_soft_p90_m0.50,median,signed_p75,top_abs30,6,13,1.4615384615384615,0.094,0.094,0,0,3,0,-8.985982405063098e-06,-4.758289413819838e-06,1.069311153767405e-05,3,3,-0.00039546529735553365,-0.0002745557253534703,0.5555555555555556
translator_tail_soft_p90_m1.00,mean,mean,top_abs30,6,25,1.36,0.1,0.1,0,0,3,0,-8.913275898803086e-06,-3.959691924459996e-06,7.466195876326687e-06,3,3,-0.00046308205095527133,-0.00032377915533706174,0.5555555555555556
high_block,median,signed_p75,top_abs30,6,47,1.7659574468085106,0.096,0.096,0,0,3,0,-8.909473484308705e-06,-4.346592772375146e-06,6.7674753346791405e-06,3,3,-0.00043831761072721936,-0.0003255235505712883,0.5833333333333334
translator_tail_soft_p90_m1.00,median,weighted_mean,top_abs30,6,25,1.36,0.1,0.1,0,0,3,0,-8.768757228660995e-06,-4.149642764073036e-06,6.403915107977554e-06,3,3,-0.00046912534522912386,-0.00031823812213656604,0.5833333333333334
translator_tail_soft_p90_m0.50,mean,weighted_mean,top_abs30,6,13,1.4615384615384615,0.1,0.1,0,0,3,0,-8.703646354635275e-06,-3.938113901980067e-06,9.5579827884551e-06,3,3,-0.00039821901283080413,-0.00027798127572361,0.5833333333333334
translator_tail_soft_p90_m1.00,median,mean,top_abs30,6,25,1.36,0.1,0.1,0,0,3,0,-8.623259240891912e-06,-4.004144776303953e-06,6.420568666509752e-06,3,3,-0.0004630820509552644,-0.000324782357747283,0.5555555555555556
translator_tail_soft_p90_m1.00,mean,signed_p75,none,6,25,1.36,1.0,1.0,0,0,2,2,-1.0618171367382523e-05,-5.664587393039433e-06,8.351757324942533e-06,3,3,-0.00047048543939732373,-0.0003948557892678561,0.8333333333333334
top75_heldout_mean,median,mean,s3_only,6,75,1.64,0.5,0.5,0,0,2,1,-1.0458548234892895e-05,-5.785497413479668e-06,7.643790834732656e-06,3,3,-0.00019178295263155148,-9.0214017692547e-05,0.7777777777777778
support2_top50,mean,mean,s3_only,6,50,2.0,0.5,0.5,0,0,2,1,-1.0456939567027312e-05,-5.710378283896311e-06,8.207298127560492e-06,3,3,-0.00019235381139150187,-8.740123289662795e-05,0.7777777777777778
support2,mean,mean,s3_only,6,51,2.0,0.5,0.5,0,0,2,2,-1.0451504835362613e-05,-5.705828693969295e-06,8.207512201874323e-06,3,3,-0.00019030402555999387,-8.658699183108345e-05,0.7777777777777778
translator_tail_soft_p90_m1.00,median,signed_p75,none,6,25,1.36,1.0,1.0,0,0,2,2,-1.0326610028865701e-05,-5.7074955642777425e-06,7.316633890419588e-06,3,3,-0.00047048543939730986,-0.0003953325654732498,0.8333333333333334
support2,median,mean,s3_only,6,51,2.0,0.5,0.5,0,0,2,1,-1.0292122774258061e-05,-5.682099355142078e-06,7.654036339066472e-06,3,3,-0.00019030402555995918,-8.707856579996958e-05,0.7777777777777778
support2_top50,median,mean,s3_only,6,50,2.0,0.5,0.5,0,0,2,1,-1.0280455306821423e-05,-5.686977269880877e-06,7.668090785117876e-06,3,3,-0.00019235381139149493,-8.780874523573443e-05,0.7777777777777778
all_unique,median,mean,s3_only,6,104,1.4903846153846154,0.5,0.5,0,0,2,1,-1.022879551637601e-05,-5.526414652012868e-06,7.283369276134266e-06,3,3,-0.00018936325120934294,-8.460963718755492e-05,0.7777777777777778
translator_tail_soft_p90_m0.50,median,signed_p75,none,6,13,1.4615384615384615,1.0,1.0,0,0,2,1,-1.0223170090251088e-05,-5.995477099007829e-06,1.270745665793438e-05,3,3,-0.0003720236954747047,-0.0002952078516327173,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,mean,none,6,13,1.4615384615384615,1.0,1.0,0,0,2,1,-1.0138027140338401e-05,-5.372494687683194e-06,1.0663734562821325e-05,3,3,-0.00040698791116110244,-0.0003445178039018337,0.8333333333333334
support2,mean,mean,top_abs50,6,51,2.0,0.166,0.166,0,0,2,1,-1.0011604241189076e-05,-5.265928099795758e-06,7.478935573956846e-06,3,3,-0.0004000541401915844,-0.00029739473827415934,0.75
top75_heldout_mean,mean,mean,top_abs50,6,75,1.64,0.166,0.166,0,0,2,0,-9.995395955919584e-06,-5.1035423230816335e-06,7.1324405588324424e-06,3,3,-0.0004213135071617913,-0.0003303087921791238,0.7222222222222222
support2_top50,mean,mean,top_abs50,6,50,2.0,0.166,0.166,0,0,2,0,-9.983145180525455e-06,-5.236583897394453e-06,7.4822880562486205e-06,3,3,-0.00040385129040827056,-0.00030029896632071686,0.75
high_block,median,signed_p75,top_abs50,6,47,1.7659574468085106,0.158,0.158,0,0,2,0,-9.931397629392436e-06,-5.3685169174588765e-06,7.685623003683695e-06,3,3,-0.0004389680133319307,-0.00034319729900715297,0.7222222222222222
all_unique,median,weighted_mean,s3_only,6,104,1.4903846153846154,0.5,0.5,0,0,2,0,-9.925448925751645e-06,-5.223068061388503e-06,7.153274632853979e-06,3,3,-0.00022164186881783177,-9.362408948530572e-05,0.7777777777777778
top75_heldout_mean,median,signed_p75,none,6,75,1.64,1.0,1.0,0,0,2,0,-9.917128781511408e-06,-5.244077960098181e-06,7.104443957905993e-06,3,3,-0.0004779071316268896,-0.00041186002671164137,0.8333333333333334
support2,median,mean,top_abs50,6,51,2.0,0.166,0.166,0,0,2,0,-9.914538501520909e-06,-5.304515082404926e-06,6.925494466680782e-06,3,3,-0.0004000541401915497,-0.0002986722133478171,0.75
top50_heldout_mean,mean,signed_p75,none,6,50,1.84,1.0,1.0,0,0,2,0,-9.895577577356818e-06,-5.0947101025711206e-06,7.964898261825226e-06,3,3,-0.00046140671548033224,-0.000381535453149734,0.8333333333333334
all_unique,median,mean,none,6,104,1.4903846153846154,1.0,1.0,0,0,2,0,-9.880670022943683e-06,-5.17828915858054e-06,6.742842215579081e-06,3,3,-0.0004604686866398894,-0.0003891836996078035,0.8333333333333334
translator_tail_soft_p90_m1.00,median,weighted_mean,top_abs50,6,25,1.36,0.166,0.166,0,0,2,0,-9.876958373400413e-06,-5.257843908812454e-06,6.742215756139203e-06,3,3,-0.0004813622520675048,-0.00040014663423996186,0.7222222222222222
translator_tail_soft_p90_m1.00,mean,mean,top_abs50,6,25,1.36,0.166,0.166,0,0,2,0,-9.866910615774493e-06,-4.913326641431404e-06,7.961265773182014e-06,3,3,-0.00047659348736327906,-0.00038771312424371604,0.7222222222222222
support2_top50,median,mean,top_abs50,6,50,2.0,0.166,0.166,0,0,2,0,-9.856939668040354e-06,-5.263461631099808e-06,6.943123124103501e-06,3,3,-0.00040385129040823586,-0.0003013833761231987,0.75
top75_heldout_mean,median,mean,top_abs50,6,75,1.64,0.166,0.166,0,0,2,0,-9.84511932355936e-06,-5.172068502146132e-06,6.677304556390595e-06,3,3,-0.0004213135071617427,-0.0003289675383770065,0.7222222222222222
support2,mean,signed_p75,none,6,51,2.0,1.0,1.0,0,0,2,0,-9.839806577760513e-06,-5.094130436367195e-06,7.92077175770789e-06,3,3,-0.0004169106978351711,-0.00033471991455036884,0.8333333333333334
support2_top50,mean,signed_p75,none,6,50,2.0,1.0,1.0,0,0,2,0,-9.831871476073673e-06,-5.085310192942671e-06,7.945417761390239e-06,3,3,-0.0004219271972015978,-0.00033975457551929113,0.8333333333333334
high_block,mean,weighted_mean,top_abs50,6,47,1.7659574468085106,0.166,0.166,0,0,2,0,-9.80816332629697e-06,-5.049753464936302e-06,9.00883880150527e-06,3,3,-0.0003691603087733475,-0.0002881303948720326,0.7222222222222222
all_unique,mean,mean,top_abs50,6,104,1.4903846153846154,0.166,0.166,0,0,2,0,-9.800953011396274e-06,-4.907658682662408e-06,6.766464844432107e-06,3,3,-0.00042264225916915227,-0.0003449794977116393,0.7222222222222222
top50_heldout_mean,median,signed_p75,none,6,50,1.84,1.0,1.0,0,0,2,0,-9.797616181139723e-06,-5.1382652078713065e-06,7.322879973181706e-06,3,3,-0.0004614067154803392,-0.0003816920008012925,0.8333333333333334
top75_heldout_mean,mean,weighted_mean,top_abs50,6,75,1.64,0.166,0.166,0,0,2,0,-9.783757218495559e-06,-4.891903585657609e-06,7.214958483769962e-06,3,3,-0.0004741121539834567,-0.00037144482991108285,0.75
support2,median,signed_p75,none,6,51,2.0,1.0,1.0,0,0,2,0,-9.77951953751166e-06,-5.169496118395678e-06,7.3674280504087974e-06,3,3,-0.0004169106978351364,-0.0003357328604081556,0.8333333333333334
support2,mean,weighted_mean,top_abs50,6,51,2.0,0.166,0.166,0,0,2,0,-9.770032797229433e-06,-5.024356655836115e-06,7.38761299268198e-06,3,3,-0.0004657375361990859,-0.0003560273504375432,0.75
support2_high_block,mean,weighted_mean,top_abs50,6,36,2.0,0.166,0.166,0,0,2,0,-9.758417579330825e-06,-5.001646764424272e-06,9.048264052013977e-06,3,3,-0.0003633822867950137,-0.00028077234063118004,0.7222222222222222
support2_top50,mean,weighted_mean,top_abs50,6,50,2.0,0.166,0.166,0,0,2,0,-9.756865897658784e-06,-5.010304614527783e-06,7.395210175897837e-06,3,3,-0.000468316931876038,-0.0003580840899757743,0.75
support2_high_block,mean,mean,top_abs50,6,36,2.0,0.166,0.166,0,0,2,0,-9.74590081881388e-06,-4.989130003907327e-06,9.069257335903025e-06,3,3,-0.0003357932620220716,-0.0002570204124905716,0.7222222222222222
translator_tail_soft_p90_m0.50,mean,weighted_mean,top_abs50,6,13,1.4615384615384615,0.166,0.166,0,0,2,0,-9.735192419091376e-06,-4.9696599664361685e-06,9.910115946309972e-06,3,3,-0.00035800656347737686,-0.0002910978367200278,0.7222222222222222
support2_top50,median,signed_p75,none,6,50,2.0,1.0,1.0,0,0,2,0,-9.73504689161242e-06,-5.141568854671874e-06,7.406347271254887e-06,3,3,-0.00042192719720160476,-0.00034020653478625804,0.8333333333333334
high_block,mean,mean,top_abs50,6,47,1.7659574468085106,0.166,0.166,0,0,2,0,-9.719765487581356e-06,-4.961355626220687e-06,8.996366085645136e-06,3,3,-0.0003447362686437999,-0.0002686368352364521,0.7222222222222222
support2,median,weighted_mean,top_abs50,6,51,2.0,0.166,0.166,0,0,2,0,-9.681002842265585e-06,-5.070979423149602e-06,6.8341310345276796e-06,3,3,-0.00046573753619905123,-0.00035771589861713924,0.75
high_block,median,weighted_mean,top_abs50,6,47,1.7659574468085106,0.166,0.166,0,0,2,0,-9.654600650943479e-06,-5.09171993900992e-06,8.10219518432298e-06,3,3,-0.00036916030877334055,-0.00028880735426868305,0.7222222222222222
support2_top50,median,weighted_mean,top_abs50,6,50,2.0,0.166,0.166,0,0,2,0,-9.651263371157626e-06,-5.05778533421708e-06,6.861702167570982e-06,3,3,-0.0004683169318760172,-0.0003593006443367462,0.75
support2_high_block,median,weighted_mean,top_abs50,6,36,2.0,0.166,0.166,0,0,2,0,-9.648168662224066e-06,-5.077818781229482e-06,8.098096774156183e-06,3,3,-0.0003633822867949721,-0.00028303966324398915,0.7222222222222222
translator_tail_soft_p90_m0.50,median,mean,none,6,13,1.4615384615384615,1.0,1.0,0,0,2,0,-9.628117676463432e-06,-5.400424685220173e-06,1.2887065214073345e-05,3,3,-0.0004069879111611163,-0.00034606295009720323,0.8333333333333334
all_unique,mean,weighted_mean,none,6,104,1.4903846153846154,1.0,1.0,0,0,2,0,-9.625914091926369e-06,-4.732619763192503e-06,7.119350632245336e-06,3,3,-0.0003473003409870043,-0.0002891515165071633,0.8333333333333334
support2_high_block,median,mean,top_abs50,6,36,2.0,0.166,0.166,0,0,2,0,-9.619185979969913e-06,-5.048836098975329e-06,8.119109045079398e-06,3,3,-0.00033579326202207854,-0.00025982173925669376,0.7222222222222222
all_unique,median,mean,top_abs50,6,104,1.4903846153846154,0.166,0.166,0,0,2,0,-9.612799415470441e-06,-4.910418551107298e-06,6.4178456595787026e-06,3,3,-0.0004226422591691176,-0.0003435270760619002,0.7222222222222222
translator_tail_soft_p90_m1.00,median,mean,top_abs50,6,25,1.36,0.166,0.166,0,0,2,0,-9.606983080612252e-06,-4.9878686160242935e-06,6.911824986910453e-06,3,3,-0.0004765934873632513,-0.0003873831546985173,0.7222222222222222
top75_heldout_mean,median,weighted_mean,top_abs50,6,75,1.64,0.166,0.166,0,0,2,0,-9.602767070626683e-06,-4.929716249213456e-06,6.759763916841521e-06,3,3,-0.0004741121539834012,-0.0003698993861760702,0.75
translator_tail_soft_p90_m0.50,median,weighted_mean,none,6,13,1.4615384615384615,1.0,1.0,0,0,2,0,-9.58324234057173e-06,-5.35554934932847e-06,1.2847429169071667e-05,3,3,-0.00041212629265754974,-0.00034829411539313826,0.8333333333333334
high_block,median,mean,top_abs50,6,47,1.7659574468085106,0.166,0.166,0,0,2,0,-9.581646846390512e-06,-5.018766134456953e-06,8.09103134769007e-06,3,3,-0.000344736268643793,-0.00026928512512254814,0.7222222222222222
all_unique,mean,median,none,6,104,1.4903846153846154,1.0,1.0,0,0,2,0,-9.51711043151171e-06,-4.623816102777845e-06,7.6738932722753e-06,3,3,-0.00033856417828634355,-0.00026534410352111446,0.75
top75_heldout_mean,mean,signed_p75,top_abs50,6,75,1.64,0.144,0.144,0,0,2,0,-9.512787163323821e-06,-4.620933530485871e-06,7.016497363454555e-06,3,3,-0.0004018225888925489,-0.00032313206555922304,0.6944444444444444
translator_tail_soft_p90_m0.50,mean,signed_p75,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,2,0,-9.511638428771896e-06,-4.746105976116688e-06,1.0569802384230442e-05,3,3,-0.00032496350909810845,-0.0002856575196300392,0.8055555555555556
high_block,mean,mean,soft_agree_top50,6,47,1.7659574468085106,0.158,0.1517872340425532,0,0,2,0,-9.371025876947492e-06,-4.6126160155868234e-06,9.158520189456176e-06,3,3,-0.00033512728275610776,-0.00027028407324508055,0.7222222222222222
high_block,median,signed_p75,soft_agree_top50,6,47,1.7659574468085106,0.146,0.1397872340425532,0,0,2,0,-9.35799489099054e-06,-4.795114179056981e-06,7.979834618865311e-06,3,3,-0.0004177058284042176,-0.00034396476396231224,0.7222222222222222
top75_heldout_mean,median,signed_p75,top_abs50,6,75,1.64,0.144,0.144,0,0,2,0,-9.34876740354973e-06,-4.675716582136502e-06,6.561357454581973e-06,3,3,-0.0004018225888924934,-0.00032169762572373814,0.6944444444444444
all_unique,mean,median,top_abs50,6,104,1.4903846153846154,0.112,0.112,0,0,2,0,-9.332302984832452e-06,-4.439008656098586e-06,7.397324848890108e-06,3,3,-0.0002958230423037861,-0.0002125812609009791,0.6111111111111112
support2_top50,mean,mean,agree55,6,50,2.0,0.224,0.224,0,0,2,0,-9.330462649836946e-06,-4.583901366705945e-06,8.032680230418698e-06,3,3,-0.0004130865317637303,-0.00033049696854086665,0.7777777777777778
support2,mean,mean,agree55,6,51,2.0,0.224,0.224,0,0,2,0,-9.325049904695959e-06,-4.579373763302641e-06,8.027019667511404e-06,3,3,-0.00040969878775373725,-0.00032794771564536034,0.7777777777777778
top50_heldout_mean,mean,median,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,2,0,-9.322910290654463e-06,-4.522042815868765e-06,8.296897758608424e-06,3,3,-0.0003460448525692897,-0.0002523413728111601,0.7777777777777778
all_unique,median,median,none,6,104,1.4903846153846154,1.0,1.0,0,0,2,0,-9.316942343073897e-06,-4.614561478710755e-06,7.328582321219912e-06,3,3,-0.00033856417828634355,-0.0002645857924290951,0.75
translator_tail_soft_p90_m0.50,mean,signed_p75,soft_agree_top50,6,13,1.4615384615384615,0.138,0.12707692307692306,0,0,2,0,-9.291723030546706e-06,-4.526190577891498e-06,1.0009184913339908e-05,3,3,-0.0003497764124328548,-0.0002799731050419697,0.7222222222222222
high_block,mean,median,top_abs50,6,47,1.7659574468085106,0.126,0.126,0,0,2,0,-9.289884895458123e-06,-4.531475034097454e-06,9.096116578066749e-06,3,3,-0.00027805147349068554,-0.00018776347521334835,0.6666666666666666
top50_heldout_mean,mean,mean,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,2,0,-9.286388563678472e-06,-4.485521088892774e-06,8.035213143520181e-06,3,3,-0.0003984228619604985,-0.00032611551146979325,0.7777777777777778
top50_heldout_mean,mean,median,soft_signed_sq,6,50,1.84,0.226,0.16083519999999996,0,0,2,0,-9.279463036970803e-06,-4.478595562185106e-06,8.087294746994544e-06,3,3,-0.00031136364708089087,-0.00022873932225715428,0.7777777777777778
all_unique,mean,signed_p75,top_abs50,6,104,1.4903846153846154,0.144,0.144,0,0,2,0,-9.2665031290462e-06,-4.373208800312334e-06,7.074676200979901e-06,3,3,-0.0004109245068193712,-0.00033548802038683707,0.7222222222222222
support2,median,mean,agree55,6,51,2.0,0.224,0.224,0,0,2,0,-9.250750574008038e-06,-4.640727154892055e-06,7.47364791164884e-06,3,3,-0.00040969878775370255,-0.0003293351788763888,0.7777777777777778
high_block,median,weighted_mean,soft_agree_top50,6,47,1.7659574468085106,0.156,0.1497872340425532,0,0,2,0,-9.24667326296369e-06,-4.68379255103013e-06,8.305879441672381e-06,3,3,-0.0003571508450828653,-0.00028442476173683455,0.7222222222222222
high_block,median,mean,soft_agree_top50,6,47,1.7659574468085106,0.158,0.1517872340425532,0,0,2,0,-9.224373727523272e-06,-4.661493015589713e-06,8.269961159435013e-06,3,3,-0.0003351272827561147,-0.00027071032903925327,0.7222222222222222
translator_tail_soft_p90_m0.50,median,weighted_mean,top_abs50,6,13,1.4615384615384615,0.166,0.166,0,0,2,0,-9.211533098629765e-06,-4.983840107386506e-06,1.2120074191823704e-05,3,3,-0.00035800656347737686,-0.0002914262509852827,0.7222222222222222
top50_heldout_mean,mean,mean,soft_agree_top50,6,50,1.84,0.148,0.12647999999999998,0,0,2,0,-9.193570119414574e-06,-4.392702644628876e-06,7.847437388130984e-06,3,3,-0.0003720502044223528,-0.0002968354189196165,0.6666666666666666
top50_heldout_mean,median,mean,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,2,0,-9.192787139733483e-06,-4.533436166465066e-06,7.393166780333971e-06,3,3,-0.0003984228619604846,-0.00032708225096128585,0.7777777777777778
top50_heldout_mean,median,median,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,2,0,-9.189307174972683e-06,-4.529956201704266e-06,7.654379251653687e-06,3,3,-0.00034604485256928275,-0.00025313953365593833,0.7777777777777778
