pool,base_agg,delta_agg,gate,n,pool_size,pool_support_mean,gate_active_q2s3,gate_weight_q2s3_mean,strict_gate,deployable_gate,loose_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
translator_tail_soft_p90_m1.00,mean,signed_p75,top_abs50,6,25,1.36,0.142,0.142,2,2,3,2,-1.0062614015593496e-05,-5.109030041250406e-06,7.3102708197936295e-06,3,3,-0.0005382946053988508,-0.0003828723786867994,0.6944444444444444
translator_tail_soft_p90_m0.50,mean,signed_p75,top_abs50,6,13,1.4615384615384615,0.158,0.158,1,1,3,2,-1.0545787970772658e-05,-5.78025551811745e-06,9.529141069219982e-06,3,3,-0.0003910433023813012,-0.00028095661097282134,0.7222222222222222
top75_heldout_mean,mean,mean,s3_only,6,75,1.64,0.5,0.5,1,1,2,3,-1.0673853597875649e-05,-5.7819999650376985e-06,8.099037320796754e-06,3,3,-0.0001917829526315723,-8.901333473010364e-05,0.7777777777777778
all_unique,mean,mean,s3_only,6,104,1.4903846153846154,0.5,0.5,1,1,2,2,-1.0435494286031854e-05,-5.5421999572979885e-06,7.632051737149759e-06,3,3,-0.000189363251209336,-8.395410751970149e-05,0.7777777777777778
all_unique,mean,weighted_mean,s3_only,6,104,1.4903846153846154,0.5,0.5,1,1,2,1,-1.0138801381343043e-05,-5.245507052609177e-06,7.501960628042426e-06,3,3,-0.0002216418688178387,-9.542961601533549e-05,0.7777777777777778
translator_tail_soft_p90_m1.00,mean,weighted_mean,top_abs50,6,25,1.36,0.166,0.166,1,1,2,1,-1.0114316290721348e-05,-5.160732316378258e-06,7.793838744940551e-06,3,3,-0.0004813622520675326,-0.00040047660378514935,0.7222222222222222
top50_heldout_mean,mean,mean,top_abs50,6,50,1.84,0.166,0.166,1,1,2,1,-1.0109837003335898e-05,-5.3089695285502e-06,7.49513748909969e-06,3,3,-0.00042988364253716826,-0.00032570997234241945,0.75
high_block,mean,signed_p75,top_abs50,6,47,1.7659574468085106,0.158,0.158,1,1,2,1,-1.0030267413863037e-05,-5.271857552502368e-06,8.601880141512197e-06,3,3,-0.00043896801333193763,-0.00034242796156501703,0.7222222222222222
top50_heldout_mean,median,mean,top_abs50,6,50,1.84,0.166,0.166,1,1,2,1,-1.0014976949745957e-05,-5.3556259764775405e-06,6.853005726781269e-06,3,3,-0.00042988364253714745,-0.00032658061521717574,0.75
translator_tail_soft_p90_m0.50,mean,signed_p75,none,6,13,1.4615384615384615,1.0,1.0,1,0,2,3,-1.0821660890503182e-05,-6.056128437847974e-06,1.0483946957018375e-05,3,3,-0.0003720236954747047,-0.0002948794373673236,0.8333333333333334
top50_heldout_mean,mean,mean,none,6,50,1.84,1.0,1.0,1,0,2,2,-1.0363837681159893e-05,-5.562970206374196e-06,7.90408337103532e-06,3,3,-0.0004696923421048105,-0.00037013637291110615,0.8333333333333334
top75_heldout_mean,mean,mean,none,6,75,1.64,1.0,1.0,1,0,2,2,-1.0337601630494575e-05,-5.445747997656625e-06,7.538273307128307e-06,3,3,-0.00046487199610442675,-0.0003821152747152891,0.8333333333333334
support2,mean,mean,none,6,51,2.0,1.0,1.0,1,0,2,2,-1.0311655323835822e-05,-5.565979182442504e-06,7.751923662757676e-06,3,3,-0.00043603375079153545,-0.00034144632166981386,0.8333333333333334
support2_top50,mean,mean,none,6,50,2.0,1.0,1.0,1,0,2,2,-1.028042441519883e-05,-5.533863132067829e-06,7.757220088944194e-06,3,3,-0.0004397063997778894,-0.0003441074480600437,0.8333333333333334
top50_heldout_mean,median,mean,none,6,50,1.84,1.0,1.0,1,0,2,2,-1.0270172813520162e-05,-5.610821840251745e-06,7.261982081452345e-06,3,3,-0.0004696923421047758,-0.00037100701578577917,0.8333333333333334
support2,median,mean,none,6,51,2.0,1.0,1.0,1,0,2,2,-1.021982364479701e-05,-5.6098002256810275e-06,7.198488332194053e-06,3,3,-0.000436033750791473,-0.00034253732525063043,0.8333333333333334
top75_heldout_mean,median,mean,none,6,75,1.64,1.0,1.0,1,0,2,2,-1.0194040030997442e-05,-5.520989209584215e-06,7.083160935561494e-06,3,3,-0.0004648719961043782,-0.0003817515292759534,0.8333333333333334
support2_top50,median,mean,none,6,50,2.0,1.0,1.0,1,0,2,2,-1.0169965000139669e-05,-5.576486963199123e-06,7.218064826064463e-06,3,3,-0.00043970639977786857,-0.0003450062919893081,0.8333333333333334
all_unique,mean,mean,none,6,104,1.4903846153846154,1.0,1.0,1,0,2,1,-1.009416724429002e-05,-5.200872915556154e-06,7.091461460162485e-06,3,3,-0.0004604686866398963,-0.00038991260358798847,0.8333333333333334
