gate_class,component,fail_rate,fail_count,rows
missing_actionable,fail_action_active_q2s3,0.9901960784313726,101,102
missing_actionable,fail_action_cos,0.49019607843137253,50,102
missing_actionable,fail_action_e72,0.0,0,102
missing_actionable,fail_action_material,0.0,0,102
missing_actionable,fail_relaxed_margin,0.0,0,102
missing_actionable,fail_relaxed_all_beats,0.0,0,102
missing_actionable,fail_relaxed_set_mean,0.0,0,102
missing_actionable,fail_relaxed_tail,0.0,0,102
missing_actionable,fail_relaxed_hidden,0.0,0,102
missing_actionable,fail_relaxed_world,0.0,0,102
missing_actionable,fail_relaxed_raw,0.0,0,102
missing_relaxed,fail_relaxed_world,1.0,1,1
missing_relaxed,fail_relaxed_raw,1.0,1,1
missing_relaxed,fail_action_cos,0.0,0,1
missing_relaxed,fail_action_active_q2s3,0.0,0,1
missing_relaxed,fail_action_e72,0.0,0,1
missing_relaxed,fail_action_material,0.0,0,1
missing_relaxed,fail_relaxed_margin,0.0,0,1
missing_relaxed,fail_relaxed_all_beats,0.0,0,1
missing_relaxed,fail_relaxed_set_mean,0.0,0,1
missing_relaxed,fail_relaxed_tail,0.0,0,1
missing_relaxed,fail_relaxed_hidden,0.0,0,1
other,fail_action_cos,0.7295642779978394,2026,2777
other,fail_relaxed_set_mean,0.6795102628736046,1887,2777
other,fail_action_e72,0.602088584803745,1672,2777
other,fail_action_active_q2s3,0.5235866042491898,1454,2777
other,fail_relaxed_tail,0.24234785740007203,673,2777
other,fail_action_material,0.1317969031328772,366,2777
other,fail_relaxed_raw,0.12603528988116672,350,2777
other,fail_relaxed_world,0.07093986316168527,197,2777
other,fail_relaxed_hidden,0.005761613251710479,16,2777
other,fail_relaxed_all_beats,0.0018005041411595247,5,2777
other,fail_relaxed_margin,0.0,0,2777
