feature_block,feature,coef_actual_identity,abs_coef
human_plus_shape,human_signed__story_low_hr_recovery_subj_z,0.304177486822982,0.304177486822982
human_signature,human_signed__story_low_hr_recovery_subj_z,0.30279232166250186,0.30279232166250186
human_signature,human_active__cash_payeom_post3_late_shopping_subj_z,0.2702579068259222,0.2702579068259222
human_plus_shape,human_active__cash_payeom_post3_late_shopping_subj_z,0.26152319345775105,0.26152319345775105
human_signature,human_absw__story_quiet_dark_bedtime_subj_z,-0.23841208346775344,0.23841208346775344
human_plus_shape,human_absw__story_quiet_dark_bedtime_subj_z,-0.2368339956066748,0.2368339956066748
human_signature,human_absw__diary_diary_state_k10_2,0.23412672561831818,0.23412672561831818
human_plus_shape,human_absw__diary_diary_state_k10_2,0.23308484394079512,0.23308484394079512
human_signature,human_signed__story_late_search_spiral,0.2052786902328607,0.2052786902328607
human_plus_shape,human_signed__story_late_search_spiral,0.2018268420052015,0.2018268420052015
human_plus_shape,human_signed__story_late_search_spiral_subj_z,0.19186602799597977,0.19186602799597977
human_signature,human_signed__story_late_search_spiral_subj_z,0.1908711774974847,0.1908711774974847
human_signature,human_q_minus_s__story_presleep_msg_drag_subj_z,0.18734875074997553,0.18734875074997553
human_plus_shape,human_q_minus_s__story_presleep_msg_drag_subj_z,0.1850662470658956,0.1850662470658956
human_plus_shape,human_signed__diary_physiology_activity_pc2,0.18364086048194458,0.18364086048194458
human_signature,human_signed__diary_physiology_activity_pc2,0.18194756830882855,0.18194756830882855
human_signature,human_signed__story_morning_after_badnight,0.1783884541472501,0.1783884541472501
human_signature,human_signed__cash_paymonth_start_near3_money_rumination_subj_z,0.17740375710994466,0.17740375710994466
human_plus_shape,human_signed__cash_paymonth_start_near3_money_rumination_subj_z,0.17507588032628638,0.17507588032628638
human_plus_shape,human_signed__diary_jepa_prednorm_subject_physiology_activity,-0.17330992253782238,0.17330992253782238
human_signature,human_signed__diary_jepa_prednorm_dateblock_cognitive_money,0.1726262059127944,0.1726262059127944
human_plus_shape,human_signed__story_morning_after_badnight,0.1724908826510048,0.1724908826510048
human_signature,human_signed__diary_jepa_prednorm_subject_physiology_activity,-0.17192959545085754,0.17192959545085754
human_plus_shape,human_signed__cash_payeom_near3_money_rumination_active,-0.17179390825342142,0.17179390825342142
human_plus_shape,human_signed__cash_payeom_pre3_cash_stress_subj_z,-0.1707047491976722,0.1707047491976722
human_plus_shape,human_signed__diary_social_comm_energy,-0.17046341823167888,0.17046341823167888
human_signature,human_signed__story_late_msg_call_subj_z,-0.16986856359608177,0.16986856359608177
human_plus_shape,human_absw__cash_paymonth_start_pre3_cash_stress_subj_z,-0.16959093593578858,0.16959093593578858
human_signature,human_q_minus_s__diary_physiology_activity_pc4,0.1693771940288843,0.1693771940288843
human_plus_shape,human_signed__diary_jepa_prednorm_dateblock_cognitive_money,0.16932546747626875,0.16932546747626875
human_signature,human_signed__diary_social_comm_energy,-0.16890165677196803,0.16890165677196803
human_signature,human_absw__story_overtraining_arousal,-0.16852667177066202,0.16852667177066202
human_signature,human_signed__cash_payeom_near3_money_rumination_active,-0.16844448416781582,0.16844448416781582
human_signature,human_absw__cash_paymonth_start_pre3_cash_stress_subj_z,-0.16835779035960396,0.16835779035960396
human_plus_shape,human_q_minus_s__diary_physiology_activity_pc4,0.16787303774977938,0.16787303774977938
human_plus_shape,human_absw__cash_payeom_post3_late_shopping_subj_z,0.1675482482569619,0.1675482482569619
human_plus_shape,human_absw__story_overtraining_arousal,-0.16732692427315224,0.16732692427315224
human_plus_shape,human_signed__story_late_msg_call_subj_z,-0.1672473036352388,0.1672473036352388
human_signature,human_signed__diary_physiology_activity_pc1,0.16698260711593302,0.16698260711593302
human_plus_shape,human_signed__cash_payeom_near3_money_rumination_subj_z,-0.16650822154610567,0.16650822154610567
human_signature,human_signed__cash_payeom_pre3_cash_stress_subj_z,-0.16647155563149948,0.16647155563149948
human_signature,human_absw__cash_payeom_post3_late_shopping_subj_z,0.16603525109059786,0.16603525109059786
human_signature,human_signed__cash_payeom_near3_money_rumination_subj_z,-0.16392942930352888,0.16392942930352888
human_plus_shape,human_signed__diary_physiology_activity_pc1,0.16329251151403934,0.16329251151403934
human_signature,human_absw__story_media_binge_late,-0.1629241966926637,0.1629241966926637
human_plus_shape,human_absw__story_media_binge_late,-0.16179105377671288,0.16179105377671288
human_signature,human_signed__story_weekend_social_jetlag,0.1610880105957262,0.1610880105957262
human_signature,human_absw__diary_physiology_activity_pc2,0.16040925162943123,0.16040925162943123
human_plus_shape,human_absw__diary_physiology_activity_pc2,0.16019475651567477,0.16019475651567477
human_signature,human_active__cash_pay10_pre3_cash_stress_subj_z,-0.15919366181984984,0.15919366181984984
