feature_block,feature,coef_actual_identity,abs_coef
human_plus_shape,human_active__cash_pay10_pre3_cash_stress_subj_z,-0.1589089250966443,0.1589089250966443
human_signature,human_signed__story_weekend_social_jetlag_subj_z,0.15821371921763103,0.15821371921763103
human_plus_shape,human_signed__cash_pay15_pre7_budget_squeeze_active,-0.15644811601306552,0.15644811601306552
human_plus_shape,human_signed__story_weekend_social_jetlag,0.15560890025657642,0.15560890025657642
human_plus_shape,human_q_minus_s__diary_jepa_resid_dateblock_routine_calendar,-0.15318283036628721,0.15318283036628721
human_plus_shape,human_signed__story_weekend_social_jetlag_subj_z,0.1527933403536115,0.1527933403536115
human_signature,human_signed__cash_pay15_pre7_budget_squeeze_active,-0.1526818312282445,0.1526818312282445
human_signature,human_q_minus_s__diary_jepa_resid_dateblock_routine_calendar,-0.15023081388920115,0.15023081388920115
human_signature,human_q_minus_s__cash_pay15_post7_spend_outing_active,0.1434700932756408,0.1434700932756408
human_plus_shape,human_q_minus_s__cash_pay15_post7_spend_outing_active,0.1425253532538632,0.1425253532538632
human_plus_shape,human_signed__diary_routine_calendar_pc4,0.14197188936768074,0.14197188936768074
human_plus_shape,human_absw__cash_paymonth_start_near3_money_rumination_subj_z,0.14178297211211482,0.14178297211211482
human_signature,human_absw__cash_paymonth_start_near3_money_rumination_subj_z,0.14164317112049457,0.14164317112049457
human_signature,human_q_minus_s__diary_diary_state_k10_2,-0.13948314461136116,0.13948314461136116
human_plus_shape,human_q_minus_s__diary_diary_state_k10_2,-0.1389176234963518,0.1389176234963518
human_signature,human_signed__diary_routine_calendar_pc4,0.13707067271563367,0.13707067271563367
human_plus_shape,human_signed__story_low_hr_recovery,0.13700288334898328,0.13700288334898328
human_plus_shape,human_absw__cash_paymonth_start_post7_spend_outing_active,-0.1369731996247694,0.1369731996247694
human_plus_shape,human_absw__cash_monthstart_spending_reset_active,-0.1369731996247694,0.1369731996247694
human_signature,human_signed__diary_bedtime_phone_pc1,-0.13686011878237614,0.13686011878237614
human_signature,human_q_minus_s__story_deepnight_phone_awake,-0.13511321573332888,0.13511321573332888
human_signature,human_q_minus_s__story_deepnight_phone_awake_subj_z,-0.1350877346644706,0.1350877346644706
human_plus_shape,human_signed__diary_jepa_prednorm_dateblock_physiology_activity,-0.1345066338837979,0.1345066338837979
human_signature,human_signed__diary_jepa_prednorm_dateblock_physiology_activity,-0.1335508048877371,0.1335508048877371
human_plus_shape,human_signed__diary_bedtime_phone_pc1,-0.13353346248569326,0.13353346248569326
human_plus_shape,human_signed__story_finance_shopping_stress,0.13345443466442364,0.13345443466442364
human_signature,human_signed__story_bright_light_late_subj_z,-0.13311019247647352,0.13311019247647352
human_signature,human_signed__story_finance_shopping_stress,0.13252252171164158,0.13252252171164158
human_signature,human_absw__cash_paymonth_start_post7_spend_outing_active,-0.13222836217929543,0.13222836217929543
human_signature,human_absw__cash_monthstart_spending_reset_active,-0.13222836217929543,0.13222836217929543
human_plus_shape,human_absw__cash_payeom_post3_spend_outing_subj_z,0.1307434706064771,0.1307434706064771
human_signature,human_signed__story_low_hr_recovery,0.13072791795157346,0.13072791795157346
human_plus_shape,human_signed__story_media_binge_late,-0.13070001756511299,0.13070001756511299
human_plus_shape,human_q_minus_s__story_deepnight_phone_awake,-0.1292380161106691,0.1292380161106691
human_plus_shape,human_signed__story_bright_light_late_subj_z,-0.1282512017269345,0.1282512017269345
human_plus_shape,human_q_minus_s__story_deepnight_phone_awake_subj_z,-0.12815593436899028,0.12815593436899028
human_signature,human_absw__cash_payeom_post3_spend_outing_subj_z,0.1270603261302396,0.1270603261302396
human_signature,human_signed__story_media_binge_late,-0.12665784012599338,0.12665784012599338
human_signature,human_q_minus_s__diary_mobility_context_pc2,-0.12548275935096165,0.12548275935096165
human_plus_shape,human_q_minus_s__diary_mobility_context_pc2,-0.12527843660467597,0.12527843660467597
human_signature,human_signed__diary_bedtime_phone_pc3,0.12397759361222861,0.12397759361222861
human_plus_shape,human_q_minus_s__story_single_app_monotony_subj_z,0.12368849282718723,0.12368849282718723
human_signature,human_active__diary_sensor_measurement_pc2,-0.12208096533060654,0.12208096533060654
human_plus_shape,human_q_minus_s__story_media_binge_late_subj_z,-0.12186768835053424,0.12186768835053424
human_signature,human_q_minus_s__story_single_app_monotony_subj_z,0.12168009825375892,0.12168009825375892
human_signature,human_signed__diary_diary_state_k10_2,0.11913871297210805,0.11913871297210805
human_signature,human_q_minus_s__story_media_binge_late_subj_z,-0.11907068510869957,0.11907068510869957
human_signature,human_q_minus_s__diary_jepa_prednorm_subject_routine_calendar,0.11887099621865409,0.11887099621865409
human_signature,human_q_minus_s__diary_diary_state_k8_6,-0.11798569517753105,0.11798569517753105
human_plus_shape,human_q_minus_s__story_screen_fragmentation_subj_z,-0.11795817296800491,0.11795817296800491
