translator,n,anchor_beats_mixmin,anchor_margin,hidden_guard,best_anchor_delta,median_anchor_delta,best_max_set_delta_vs_mixmin,best_hidden_core_delta,best_q2_gate_mean,best_s3_gate_mean,best_candidate,beats_base,tail_neutral_beats_base,best_anchor_minus_base,median_anchor_minus_base,best_max_set_minus_base
tail_meanneg_m1.00,432,387,0,432,-6.9331421930218795e-06,-2.8113096835480356e-06,9.701541200834995e-06,-0.0006453004091110659,0.268,0.208,toward_teacher|all|tail_meanneg_m1.00|raw_agree|grad_core_top50|all|flat|s0.095|c0.120,432,0,-2.659031834495451e-06,-5.172729533597931e-07,1.4940229853266374e-07
tail_meanneg_m0.50,432,373,0,432,-6.778414311181535e-06,-2.618669777132432e-06,9.757509412344767e-06,-0.0007167918909474214,0.106,0.06,toward_teacher|all|tail_meanneg_m0.50|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,0,-1.8186960484278814e-06,-3.0727183997214524e-07,6.637723881652846e-08
tail_p90_nonpos_m1.00,432,360,0,432,-6.587005333624774e-06,-2.6919433145367044e-06,7.97128489149479e-06,-0.000690470629822415,0.032,0.028,toward_teacher|all|tail_p90_nonpos_m1.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,360,-1.8720565927443644e-06,-2.8315882916185586e-07,-1.071907853589238e-06
tail_soft_p90_m1.00,432,358,0,432,-6.450684077452529e-06,-2.506839652971493e-06,8.215043662773702e-06,-0.0006873787671954346,0.03477732141319366,0.014540405807099031,toward_teacher|all|tail_soft_p90_m1.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,284,-1.081535141556067e-06,-1.8092383624601638e-07,-4.2525438448404174e-07
tail_p90_nonpos_m0.50,432,346,0,432,-6.317785993470437e-06,-2.4954121410347696e-06,8.035632051650587e-06,-0.0006822944537157316,0.016,0.014,toward_teacher|all|tail_p90_nonpos_m0.50|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,381,-1.0487756704202766e-06,-1.4804764508768997e-07,-6.051451834077071e-07
tail_soft_max_m1.00,432,340,0,432,-6.232581363008194e-06,-2.4053101301824142e-06,8.323991060987801e-06,-0.0006819237336893325,0.01896811359948401,0.009570656686320782,toward_teacher|all|tail_soft_max_m1.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,156,-7.042901769560572e-07,-1.042945402263129e-07,-1.5725257385135194e-07
tail_soft_p90_m0.50,432,341,0,432,-6.230319649414007e-06,-2.377749012849595e-06,8.191873538843097e-06,-0.0006807052096450827,0.01738866070659683,0.0072702029035495155,toward_teacher|all|tail_soft_p90_m0.50|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,316,-5.548000351351945e-07,-9.198893308193234e-08,-2.274958889048051e-07
tail_soft_max_m0.50,432,332,0,432,-6.117772033853441e-06,-2.338061693640814e-06,8.251574945328244e-06,-0.0006779723094413048,0.009484056799742005,0.004785328343160391,toward_teacher|all|tail_soft_max_m0.50|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,432,168,-3.602271251290645e-07,-5.312205980656515e-08,-8.615301638759121e-08
tail_max_nonpos_m1.00,360,298,0,360,-6.055180963970841e-06,-2.6206974106379732e-06,8.131239171205173e-06,-0.0006749392908184104,0.0,0.004,toward_teacher|all|tail_max_nonpos_m1.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,360,288,-7.173323547382537e-07,-7.180464484113358e-08,-4.5337918319621195e-07
tail_max_nonpos_m0.50,360,298,0,360,-6.025942393961259e-06,-2.557170583561419e-06,8.15814140842086e-06,-0.0006744767810710206,0.0,0.002,toward_teacher|all|tail_max_nonpos_m0.50|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,360,288,-3.778839889889696e-07,-3.641289786360247e-08,-2.2799676524520862e-07
no_q2_s3,432,328,0,432,-5.9949435344819335e-06,-2.2824486393124843e-06,8.187496626010926e-06,-0.0006740129233492598,0.0,0.0,toward_teacher|all|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,0,0,0.0,0.0,0.0
uniform_q20.05_s30.05,432,324,0,432,-5.964804982716565e-06,-2.259004343807547e-06,8.578276464499268e-06,-0.0006810673131822653,0.05,0.05,toward_teacher|all|uniform_q20.05_s30.05|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,0,0,3.084394073482599e-09,2.0492087915435775e-08,4.207135195777312e-08
uniform_q20.10_s30.10,432,319,0,432,-5.92361978579703e-06,-2.211103678040338e-06,8.980284633475222e-06,-0.000688110459142327,0.1,0.1,toward_teacher|all|uniform_q20.10_s30.10|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,0,0,7.37261263150657e-09,4.3239051950028085e-08,8.44563625701511e-08
uniform_q20.20_s30.00,432,313,0,432,-5.913381061040113e-06,-2.2648950494530418e-06,8.687864581302662e-06,-0.0006944038662135832,0.2,0.0,toward_teacher|all|uniform_q20.20_s30.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,21,0,-7.55614026903828e-09,3.378944385401539e-08,6.931992002634502e-08
uniform_q20.00_s30.20,432,324,0,432,-5.900144201431701e-06,-2.137429861770457e-06,9.317619487858586e-06,-0.0006817720738688804,0.0,0.2,toward_teacher|all|uniform_q20.00_s30.20|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,10,0,-2.1159406893289656e-08,6.038913852313144e-08,8.291887731992631e-08
uniform_q20.20_s30.20,432,310,0,432,-5.813885185279588e-06,-2.1205643230270965e-06,9.817989727989307e-06,-0.000702163016733176,0.2,0.2,toward_teacher|all|uniform_q20.20_s30.20|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,0,0,1.6894868393180218e-08,9.690998753475455e-08,1.7016740860853474e-07
uniform_q20.35_s30.35,432,301,0,432,-5.601538971555797e-06,-2.022769245990652e-06,1.1157261819216835e-05,-0.0007231575072003948,0.35,0.35,toward_teacher|all|uniform_q20.35_s30.35|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,0,0,3.644334511943015e-08,1.9093273018189194e-07,3.0062484190906957e-07
uniform_q21.00_s31.00,432,274,0,432,-4.193235407901064e-06,-1.3573283671464154e-06,1.0130479101810863e-05,-0.0005438353215492242,1.0,1.0,toward_teacher|all|uniform_q21.00_s31.00|raw_agree|grad_all_abs50|all|flat|s0.130|c0.080,0,0,1.768369127796987e-07,8.01994465893241e-07,8.921324472499492e-07
