split,target,loss_base,loss_state,delta_logloss,state_feature_count
dateblock5,Q3,0.6818105970928994,0.6961743964664852,0.014363799373585784,51
dateblock5,S4,0.672891325132398,0.6958202466878707,0.02292892155547266,51
dateblock5,S3,0.5295957410924806,0.5553310643542433,0.025735323261762644,51
dateblock5,S1,0.5819316389005508,0.6201519817676424,0.03822034286709164,51
subject5,S1,0.6451173102334439,0.6841419051571034,0.039024594923659506,51
dateblock5,Q2,0.7089449764698363,0.7693056821644219,0.060360705694585515,51
dateblock5,Q1,0.6777725925695451,0.7457986800462486,0.06802608747670347,51
dateblock5,S2,0.5864531812320718,0.6897503925457478,0.10329721131367597,51
subject5,Q2,0.7353716317451338,0.8604480563208452,0.12507642457571144,51
subject5,Q3,0.7251748730898665,0.8629485654250372,0.13777369233517067,51
subject5,S3,0.599936590801412,0.7576966800776829,0.15776008927627083,51
subject5,Q1,0.7146757100640586,0.8887545693311816,0.17407885926712297,51
subject5,S4,0.7066524352987504,0.8978772988291548,0.19122486353040435,51
subject5,S2,0.6667474276968629,0.888633462436244,0.22188603473938107,51
