source_name,mask_mode,threshold,row_count,row_coverage,subjects,mask_mean_q2,mask_mean_s3,mask_active_q2,mask_active_s3,active_subjects
control,identity,,72,0.288,10,1.0,1.0,1.0,1.0,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
unit_energy,top30,0.001175058926227325,22,0.088,9,0.175,0.5384615384615384,0.175,0.5384615384615384,"id01,id02,id04,id05,id06,id07,id08,id09,id10"
unit_energy,top50,0.0010339591519287622,36,0.144,10,0.4,0.6923076923076923,0.4,0.6923076923076923,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
unit_energy,low50,0.0010339591519287622,36,0.144,9,0.6,0.3076923076923077,0.6,0.3076923076923077,"id01,id02,id03,id04,id06,id07,id08,id09,id10"
unit_energy,soft_rank_positive,,72,0.288,10,0.4638888888888889,0.6146723646723646,1.0,1.0,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology,two_flank_train,,41,0.164,9,0.525,0.6153846153846154,0.525,0.6153846153846154,"id01,id02,id03,id04,id05,id06,id07,id08,id10"
topology_x_energy,two_flank_train_energy_top50,,19,0.076,9,0.175,0.41025641025641024,0.175,0.41025641025641024,"id01,id02,id03,id04,id05,id06,id07,id08,id10"
topology,one_flank_train,,31,0.124,8,0.475,0.38461538461538464,0.475,0.38461538461538464,"id01,id02,id03,id04,id06,id07,id09,id10"
topology_x_energy,one_flank_train_energy_top50,,17,0.068,7,0.225,0.28205128205128205,0.225,0.28205128205128205,"id01,id02,id04,id06,id07,id09,id10"
topology,near_train_le1,,13,0.052,5,0.175,0.23076923076923078,0.175,0.23076923076923078,"id02,id04,id06,id07,id09"
topology_x_energy,near_train_le1_energy_top50,,7,0.028,4,0.1,0.15384615384615385,0.1,0.15384615384615385,"id04,id06,id07,id09"
topology,near_train_le2,,25,0.1,8,0.325,0.4358974358974359,0.325,0.4358974358974359,"id01,id02,id04,id05,id06,id07,id08,id09"
topology_x_energy,near_train_le2_energy_top50,,12,0.048,5,0.15,0.28205128205128205,0.15,0.28205128205128205,"id04,id05,id06,id07,id09"
topology,near_train_le3,,40,0.16,10,0.525,0.6410256410256411,0.525,0.6410256410256411,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,near_train_le3_energy_top50,,18,0.072,8,0.2,0.41025641025641024,0.2,0.41025641025641024,"id01,id04,id05,id06,id07,id08,id09,id10"
topology,block_edge,,17,0.068,8,0.2,0.3076923076923077,0.2,0.3076923076923077,"id02,id03,id04,id05,id06,id07,id08,id09"
topology_x_energy,block_edge_energy_top50,,8,0.032,5,0.1,0.1794871794871795,0.1,0.1794871794871795,"id04,id05,id06,id07,id09"
topology,block_inner,,55,0.22,10,0.8,0.6923076923076923,0.8,0.6923076923076923,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,block_inner_energy_top50,,28,0.112,9,0.3,0.5128205128205128,0.3,0.5128205128205128,"id01,id02,id03,id04,id05,id06,id07,id08,id10"
topology,block_first2,,25,0.1,10,0.3,0.4358974358974359,0.3,0.4358974358974359,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,block_first2_energy_top50,,11,0.044,5,0.125,0.2564102564102564,0.125,0.2564102564102564,"id04,id05,id06,id07,id09"
topology,block_last2,,17,0.068,9,0.175,0.3076923076923077,0.175,0.3076923076923077,"id01,id02,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,block_last2_energy_top50,,9,0.036,6,0.05,0.23076923076923078,0.05,0.23076923076923078,"id01,id02,id04,id05,id06,id07"
topology,block_first_half,,43,0.172,10,0.65,0.5641025641025641,0.65,0.5641025641025641,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,block_first_half_energy_top50,,20,0.08,8,0.3,0.3333333333333333,0.3,0.3333333333333333,"id02,id03,id04,id05,id06,id07,id09,id10"
topology,block_second_half,,33,0.132,10,0.45,0.46153846153846156,0.45,0.46153846153846156,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,block_second_half_energy_top50,,18,0.072,8,0.15,0.38461538461538464,0.15,0.38461538461538464,"id01,id02,id04,id05,id06,id07,id08,id10"
topology,short_block_le5,,13,0.052,4,0.15,0.23076923076923078,0.15,0.23076923076923078,"id04,id05,id06,id08"
topology_x_energy,short_block_le5_energy_top50,,7,0.028,3,0.075,0.15384615384615385,0.075,0.15384615384615385,"id04,id05,id06"
topology,long_block_ge10,,41,0.164,6,0.55,0.5128205128205128,0.55,0.5128205128205128,"id01,id02,id03,id07,id09,id10"
topology_x_energy,long_block_ge10_energy_top50,,20,0.08,6,0.2,0.3333333333333333,0.2,0.3333333333333333,"id01,id02,id03,id07,id09,id10"
topology,subject_early_half,,30,0.12,9,0.4,0.41025641025641024,0.4,0.41025641025641024,"id01,id02,id03,id04,id05,id06,id07,id08,id10"
topology_x_energy,subject_early_half_energy_top50,,14,0.056,9,0.125,0.28205128205128205,0.125,0.28205128205128205,"id01,id02,id03,id04,id05,id06,id07,id08,id10"
topology,subject_late_half,,43,0.172,10,0.625,0.5897435897435898,0.625,0.5897435897435898,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
topology_x_energy,subject_late_half_energy_top50,,22,0.088,8,0.275,0.41025641025641024,0.275,0.41025641025641024,"id01,id02,id04,id05,id06,id07,id09,id10"
subject_prior,q2_high,0.5102040816326531,43,0.172,6,0.575,0.5641025641025641,0.575,0.5641025641025641,"id01,id02,id03,id07,id08,id10"
subject_prior,q2_low,0.5102040816326531,40,0.16,5,0.675,0.48717948717948717,0.675,0.48717948717948717,"id04,id05,id06,id07,id09"
subject_prior,s3_high,0.7073170731707317,44,0.176,5,0.625,0.5897435897435898,0.625,0.5897435897435898,"id01,id02,id06,id07,id09"
subject_prior,s3_low,0.7073170731707317,31,0.124,6,0.425,0.4358974358974359,0.425,0.4358974358974359,"id03,id04,id05,id08,id09,id10"
subject_prior_target,q2_low_s3_high,,46,0.184,6,0.675,0.5897435897435898,0.675,0.5897435897435898,"id01,id02,id04,id06,id07,id09"
subject_prior_target,q2_high_s3_low,,39,0.156,8,0.575,0.4358974358974359,0.575,0.4358974358974359,"id01,id03,id04,id05,id07,id08,id09,id10"
subject_id,id01,,8,0.032,1,0.05,0.15384615384615385,0.05,0.15384615384615385,id01
subject_id,id02,,7,0.028,1,0.0,0.1794871794871795,0.0,0.1794871794871795,id02
subject_id,id03,,3,0.012,1,0.05,0.02564102564102564,0.05,0.02564102564102564,id03
subject_id,id04,,9,0.036,1,0.1,0.1794871794871795,0.1,0.1794871794871795,id04
subject_id,id05,,2,0.008,1,0.0,0.05128205128205128,0.0,0.05128205128205128,id05
subject_id,id06,,15,0.06,1,0.275,0.1794871794871795,0.275,0.1794871794871795,id06
subject_id,id07,,11,0.044,1,0.25,0.05128205128205128,0.25,0.05128205128205128,id07
subject_id,id08,,5,0.02,1,0.075,0.07692307692307693,0.075,0.07692307692307693,id08
subject_id,id09,,3,0.012,1,0.05,0.02564102564102564,0.05,0.02564102564102564,id09
subject_id,id10,,9,0.036,1,0.15,0.07692307692307693,0.15,0.07692307692307693,id10
flank_prior,has_q2_or_s3_flank,,72,0.288,10,1.0,1.0,1.0,1.0,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
flank_prior,q2_high,,56,0.224,9,0.675,0.8974358974358975,0.675,0.8974358974358975,"id01,id02,id03,id04,id05,id06,id08,id09,id10"
flank_prior,q2_low,,38,0.152,6,0.625,0.38461538461538464,0.625,0.38461538461538464,"id04,id05,id06,id07,id08,id10"
flank_prior,s3_high,,63,0.252,10,0.9,0.8461538461538461,0.9,0.8461538461538461,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
flank_prior,s3_low,,20,0.08,4,0.2,0.3333333333333333,0.2,0.3333333333333333,"id04,id05,id08,id10"
flank_prior,q2_low_s3_high,,31,0.124,6,0.55,0.28205128205128205,0.55,0.28205128205128205,"id04,id05,id06,id07,id08,id10"
flank_prior,q2_high_s3_low,,15,0.06,4,0.125,0.28205128205128205,0.125,0.28205128205128205,"id04,id05,id08,id10"
flank_prior_target,q2_low_s3_high,,56,0.224,10,0.625,0.8461538461538461,0.625,0.8461538461538461,"id01,id02,id03,id04,id05,id06,id07,id08,id09,id10"
flank_prior_target,q2_strong_low_s3_strong_high,,38,0.152,9,0.325,0.6666666666666666,0.325,0.6666666666666666,"id01,id02,id03,id04,id06,id07,id08,id09,id10"
flank_prior_target,q2_strong_high_s3_strong_low,,20,0.08,8,0.375,0.15384615384615385,0.375,0.15384615384615385,"id01,id03,id04,id05,id06,id08,id09,id10"
