struct_weight,q_weight,q_target_scope,rows,nonanchor_evaluated,strict,deployable,loose,structural_strict,structural_loose,best_all_delta_vs_mixmin,best_eval_all_delta_vs_mixmin,best_hidden_q2s3,best_world
1.0,1.5,all,72,72,0,0,72,0,72,-3.144817453981652e-05,-3.144817453981652e-05,-0.0004379904581899158,-0.0003660314405026455
1.0,1.25,all,72,72,0,0,72,0,72,-3.1258615764251374e-05,-3.1258615764251374e-05,-0.00036740817768938366,-0.00031476265879332166
1.0,1.0,all,72,72,0,0,72,0,72,-3.0856329887640754e-05,-3.0856329887640754e-05,-0.0002958573206868209,-0.0002641119176194806
1.0,0.75,all,72,72,0,0,72,0,72,-3.007010457112269e-05,-3.007010457112269e-05,-0.00022333947569012913,-0.00021045020908199707
1.0,1.5,s_all,54,54,0,0,54,0,54,-3.2149991066710015e-05,-3.2149991066710015e-05,-0.00021605979502650058,-9.459174880255272e-05
1.0,1.25,s_all,54,54,0,0,54,0,54,-3.162862217576112e-05,-3.162862217576112e-05,-0.0001821546026647483,-8.950906209136411e-05
1.0,1.0,s_all,54,54,0,0,54,0,54,-3.083991275865117e-05,-3.083991275865117e-05,-0.00014740438502892222,-8.199818071504273e-05
1.0,0.75,s_all,54,54,0,0,54,0,54,-2.9853839261906323e-05,-2.9853839261906323e-05,-0.00011181147706823547,-7.513947541902821e-05
0.75,1.5,all,72,36,0,0,36,0,36,-2.7798606795470526e-05,-2.7798606795470526e-05,-0.0004379904581899158,-0.00035752025284712107
1.0,1.25,q2s3,18,18,0,0,18,0,18,-3.1476907460636916e-05,-3.1476907460636916e-05,-0.00048450643246588515,-0.00040091060695517935
1.0,1.0,q2s3,18,18,0,0,18,0,18,-3.128239912952857e-05,-3.128239912952857e-05,-0.0003910433023813012,-0.00033195364126475393
1.0,1.5,q2s3,18,18,0,0,18,0,18,-3.116778920952967e-05,-3.116778920952967e-05,-0.0005762429701147501,-0.0004689669721825218
1.0,0.75,q2s3,18,18,0,0,18,0,18,-3.061725634823098e-05,-3.061725634823098e-05,-0.00029585732068680703,-0.0002641119176194806
0.75,1.5,s_all,54,18,0,0,18,0,18,-2.8401905827535323e-05,-2.8401905827535323e-05,-0.00021605979502650058,-8.653284995421284e-05
0.75,1.25,q2s3,18,18,0,0,18,0,18,-2.786332504833844e-05,-2.786332504833844e-05,-0.00048450643246588515,-0.0003917778784851389
0.75,1.25,s_all,54,18,0,0,18,0,18,-2.780310145378273e-05,-2.780310145378273e-05,-0.0001821546026647483,-7.924404267124485e-05
0.75,1.5,q2s3,18,18,0,0,18,0,18,-2.7603637823614413e-05,-2.7603637823614413e-05,-0.0005762429701147501,-0.0004607602027013602
0.75,1.0,q2s3,18,15,0,0,15,0,15,-2.7579393736099078e-05,-2.7579393736099078e-05,-0.0003910433023813012,-0.00032294892693979227
0.75,1.25,all,72,1,0,0,1,0,1,-2.7521752545833778e-05,-2.7521752545833778e-05,-0.00034474309845406587,-0.00023945598188586105
0.5,0.75,all,72,0,0,0,0,0,0,-2.0875099209893833e-05,,,
0.5,0.75,q2s3,18,0,0,0,0,0,0,-2.1481168567261122e-05,,,
0.5,0.75,s_all,54,0,0,0,0,0,0,-2.056434692887521e-05,,,
0.5,1.0,all,72,0,0,0,0,0,0,-2.1678626968224535e-05,,,
0.5,1.0,q2s3,18,0,0,0,0,0,0,-2.2180268443916518e-05,,,
0.5,1.0,s_all,54,0,0,0,0,0,0,-2.1583454528850687e-05,,,
0.5,1.25,all,72,0,0,0,0,0,0,-2.212688560154774e-05,,,
0.5,1.25,q2s3,18,0,0,0,0,0,0,-2.2352680387971446e-05,,,
0.5,1.25,s_all,54,0,0,0,0,0,0,-2.2369126982502152e-05,,,
0.5,1.5,all,72,0,0,0,0,0,0,-2.2330953564964062e-05,,,
0.5,1.5,q2s3,18,0,0,0,0,0,0,-2.1993643346540637e-05,,,
0.5,1.5,s_all,54,0,0,0,0,0,0,-2.2917019149026885e-05,,,
0.75,0.75,all,72,0,0,0,0,0,0,-2.6195092670877607e-05,,,
0.75,0.75,q2s3,18,0,0,0,0,0,0,-2.679430224006296e-05,,,
0.75,0.75,s_all,54,0,0,0,0,0,0,-2.5970719560897138e-05,,,
0.75,1.0,all,72,0,0,0,0,0,0,-2.706007799957444e-05,,,
0.75,1.0,s_all,54,0,0,0,0,0,0,-2.7024084688798133e-05,,,
