source,stress,policy,n,mae,p90_abs_error,max_abs_error
direct_inverse,l2o,oracle_pair_best1,15,0.00034445762399656904,0.00076536706962226,0.0012887278531804
direct_inverse,l2o,l2o_best1,15,0.0005323412083252999,0.00111246844946032,0.0013069577794189
direct_inverse,l2o,l2o_best5_mean,15,0.0005556848316058134,0.00110691151873352,0.0013525663425875
direct_inverse,l2o,subject_best3_mean,15,0.0005751373424516798,0.0011226696537783,0.0014439937510274
direct_inverse,l2o,l2o_best12_mean,15,0.00059797233893262,0.0012488909843832397,0.0014487934669084
direct_inverse,l2o,structured_best1,15,0.0006071551807861334,0.0012049014830969999,0.0013730281652467
direct_inverse,loo,oracle_best1,6,0.00036268242785683673,0.001005504083639,0.0012938255026489
direct_inverse,loo,train_best1,6,0.0005987221472847499,0.00128110866091605,0.0015762849217257
direct_inverse,loo,train_best5_mean,6,0.0009275130624471499,0.0019042657411226,0.0025015827884571
direct_inverse,loo,train_best12_mean,6,0.0009669545583623499,0.0020235756921811,0.0028100140634271
direct_inverse,loo,structured_best1,6,0.0010087151014404334,0.00220864073120735,0.0032114978454534
direct_inverse,loo,nonrandom_best5_mean,6,0.0010953168820545666,0.0022340138190176002,0.0031494626295598
