band,role,loo_count,worlds_min,worlds_median,worlds_max,better_rate_min,better_rate_median,better_rate_max,max_delta_max,adverse_in_band_max,adverse_min_rank_min,adverse_max_rank_max
loo_low_anchor_energy_half,inverse7blend_1040,7,14,14.0,15,0.9285714285714286,1.0,1.0,6.0149446781226554e-05,0,21,29
loo_low_anchor_energy_half,mixmin_0c916,7,14,14.0,15,1.0,1.0,1.0,-0.0003153376627865,0,21,29
loo_low_anchor_energy_half,pair_sensor_1bb,7,14,14.0,15,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.0023328880931438,0,21,29
loo_low_anchor_energy_half,pair_sensor_1bb_s0p65,7,14,14.0,15,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.0014848820015084,0,21,29
loo_low_anchor_energy_half,pair_sensor_6b,7,14,14.0,15,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.0028177427190922,0,21,29
loo_low_anchor_energy_quarter,inverse7blend_1040,7,7,7.0,7,1.0,1.0,1.0,-3.527368882586863e-05,0,21,29
loo_low_anchor_energy_quarter,mixmin_0c916,7,7,7.0,7,1.0,1.0,1.0,-0.0005370960828407,0,21,29
loo_low_anchor_energy_quarter,pair_sensor_1bb,7,7,7.0,7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0018524389605212,0,21,29
loo_low_anchor_energy_quarter,pair_sensor_1bb_s0p65,7,7,7.0,7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0011725900653037,0,21,29
loo_low_anchor_energy_quarter,pair_sensor_6b,7,7,7.0,7,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0022422070707169,0,21,29
loo_low_anchor_energy_random_plus_fit,inverse7blend_1040,7,11,12.0,13,0.9230769230769231,1.0,1.0,6.0149446781226554e-05,0,21,29
loo_low_anchor_energy_random_plus_fit,mixmin_0c916,7,11,12.0,13,1.0,1.0,1.0,-0.0003153376627865,0,21,29
loo_low_anchor_energy_random_plus_fit,pair_sensor_1bb,7,11,12.0,13,0.45454545454545453,0.46153846153846156,0.5,0.0004907685983111,0,21,29
loo_low_anchor_energy_random_plus_fit,pair_sensor_1bb_s0p65,7,11,12.0,13,0.45454545454545453,0.46153846153846156,0.5,0.0002875043298671,0,21,29
loo_low_anchor_energy_random_plus_fit,pair_sensor_6b,7,11,12.0,13,0.36363636363636365,0.38461538461538464,0.4166666666666667,0.0006149607566271,0,21,29
