subject_id,rows,sub_blocks,mean_block_n,q2_rate,s3_rate,flank_q2_mean,flank_s3_mean,near_train_le2
id01,27,2,13.518518518518519,0.5609756097560976,0.8536585365853658,1.0,1.0,0.14814814814814814
id02,32,2,16.0,0.6666666666666666,0.8958333333333334,1.0,1.0,0.1875
id03,21,2,10.523809523809524,0.8181818181818182,0.48484848484848486,1.0,1.0,0.19047619047619047
id04,27,7,5.37037037037037,0.49122807017543857,0.543859649122807,0.5555555555555556,0.6111111111111112,0.7037037037037037
id05,21,5,5.095238095238095,0.4318181818181818,0.13636363636363635,0.8333333333333334,0.09523809523809523,0.5238095238095238
id06,24,5,5.916666666666667,0.3958333333333333,0.9583333333333334,0.7291666666666666,1.0,0.5833333333333334
id07,30,2,15.0,0.5102040816326531,0.7959183673469388,0.0,1.0,0.2
id08,19,7,3.6315789473684212,0.7857142857142857,0.6607142857142857,0.7368421052631579,0.6842105263157895,0.7894736842105263
id09,27,2,13.518518518518519,0.43902439024390244,0.7073170731707317,0.48148148148148145,1.0,0.14814814814814814
id10,22,2,11.0,0.5454545454545454,0.48484848484848486,0.25,0.25,0.13636363636363635
