basename,source_path,candidate_id,target_task,feature_set,model,score_variant,action,k,undo_count,add_count,undo_fraction,add_fraction,latent_health_score,min_auc,mean_auc,min_ap_lift,source_transfer_auc,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,matched_placebo_gate,public_lb_if_known,known_public_worse_than_current,public_free_submission_ready,final_decision,null_p90_q20,null_p90_median,null_p90_best,dateblock_p90_dominance,dateblock_null_strict_rate,row_p90_dominance,row_null_strict_rate,subject_p90_dominance,subject_null_strict_rate
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3_f89fbfd6.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3_f89fbfd6.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,raw,ctrl_add_low_preserve,3,0,3,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-4.319278459338452e-06,-5.357995698474117e-06,-2.9830515524425585e-06,1.0,-0.0002337540129392912,21,0.0,0.14285714285714285,0.09523809523809523,0.0,False,,False,False,too_small_to_submit,-3.880284304783175e-06,-3.687443832413048e-06,-4.182753918957755e-06,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_human_plus_geometr_lr_l2_c0p3_smooth_weighted_undo_low_preserve_top3_4d6262b1.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_human_plus_geometr_lr_l2_c0p3_smooth_weighted_undo_low_preserve_top3_4d6262b1.csv,e247_body_vs_clean_human_plus_geometr_lr_l2_c0p3_smooth_weighted_undo_low_preserve_top3,e247_body_vs_clean_neither,human_plus_geometry,lr_l2_c0p35,smooth_weighted,undo_low_preserve,3,3,0,0.5,0.0,1.5982970683600024,0.9864669794298088,0.9908576927703597,0.7631310986637494,0.48076923076923084,too_small_to_submit,False,-5.761689502603243e-06,-7.5686950287450665e-06,-2.8508459616272267e-06,1.0,-9.009220599415224e-05,21,0.0,0.47619047619047616,0.6666666666666666,0.2857142857142857,False,,False,False,too_small_to_submit,-3.0930468385175817e-06,-2.853651101596468e-06,-3.6454714539115817e-06,0.5714285714285714,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0
submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top3_7f6e1ef6.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top3_7f6e1ef6.csv,e247_body_vs_clean_human_plus_oldlaw__lr_l1_c0p2_anti_amp_ctrl_add_low_preserve_top3,e247_body_vs_clean_neither,human_plus_oldlaw_context,lr_l1_c0p22,anti_amp,ctrl_add_low_preserve,3,0,3,0.0,0.2,1.6379937728677048,0.9974738361602309,0.9978948634668591,0.8160718855555242,0.5192307692307693,too_small_to_submit,False,-4.566299946166405e-06,-6.493063625198573e-06,-2.7553085223472576e-06,0.9705882352941176,-0.0008608121244757516,21,0.0,0.19047619047619047,0.19047619047619047,0.0,False,,False,False,too_small_to_submit,-5.918261799743666e-06,-5.124725141272869e-06,-6.567648408881702e-06,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top8_759fa72c.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top8_759fa72c.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top8,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,8,0,8,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-5.002047943534084e-06,-7.819454384470524e-06,-2.553109953229335e-06,0.9705882352941176,-0.0002937371668165767,21,0.0,0.09523809523809523,0.09523809523809523,0.0,False,,False,False,too_small_to_submit,-6.539723498303974e-06,-5.912395460764467e-06,-6.7344874094329465e-06,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top8_72795959.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top8_72795959.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_raw_ctrl_add_low_preserve_top8,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,raw,ctrl_add_low_preserve,8,0,8,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-6.1879866964051705e-06,-1.0578859692454807e-05,-2.531384101465651e-06,0.9411764705882353,-0.0011649653337032218,21,0.0,0.0,0.0,0.0,False,,False,False,too_small_to_submit,-9.941691114181468e-06,-9.38781212383634e-06,-1.0403717212539115e-05,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13_eefe43fe.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13_eefe43fe.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,13,0,13,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-6.14559493033223e-06,-1.0558849232666954e-05,-2.490377767499965e-06,0.9411764705882353,-0.00047387349854410843,21,0.0,0.0,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-8.692428253314207e-06,-7.5675970456888135e-06,-9.647042569843413e-06,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top8_2828a0f6.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top8_2828a0f6.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top8,e247_only_vs_e256_only,human_social,lr_l2_c0p35,anti_amp,add_high_preserve,8,0,8,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-4.659349931396543e-06,-7.2716491185602204e-06,-2.408502565318146e-06,0.9705882352941176,-0.000332572814219223,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-5.93872892031866e-06,-5.372171757694993e-06,-6.5121177170241155e-06,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5_3ec1c9d5.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5_3ec1c9d5.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top5,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,5,0,5,0.0,0.2,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-3.319719746226879e-06,-4.355865576424366e-06,-2.2016765291918563e-06,1.0,-0.00016646314246993033,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-3.5848101681599368e-06,-3.1751015102555728e-06,-3.679932389239727e-06,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top5_1d2d7720.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top5_1d2d7720.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top5,e247_only_vs_e256_only,human_social,lr_l2_c0p35,raw,add_high_preserve,5,0,5,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-6.640232767581976e-06,-1.2776504816152648e-05,-2.1188700797408215e-06,0.9117647058823529,-0.0006162535452550744,21,0.0,0.09523809523809523,0.14285714285714285,0.0,False,,False,False,too_small_to_submit,-9.586643153459736e-06,-8.273734131243737e-06,-1.1527385705913241e-05,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0
submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top8_ee3797fe.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top8_ee3797fe.csv,e247_body_vs_clean_cell_geometry_lr_l2_c0p3_smooth_weighted_ctrl_add_low_preserve_top8,e247_body_vs_clean_neither,cell_geometry,lr_l2_c0p35,smooth_weighted,ctrl_add_low_preserve,8,0,8,0.0,0.2,1.6402643669056296,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.46153846153846156,too_small_to_submit,False,-6.0062023418808974e-06,-1.1205182635616087e-05,-2.0609098715134434e-06,0.9117647058823529,-0.001288534552014553,21,0.0,0.0,0.0,0.0,False,,False,False,too_small_to_submit,-1.0431357821101749e-05,-9.002571411256402e-06,-1.0910666518370324e-05,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3_1bbbf4be.csv,analysis_outputs/submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3_1bbbf4be.csv,e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_raw_ctrl_add_low_preserve_top3,e247_common_vs_e284_extra,human_plus_geometry,lr_l2_c0p35,raw,ctrl_add_low_preserve,3,0,3,0.0,0.2,1.5273353078463352,0.9771428571428571,0.9844620811287478,0.6216923260532283,0.48076923076923084,too_small_to_submit,False,-2.930850937798468e-06,-3.6674581204759785e-06,-2.0423535965098e-06,1.0,-0.00011958546283039051,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-2.5337742578889987e-06,-2.3203030227769225e-06,-2.714107358423503e-06,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13_9798fdb1.csv,analysis_outputs/submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13_9798fdb1.csv,e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_smooth_weighted_add_high_preserve_top13,e247_common_vs_e284_extra,human_plus_geometry,lr_l2_c0p35,smooth_weighted,add_high_preserve,13,0,13,0.0,0.35,1.5273353078463352,0.9771428571428571,0.9844620811287478,0.6216923260532283,0.48076923076923084,too_small_to_submit,False,-6.781533611458333e-06,-1.3816204574851032e-05,-1.848517907995764e-06,0.9117647058823529,-0.0008584743624078794,21,0.0,0.0,0.0,0.0,False,,False,False,too_small_to_submit,-1.1911107951786253e-05,-1.0475569126635028e-05,-1.3594042890422939e-05,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,analysis_outputs/submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3,e247_common_vs_e284_extra,human_plus_geometry,lr_l2_c0p35,anti_amp,add_high_preserve,3,0,3,0.0,0.2,1.5273353078463352,0.9771428571428571,0.9844620811287478,0.6216923260532283,0.48076923076923084,too_small_to_submit,False,-2.8127875436642075e-06,-3.7805337451806424e-06,-1.8147214345171621e-06,1.0,-0.00035392473650475154,21,0.0,0.047619047619047616,0.047619047619047616,0.0,False,,False,False,too_small_to_submit,-3.153729465778027e-06,-2.9656002498811125e-06,-3.3532034537256096e-06,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3_ad04e8da.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3_ad04e8da.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_smooth_weighted_add_high_preserve_top3,e247_only_vs_e256_only,human_social,lr_l2_c0p35,smooth_weighted,add_high_preserve,3,0,3,0.0,0.2,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-2.5494347404528623e-06,-3.1834019618889853e-06,-1.7856404731728151e-06,1.0,-0.0001091541769350779,21,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,False,,False,False,too_small_to_submit,-2.4659788508005617e-06,-2.036746982826489e-06,-2.6173283282843335e-06,0.42857142857142855,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l2_c0p3_anti_amp_add_high_preserve_top8_2ec847d9.csv,analysis_outputs/submission_e286_e247contrast_e247_body_vs_clean_human_plus_oldlaw__lr_l2_c0p3_anti_amp_add_high_preserve_top8_2ec847d9.csv,e247_body_vs_clean_human_plus_oldlaw__lr_l2_c0p3_anti_amp_add_high_preserve_top8,e247_body_vs_clean_neither,human_plus_oldlaw_context,lr_l2_c0p35,anti_amp,add_high_preserve,8,0,8,0.0,0.35,1.6129975204950895,0.9889931432695778,0.9929628293035005,0.7747664464921444,0.4615384615384615,too_small_to_submit,False,-4.470375031476254e-06,-7.860351914840362e-06,-1.7309479973937904e-06,0.9411764705882353,-0.0007841535949181799,21,0.0,0.0,0.0,0.0,False,,False,False,too_small_to_submit,-7.2632260317165215e-06,-6.343031826301728e-06,-7.482244319736277e-06,0.0,0.0,0.0,0.0,0.0,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3_b24e44a3.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3_b24e44a3.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_anti_amp_add_high_preserve_top3,e247_only_vs_e256_only,human_social,lr_l2_c0p35,anti_amp,add_high_preserve,3,0,3,0.0,0.2,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-2.535932604895285e-06,-3.1278401066108767e-06,-1.715339766274576e-06,1.0,-7.414046178283451e-05,21,0.0,0.5714285714285714,0.5714285714285714,0.42857142857142855,False,,False,False,too_small_to_submit,-2.1192402995872638e-06,-1.6840151016375451e-06,-2.2363634540789685e-06,0.7142857142857143,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0
submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top3_e12c945e.csv,analysis_outputs/submission_e286_e247contrast_e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top3_e12c945e.csv,e247_only_vs_e256__human_social_lr_l2_c0p3_raw_add_high_preserve_top3,e247_only_vs_e256_only,human_social,lr_l2_c0p35,raw,add_high_preserve,3,0,3,0.0,0.35,0.9292945942945944,0.7142857142857143,0.7747252747252747,0.16046176046176053,0.17307692307692307,too_small_to_submit,False,-5.251439483035656e-06,-1.0010719178215802e-05,-1.714165931225482e-06,0.9117647058823529,-0.0005525989449191304,21,0.0,0.42857142857142855,0.47619047619047616,0.0,False,,False,False,too_small_to_submit,-7.468410726712951e-06,-4.951646376118408e-06,-9.069845384206773e-06,1.0,0.0,0.0,0.0,0.2857142857142857,0.0
