pair_group,new,base,sub_idx,target,target_idx,delta_y1,delta_y0,swing,support_label,support_delta,adverse_delta,p_y1_focus_mean,p_y1_subject,p_y1_nearest_hard085,swing_rank
known_transition,mixmin,a2c8,138,S2,4,2.1347879763407337e-06,-4.478435488080861e-05,4.6919142857149344e-05,0,-4.478435488080861e-05,2.1347879763407337e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,1
known_transition,mixmin,a2c8,130,S2,4,2.5855513465007957e-06,-4.433359151064664e-05,4.691914285714743e-05,0,-4.433359151064664e-05,2.5855513465007957e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,2
known_transition,mixmin,a2c8,140,S1,3,2.9936401723862915e-06,-4.3925502684760886e-05,4.6919142857147176e-05,0,-4.3925502684760886e-05,2.9936401723862915e-06,0.6822222222222222,0.6822222222222222,0.6822222222222222,3
known_transition,mixmin,a2c8,145,S3,5,-2.0089433048146944e-06,4.491019955233228e-05,4.691914285714698e-05,1,-2.0089433048146944e-06,4.491019955233228e-05,0.6622222222222223,0.6622222222222223,0.6622222222222223,4
known_transition,mixmin,a2c8,57,S1,3,1.6749475078741733e-06,-4.5244195349272534e-05,4.691914285714671e-05,0,-4.5244195349272534e-05,1.6749475078741733e-06,0.6822222222222222,0.6822222222222222,0.6822222222222222,5
known_transition,mixmin,a2c8,143,S2,4,2.416978353829e-06,-4.4502164503317234e-05,4.6919142857146234e-05,0,-4.4502164503317234e-05,2.416978353829e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,6
known_transition,mixmin,a2c8,103,S1,3,-3.122404019267912e-06,4.3796738837877874e-05,4.6919142857145786e-05,1,-3.122404019267912e-06,4.3796738837877874e-05,0.6822222222222222,0.6822222222222222,0.6822222222222222,7
known_transition,mixmin,a2c8,139,S2,4,2.5076836849070463e-06,-4.4411459172238716e-05,4.6919142857145766e-05,0,-4.4411459172238716e-05,2.5076836849070463e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,8
known_transition,mixmin,a2c8,136,S3,5,2.1364375363900385e-06,-4.4782705320755617e-05,4.691914285714566e-05,0,-4.4782705320755617e-05,2.1364375363900385e-06,0.6622222222222223,0.6622222222222223,0.6622222222222223,9
known_transition,mixmin,a2c8,55,S1,3,-1.811738007712211e-06,4.5107404849433254e-05,4.691914285714547e-05,1,-1.811738007712211e-06,4.5107404849433254e-05,0.6822222222222222,0.6822222222222222,0.6822222222222222,10
known_transition,mixmin,a2c8,139,S1,3,2.215182866081288e-06,-4.470395999106382e-05,4.69191428571451e-05,0,-4.470395999106382e-05,2.215182866081288e-06,0.6822222222222222,0.6822222222222222,0.6822222222222222,11
known_transition,mixmin,a2c8,49,S2,4,-4.021889599774945e-06,4.2897253257370085e-05,4.691914285714503e-05,1,-4.021889599774945e-06,4.2897253257370085e-05,0.6511111111111111,0.6511111111111111,0.6511111111111111,12
known_transition,mixmin,a2c8,150,S2,4,3.445998499894774e-06,-4.347314435725025e-05,4.691914285714502e-05,0,-4.347314435725025e-05,3.445998499894774e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,13
known_transition,mixmin,a2c8,134,S2,4,2.1967150285237547e-06,-4.4722427828621186e-05,4.691914285714494e-05,0,-4.4722427828621186e-05,2.1967150285237547e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,14
known_transition,mixmin,a2c8,147,S4,6,-3.901211133887115e-06,4.301793172325777e-05,4.6919142857144885e-05,1,-3.901211133887115e-06,4.301793172325777e-05,0.56,0.56,0.56,15
known_transition,mixmin,a2c8,144,S2,4,2.624253348643242e-06,-4.429488950850161e-05,4.691914285714485e-05,0,-4.429488950850161e-05,2.624253348643242e-06,0.6511111111111111,0.6511111111111111,0.6511111111111111,16
known_transition,mixmin,a2c8,129,S3,5,-2.8646227310947394e-06,4.4054520126050074e-05,4.691914285714481e-05,1,-2.8646227310947394e-06,4.4054520126050074e-05,0.6622222222222223,0.6622222222222223,0.6622222222222223,17
known_transition,mixmin,a2c8,48,S1,3,2.2828616556412727e-06,-4.4636281201503534e-05,4.6919142857144804e-05,0,-4.4636281201503534e-05,2.2828616556412727e-06,0.6822222222222222,0.6822222222222222,0.6822222222222222,18
known_transition,mixmin,a2c8,142,S3,5,2.2051735659766275e-06,-4.4713969291168e-05,4.691914285714463e-05,0,-4.4713969291168e-05,2.2051735659766275e-06,0.6622222222222223,0.6622222222222223,0.6622222222222223,19
known_transition,mixmin,a2c8,148,S3,5,2.9686781217787958e-06,-4.3950464735365714e-05,4.691914285714451e-05,0,-4.3950464735365714e-05,2.9686781217787958e-06,0.6622222222222223,0.6622222222222223,0.6622222222222223,20
known_transition,raw05,a2c8,7,Q3,2,-2.1553429149260855e-05,3.757863275008777e-05,5.9132061899348625e-05,1,-2.1553429149260855e-05,3.757863275008777e-05,0.6784552845528454,0.5853658536585366,0.85,1
known_transition,raw05,a2c8,247,S4,6,2.400636022404263e-05,-1.5453047906803544e-05,3.945940813084617e-05,0,-1.5453047906803544e-05,2.400636022404263e-05,0.6922222222222222,0.6666666666666666,0.85,2
known_transition,raw05,a2c8,24,S4,6,2.5785202156528162e-05,-1.0790420652730092e-05,3.6575622809258255e-05,0,-1.0790420652730092e-05,2.5785202156528162e-05,0.56,0.56,0.56,3
known_transition,raw05,a2c8,140,Q3,2,-6.688529216139922e-06,2.794299557252814e-05,3.463152478866806e-05,1,-6.688529216139922e-06,2.794299557252814e-05,0.6,0.6,0.6,4
known_transition,raw05,a2c8,49,Q3,2,-6.89711295283186e-06,2.448123937735109e-05,3.137835233018295e-05,1,-6.89711295283186e-06,2.448123937735109e-05,0.6,0.6,0.6,5
known_transition,raw05,a2c8,7,S3,5,8.181662992161102e-06,-2.0414553571010708e-05,2.859621656317181e-05,0,-2.0414553571010708e-05,8.181662992161102e-06,0.6622222222222223,0.6622222222222223,0.6622222222222223,6
known_transition,raw05,a2c8,248,S4,6,1.574552713382157e-05,-1.118845438156895e-05,2.693398151539052e-05,0,-1.118845438156895e-05,1.574552713382157e-05,0.56,0.56,0.56,7
known_transition,raw05,a2c8,54,S3,5,5.754133225307553e-06,-2.069528471075761e-05,2.644941793606516e-05,0,-2.069528471075761e-05,5.754133225307553e-06,0.8026851851851853,0.8958333333333334,0.85,8
known_transition,raw05,a2c8,43,S3,5,5.492285329518858e-06,-2.0592243203757933e-05,2.6084528533276793e-05,0,-2.0592243203757933e-05,5.492285329518858e-06,0.8026851851851853,0.8958333333333334,0.85,9
known_transition,raw05,a2c8,169,Q3,2,-1.0101959853803689e-05,1.5724252505919864e-05,2.5826212359723552e-05,1,-1.0101959853803689e-05,1.5724252505919864e-05,0.6534013605442177,0.5102040816326531,0.85,10
known_transition,raw05,a2c8,190,Q3,2,1.8546643934832805e-05,-6.695809289638659e-06,2.5242453224471465e-05,0,-6.695809289638659e-06,1.8546643934832805e-05,0.6,0.6,0.6,11
known_transition,raw05,a2c8,209,S4,6,1.397598321624465e-05,-1.0992607900930438e-05,2.4968591117175088e-05,0,-1.0992607900930438e-05,1.397598321624465e-05,0.56,0.56,0.56,12
