file,public_lb,note
submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,Public anchor validated late fold-safe scale.
submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,Stage2 broad residual OOF gain mostly did not transfer to public; still slightly better than 0.578 anchor.
submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,Ordinal Q2/Q3 nearest feasible-count correction improved OOF but missed public-best; strong CV-public overfit signal for this count shift.
submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,Raw timeline JEPA rescue current public control/best anchor.
submission_jepa_latent_q2_w0p45.csv,0.5798012862,Direct JEPA latent Q2 movement failed public; bad-axis anchor.
submission_jepa_latent_residual_probe.csv,0.5812273278,Direct latent residual probe failed public strongly; collapse/risk anchor.
submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,LeJEPA target-wise strict scale0.5 improved OOF/geometry but failed public; new bad-axis anchor.
submission_mixmin_0c916bb4.csv,0.5763066405,Previous public frontier; validates anchor-loss/binary-world mixmin sensor despite old selector veto.
submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,E72/E73 sparse Q2/S3 gate sensor worsened versus mixmin; later audits show broad all-target contamination and sub-margin pure Q2/S3.
submission_e95_hardtail_541e3973.csv,0.5762913298,Current public frontier; validates E72-adverse hard-tail localization with E86-to-E85 fallback.
submission_e101_q2s3tail_177569bc.csv,0.5763003660,Resolved E95-relative Q2/S3 rollback sensor; small_loss versus E95 (+0.0000090362) but still beats mixmin (-0.0000062745); closes E108 and same-line automatic followups.
submission_e176_abl_q2_to0p75_91e49725.csv,0.5763118310,Broad partial-reopen / Q2-damped sensor resolved as branch_loss versus E95; demotes same-family E176/E174/E172/E169 expected-score followups.
submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.5772865088,Masked-family JEPA S2-only translator severe miss; closes E216 siblings as public-safe submissions until S2 support-tail failure is rebuilt.
