candidate_id,file,basename,target,view_id,split,scale,source_actual_delta,source_dominance,source_placebo_adjusted,changed_rows,changed_cells,mean_abs_logit_move,max_abs_logit_move
Q2_jepa_resid_subject_s0p2,analysis_outputs/submission_e330_targetresid_Q2_jepa_resid_subject_s0p2_817c1bf2.csv,submission_e330_targetresid_Q2_jepa_resid_subject_s0p2_817c1bf2.csv,Q2,jepa_resid,subject,0.2,-0.030210616345146768,1.0,-0.03310881025425838,250,250,0.012756534094219184,0.014000000000000002
Q2_jepa_resid_subject_s0p4,analysis_outputs/submission_e330_targetresid_Q2_jepa_resid_subject_s0p4_bc503ce8.csv,submission_e330_targetresid_Q2_jepa_resid_subject_s0p4_bc503ce8.csv,Q2,jepa_resid,subject,0.4,-0.030210616345146768,1.0,-0.03310881025425838,250,250,0.02551306818843837,0.028000000000000004
Q2_jepa_resid_subject_s0p65,analysis_outputs/submission_e330_targetresid_Q2_jepa_resid_subject_s0p65_4dc877bb.csv,submission_e330_targetresid_Q2_jepa_resid_subject_s0p65_4dc877bb.csv,Q2,jepa_resid,subject,0.65,-0.030210616345146768,1.0,-0.03310881025425838,250,250,0.04145873580621234,0.045500000000000006
Q1_jepa_resid_dateblock_s0p2,analysis_outputs/submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p2_49017863.csv,submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p2_49017863.csv,Q1,jepa_resid,dateblock,0.2,-0.025842772406742043,0.9583333333333334,-0.02572108821673169,250,250,0.012472152962445396,0.014000000000000002
Q1_jepa_resid_dateblock_s0p4,analysis_outputs/submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p4_7ec421be.csv,submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p4_7ec421be.csv,Q1,jepa_resid,dateblock,0.4,-0.025842772406742043,0.9583333333333334,-0.02572108821673169,250,250,0.024944305924890792,0.028000000000000004
Q1_jepa_resid_dateblock_s0p65,analysis_outputs/submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p65_cb573e97.csv,submission_e330_targetresid_Q1_jepa_resid_dateblock_s0p65_cb573e97.csv,Q1,jepa_resid,dateblock,0.65,-0.025842772406742043,0.9583333333333334,-0.02572108821673169,250,250,0.04053449712794753,0.045500000000000006
S2_raw_day_subject_s0p2,analysis_outputs/submission_e330_targetresid_S2_raw_day_subject_s0p2_e2fa851f.csv,submission_e330_targetresid_S2_raw_day_subject_s0p2_e2fa851f.csv,S2,raw_day,subject,0.2,-0.016452074494639257,0.9583333333333334,-0.016758339129676447,250,250,0.01220953993608956,0.014000000000000002
S2_raw_day_subject_s0p4,analysis_outputs/submission_e330_targetresid_S2_raw_day_subject_s0p4_5f7fc23b.csv,submission_e330_targetresid_S2_raw_day_subject_s0p4_5f7fc23b.csv,S2,raw_day,subject,0.4,-0.016452074494639257,0.9583333333333334,-0.016758339129676447,250,250,0.02441907987217912,0.028000000000000004
S2_raw_day_subject_s0p65,analysis_outputs/submission_e330_targetresid_S2_raw_day_subject_s0p65_f06e6bd5.csv,submission_e330_targetresid_S2_raw_day_subject_s0p65_f06e6bd5.csv,S2,raw_day,subject,0.65,-0.016452074494639257,0.9583333333333334,-0.016758339129676447,250,250,0.039681004792291065,0.045500000000000006
S2_jepa_resid_dateblock_s0p2,analysis_outputs/submission_e330_targetresid_S2_jepa_resid_dateblock_s0p2_d7095a60.csv,submission_e330_targetresid_S2_jepa_resid_dateblock_s0p2_d7095a60.csv,S2,jepa_resid,dateblock,0.2,-0.014211218144316584,1.0,-0.016229688241006734,250,250,0.012340366645613415,0.014000000000000002
S2_jepa_resid_dateblock_s0p4,analysis_outputs/submission_e330_targetresid_S2_jepa_resid_dateblock_s0p4_d0318d11.csv,submission_e330_targetresid_S2_jepa_resid_dateblock_s0p4_d0318d11.csv,S2,jepa_resid,dateblock,0.4,-0.014211218144316584,1.0,-0.016229688241006734,250,250,0.02468073329122683,0.028000000000000004
