method,block_idx,subject_id,n_rows,pattern_nll,margin_only_pattern_nll,joint_gain_vs_own_margins,pair_mse,pred_entropy,pred_top_mass,true_top_pattern,pred_top_pattern
subject_indep,199,id06,1,1.7535796141108868,1.753852300974199,-0.000272686863312277,0.09791027985840117,2.914271474908979,0.18068140479314548,124,120
subject_indep,211,id06,1,1.7535796141108868,1.753852300974199,-0.000272686863312277,0.09791027985840117,2.914271474908979,0.18068140479314548,124,120
subject_indep,190,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
subject_indep,198,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
subject_indep,214,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
subject_indep,196,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
subject_indep,210,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
subject_indep,187,id06,1,1.7535796141108868,1.7538523009741982,-0.0002726868633113888,0.08171350604857948,2.914271474908979,0.18068140479314548,120,124
calendar_count_indep,97,id04,6,7.426407573680191,7.426407573680194,-3.552713678800501e-15,0.1536653037398779,4.124527044736171,0.06995393029061944,0,124
calendar_count_indep,290,id08,1,6.6282684004238135,6.628268400423816,-2.6645352591003757e-15,0.12566075860632417,4.351287523442227,0.0400993223146587,64,126
calendar_count_indep,180,id05,7,4.591394227811388,4.59139422781139,-2.6645352591003757e-15,0.02409839359152653,4.618619525107428,0.029084060068474603,29,45
calendar_count_indep,271,id07,15,5.401682971962549,5.401682971962551,-2.6645352591003757e-15,0.02927371021186092,4.288356249129334,0.04433612966284124,36,127
calendar_count_indep,337,id08,4,5.444201538283828,5.44420153828383,-1.7763568394002505e-15,0.09677609036406193,4.258336329135286,0.06188390215824707,10,118
calendar_count_indep,284,id08,1,7.784034003337715,7.784034003337717,-1.7763568394002505e-15,0.18185757035501993,4.200113871065746,0.06855991638360458,0,118
calendar_count_indep,22,id03,11,4.97698118630774,4.976981186307742,-1.7763568394002505e-15,0.031184815988791557,3.8122873904417807,0.09355231749385505,6,47
calendar_count_indep,301,id08,2,5.10017000556082,5.1001700055608215,-1.7763568394002505e-15,0.06897466628144655,4.6731189418452415,0.022102948688953617,38,66
raw_phone_indep,216,id06,1,1.926315736518829,1.9263306006445233,-1.486412569429163e-05,0.14243415362500375,3.382676709287584,0.14568394901433623,126,126
raw_phone_indep,264,id06,8,3.209621926590933,3.209626646622951,-4.720032017679898e-06,0.009932588273046505,3.319379952447934,0.12786713397852983,126,120
raw_phone_indep,261,id06,8,3.0796232530394,3.079627096615628,-3.8435762279576124e-06,0.015521787951504773,3.3569890902187303,0.12987413637726875,56,120
raw_phone_indep,236,id06,5,2.8186541152210145,2.8186550148679332,-8.996469187394496e-07,0.0633702536411972,3.3941124698552865,0.12329434074096252,120,124
raw_phone_indep,288,id08,1,6.026097120697372,6.026097120697376,-3.552713678800501e-15,0.11838544345632612,4.615004594003058,0.02749828545756403,64,126
raw_phone_indep,22,id03,11,4.852111564435479,4.852111564435481,-2.6645352591003757e-15,0.026702523441982012,3.8852091262236863,0.08293887033057568,6,31
raw_phone_indep,38,id04,1,5.609906308847168,5.609906308847171,-2.6645352591003757e-15,0.13350881495294264,4.514941144632808,0.039838403861616266,36,124
raw_phone_indep,86,id04,5,5.896238341420459,5.896238341420462,-2.6645352591003757e-15,0.06687542712248024,4.577795347817972,0.033978090937344045,0,124
struct_raw_fbraw_k4_a4_w0.35,52,id04,1,4.191907158660399,5.589942565168101,-1.3980354065077023,0.19349098284652064,4.42139101655057,0.03636531818805082,38,123
struct_raw_fbraw_k4_a4_w0.35,67,id04,3,5.060931302295447,6.219287610203277,-1.1583563079078294,0.12815269894843795,4.546659715784848,0.02859100302557967,0,127
