family,question,best_local_edge,best_tail_p95,strict_or_submit_count,failure_mode,belief_update
old_submission_universe,Did we just fail to pick an existing better CSV?,,,0,strict_novel_actionable=0,candidate selection among old files is not the main missing lever
density_synthesis,Can transfer-shrinkage density plus old donors co-locate local reward and safety?,-1.5119576247668576e-06,4.910832078590967e-07,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
atom_combo_density,Can atom combinations repair density-only donor mismatch?,-1.81279796207523e-06,8.204587039465275e-06,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
veto_nullspace_gradient,Can E95-local gradients move in the safety nullspace directly?,-0.0001127724854067,-6.018487963379232e-05,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
blocktarget_state_gradient,Does visible block-target state make gradient moves safe?,-4.359180835389331e-05,2.805844837218469e-06,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
blocktarget_vetonull_overlap,Does overlapping state with veto-null masks co-locate safety and strict structure?,-3.0467498413733196e-05,-1.5690661385343933e-05,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
set_consensus_decoder,Does set-consensus decoding make a safe target representation?,-2.2028888676639543e-05,-1.0520352555045365e-05,0,submit_gate=0; local reward and public-tail safety do not meet under the family gates,"use as representation diagnostic, not as submission source"
tailworld_primitive_decoder_before_clip,Was E140 only blocked by numeric exactness?,-1.3973289434643377e-05,1.4147818825963742e-07,0,relaxed structure exists but e72 budget/post101 p95 fail,"the blocker is transfer-tail budget, not exact-tail arithmetic"
transfer_budget_clip_e142,Can budget-neutral clipping make E140 public-safe?,-1.4013731048811984e-05,-3.7623425360365737e-06,35,not final until public feedback,"first live residual branch opens, but still fails active/Q2S3 strictness"
active_q2s3_repair_e143,Can pruning E101-warned active Q2/S3 cells make the branch strict?,-1.065463572280656e-05,-3.758058361867292e-06,15,not final until public feedback,"strict branch opens, but public value is frontier-scale small"
fine_boundary_e144,Is the E143 full rollback boundary too coarse?,-1.018278956366192e-05,-3.5916307664035867e-06,9,survives as live sensor,"E144 is the current sensor, but only a tiny same-branch refinement"
