cell_id,row_idx,subject_id,sleep_date,target,component,p_from,p_to,delta_prob,support_label,p_y1_focus_mean,posterior_y1_near_observed,posterior_shift,cell_total_swing,posterior_shift_x_swing
32:S2,32,id02,2024-08-31,S2,e154_to_e216_s2_graft,0.8977243342839673,0.8752621168871212,-0.022462217396846063,0,0.6511111111111111,0.8055,0.1543888888888889,0.0001279328387393761,1.9751408825373682e-05
141:S2,141,id06,2024-08-10,S2,e154_to_e216_s2_graft,0.9420756460698329,0.9288243519774084,-0.013251294092424426,0,0.6511111111111111,0.8015,0.1503888888888889,0.00012581642703143696,1.892139266522777e-05
31:S2,31,id02,2024-08-30,S2,e154_to_e216_s2_graft,0.8975215018504467,0.8750048093083141,-0.02251669254213251,0,0.6511111111111111,0.7895,0.1383888888888889,0.00012801711688437755,1.7716146564388028e-05
144:S2,144,id06,2024-08-14,S2,e154_to_e216_s2_graft,0.9432718630529986,0.93096865055234,-0.012303212500658578,0,0.6511111111111111,0.797,0.14588888888888896,0.00011966819674874145,1.7458260259010843e-05
205:S2,205,id09,2024-08-10,S2,e154_to_e216_s2_graft,0.795721011047847,0.7596956738890843,-0.03602533715876266,0,0.6511111111111111,0.7905,0.1393888888888889,0.00011928583135824835,1.6627119493213618e-05
207:S2,207,id09,2024-08-12,S2,e154_to_e216_s2_graft,0.7357207193234272,0.6941317294640879,-0.04158898985933934,0,0.6511111111111111,0.792,0.14088888888888895,0.00011676396020517884,1.6450744615574095e-05
221:S2,221,id09,2024-09-13,S2,e154_to_e216_s2_graft,0.8072478517467245,0.7719273180009409,-0.03532053374578359,0,0.6511111111111111,0.786,0.13488888888888895,0.00012171402954172736,1.641787020707301e-05
223:S2,223,id09,2024-09-16,S2,e154_to_e216_s2_graft,0.7841007041720807,0.7460850219767537,-0.038015682195326916,0,0.6511111111111111,0.784,0.13288888888888895,0.00012107731425971137,1.6089829761623873e-05
206:S2,206,id09,2024-08-11,S2,e154_to_e216_s2_graft,0.7564049355219032,0.7160658383340028,-0.04033909718790041,0,0.6511111111111111,0.78,0.12888888888888894,0.00011887991849349232,1.5322300605827905e-05
0:S2,0,id01,2024-07-31,S2,e154_to_e216_s2_graft,0.5279983569898583,0.5717638244389215,0.04376546744906318,1,0.6511111111111111,0.5085,-0.14261111111111113,0.00010110882909897523,1.4419242460948304e-05
53:S2,53,id02,2024-10-10,S2,e154_to_e216_s2_graft,0.928528955320895,0.911937972502378,-0.01659098281851701,0,0.8059259259259259,0.9045,0.09857407407407404,0.00014034920862827393,1.3834793287561144e-05
43:S2,43,id02,2024-09-29,S2,e95_to_e154_body,0.951615084322421,0.9506843533395624,-0.0009307309828586741,0,0.8059259259259259,0.9005,0.09457407407407403,0.00014284635720347263,1.350956196737286e-05
84:S2,84,id04,2024-09-15,S2,e154_to_e216_s2_graft,0.623502228582688,0.5803112198614316,-0.04319100872125636,0,0.6511111111111111,0.7815,0.1303888888888889,0.00010307948728340192,1.3440419814119129e-05
112:S2,112,id05,2024-10-06,S2,e154_to_e216_s2_graft,0.2089344087478048,0.2375394835272304,0.028605074779425588,1,0.6511111111111111,0.509,-0.14211111111111108,9.436779881294883e-05,1.3410712742417947e-05
169:S2,169,id07,2024-08-17,S2,e154_to_e216_s2_graft,0.4526885574279215,0.4985174937424331,0.04582893631451157,1,0.6511111111111111,0.5235,-0.12761111111111112,0.0001050763342820734,1.3408907769217923e-05
74:S2,74,id03,2024-09-21,S2,e154_to_e216_s2_graft,0.5242390375782453,0.5692072936973573,0.04496825611911204,1,0.6511111111111111,0.5225,-0.12861111111111112,0.00010376311711462208,1.3345089784463896e-05
246:S2,246,id10,2024-09-23,S2,e95_to_e154_body,0.3813637202906511,0.3807832187490913,-0.0005805015415597525,0,0.38824915824915823,0.5245,0.13625084175084173,9.696956627392257e-05,1.3212185029035984e-05
238:S2,238,id10,2024-08-23,S2,e154_to_e216_s2_graft,0.3762595186700069,0.4134491832193785,0.037189664549371615,1,0.6511111111111111,0.504,-0.14711111111111108,8.898890068400307e-05,1.3091256056180005e-05
85:S2,85,id04,2024-09-16,S2,e154_to_e216_s2_graft,0.6936102014708018,0.7272047263974577,0.03359452492665593,1,0.6511111111111111,0.5115,-0.13961111111111113,9.339111503249011e-05,1.3038437337591539e-05
162:S2,162,id07,2024-07-24,S2,e154_to_e216_s2_graft,0.7337802440079302,0.6954337157274563,-0.03834652828047391,0,0.6511111111111111,0.772,0.12088888888888893,0.00010756600806706497,1.3003535197440748e-05
167:S2,167,id07,2024-08-15,S2,e154_to_e216_s2_graft,0.4775325899271467,0.4323663285816565,-0.04516626134549018,0,0.5051322751322751,0.6285,0.12336772486772485,0.00010477622276785408,1.292600422310407e-05
247:S2,247,id10,2024-09-25,S2,e95_to_e154_body,0.2549552950329466,0.2585490647767076,0.003593769743760966,1,0.38824915824915823,0.508,0.11975084175084177,0.0001078780306653522,1.2918484978599048e-05
59:S2,59,id03,2024-08-17,S2,e154_to_e216_s2_graft,0.5273890745913334,0.5689287549625832,0.041539680371249776,1,0.6511111111111111,0.5165,-0.13461111111111113,9.589472069688704e-05,1.2908494902697629e-05
4:S2,4,id01,2024-08-04,S2,e154_to_e216_s2_graft,0.625764953638369,0.5833981964392623,-0.042366757199106764,0,0.6511111111111111,0.778,0.12688888888888894,0.00010134380173911712,1.2859402398452423e-05
236:S2,236,id10,2024-08-19,S2,e154_to_e216_s2_graft,0.2508653819688553,0.2853282869179577,0.03446290494910237,1,0.6511111111111111,0.5235,-0.12761111111111112,0.00010046819191162957,1.2820857601167398e-05
235:S2,235,id10,2024-08-18,S2,e154_to_e216_s2_graft,0.3794451702987269,0.3384522952362138,-0.04099287506251309,0,0.6511111111111111,0.774,0.12288888888888894,0.00010188290718963602,1.2520277261304165e-05
178:S2,178,id07,2024-08-29,S2,e154_to_e216_s2_graft,0.5414678016854978,0.4976811917946082,-0.043786609890889616,0,0.6511111111111111,0.7755,0.12438888888888888,0.00010030193605194888,1.2476446378906308e-05
203:S2,203,id09,2024-08-08,S2,e154_to_e216_s2_graft,0.773733211858519,0.7411189917386923,-0.03261422011982662,0,0.6511111111111111,0.773,0.12188888888888894,0.00010155410206455249,1.2378316662757125e-05
224:S2,224,id09,2024-09-19,S2,e154_to_e216_s2_graft,0.7142168013182855,0.6775560059316676,-0.03666079538661782,0,0.6511111111111111,0.775,0.12388888888888894,9.90801869683288e-05,1.227493427440963e-05
17:S2,17,id01,2024-09-05,S2,e154_to_e216_s2_graft,0.6551230744521434,0.6136039529502395,-0.041519121501903844,0,0.6511111111111111,0.7695,0.11838888888888888,0.0001023706753673864,1.2119550511550022e-05
7:S2,7,id01,2024-08-09,S2,e154_to_e216_s2_graft,0.5157607924549928,0.4716296075277431,-0.04413118492724977,0,0.6511111111111111,0.77,0.11888888888888893,0.00010095294476888661,1.2002183433634301e-05
13:S2,13,id01,2024-08-17,S2,e154_to_e216_s2_graft,0.557073394526688,0.5138042162616379,-0.04326917826505017,0,0.6511111111111111,0.771,0.11988888888888893,9.946401023491397e-05,1.1924629671496913e-05
24:S2,24,id01,2024-09-13,S2,e154_to_e216_s2_graft,0.5681695287272558,0.5251951937762883,-0.042974334950967474,0,0.6511111111111111,0.771,0.11988888888888893,9.91546004538855e-05,1.1887534876638056e-05
145:S2,145,id06,2024-08-15,S2,e154_to_e216_s2_graft,0.92656689284086,0.914238234862858,-0.012328657978001978,0,0.6511111111111111,0.7745,0.12338888888888888,9.633911346088962e-05,1.1887176166479768e-05
20:S2,20,id01,2024-09-09,S2,e154_to_e216_s2_graft,0.6221458733682828,0.579872889980778,-0.04227298338750474,0,0.6511111111111111,0.7685,0.11738888888888888,0.00010080843409330487,1.1833790068841843e-05
139:S2,139,id06,2024-07-19,S2,e154_to_e216_s2_graft,0.9457606415383404,0.9362853093303594,-0.009475332207981024,0,0.6511111111111111,0.7705,0.11938888888888888,9.775863466956261e-05,1.167129477249389e-05
216:S2,216,id09,2024-09-07,S2,e154_to_e216_s2_graft,0.767388260202298,0.7342711392977699,-0.03311712090452812,0,0.6511111111111111,0.7645,0.11338888888888887,0.00010126872968825164,1.1482748738540087e-05
140:S2,140,id06,2024-07-21,S2,e154_to_e216_s2_graft,0.8996859486983174,0.883582030442536,-0.01610391825578139,0,0.6511111111111111,0.7705,0.11938888888888888,9.539585433359752e-05,1.1389205053494503e-05
26:S2,26,id01,2024-09-15,S2,e154_to_e216_s2_graft,0.6438151421784507,0.6015340049207938,-0.04228113725765692,0,0.6511111111111111,0.7605,0.10938888888888887,0.00010291478508977649,1.1257733991209436e-05
19:S2,19,id01,2024-09-08,S2,e154_to_e216_s2_graft,0.578451885157819,0.5353412380774357,-0.04311064708038326,0,0.6511111111111111,0.762,0.11088888888888893,9.989735324041238e-05,1.1077506503770177e-05
219:S2,219,id09,2024-09-10,S2,e154_to_e216_s2_graft,0.7697600895424253,0.7973613239367071,0.02760123439428186,1,0.6511111111111111,0.536,-0.11511111111111105,9.310081073239996e-05,1.0716937768751813e-05
70:S2,70,id03,2024-09-16,S2,e154_to_e216_s2_graft,0.5318034633872056,0.4901085088437834,-0.04169495454342226,0,0.6511111111111111,0.763,0.11188888888888893,9.540397771726333e-05,1.0674645062364912e-05
10:S2,10,id01,2024-08-13,S2,e154_to_e216_s2_graft,0.5123991191984351,0.4704231243330225,-0.041975994865412536,0,0.6511111111111111,0.761,0.10988888888888892,9.602996153852869e-05,1.0552625773511656e-05
90:S2,90,id04,2024-09-24,S2,e154_to_e216_s2_graft,0.6368042584675666,0.5947647546343628,-0.04203950383320376,0,0.6511111111111111,0.7545,0.10338888888888886,0.00010161268241421037,1.0505622331824747e-05
243:S2,243,id10,2024-09-20,S2,e154_to_e216_s2_graft,0.3301488608502489,0.3658430903007442,0.035694229450495274,1,0.38824915824915823,0.2845,-0.10374915824915826,0.00010071569773005959,1.0449168861970342e-05
121:S2,121,id05,2024-11-13,S2,e154_to_e216_s2_graft,0.2241289645791441,0.196185806159823,-0.0279431584193211,0,0.6511111111111111,0.757,0.10588888888888892,9.630928314694718e-05,1.0198082982115631e-05
64:S2,64,id03,2024-08-23,S2,e154_to_e216_s2_graft,0.402075203485408,0.3642995358112533,-0.03777566767415469,0,0.6511111111111111,0.7625,0.11138888888888887,9.138583490695928e-05,1.0179366610469628e-05
108:S2,108,id05,2024-09-30,S2,e154_to_e216_s2_graft,0.2124551581633195,0.2380356750572893,0.025580516893969785,1,0.6511111111111111,0.531,-0.12011111111111106,8.383439206382108e-05,1.006944198011006e-05
89:S2,89,id04,2024-09-23,S2,e154_to_e216_s2_graft,0.6771631031736783,0.6413169068595364,-0.03584619631414199,0,0.6511111111111111,0.7585,0.10738888888888887,9.124597290730027e-05,9.798803646100632e-06
231:S2,231,id10,2024-08-08,S2,e154_to_e216_s2_graft,0.3664572498887408,0.4031270399943629,0.0366697901056221,1,0.6511111111111111,0.5405,-0.1106111111111111,8.856746523526056e-05,9.796545737966876e-06
137:S2,137,id06,2024-07-17,S2,e154_to_e216_s2_graft,0.946786690598996,0.9531092342187776,0.006322543619781573,1,0.6511111111111111,0.525,-0.12611111111111106,7.608198604458362e-05,9.594783795622486e-06
91:S2,91,id04,2024-09-25,S2,e154_to_e216_s2_graft,0.6496322366552292,0.6148732544610943,-0.03475898219413487,0,0.6511111111111111,0.762,0.11088888888888893,8.547393760477721e-05,9.478109969951964e-06
195:S2,195,id08,2024-09-10,S2,e154_to_e216_s2_graft,0.5742513723165569,0.6105837792168378,0.036332406900280945,1,0.6511111111111111,0.5425,-0.1086111111111111,8.602778951229944e-05,9.343573805363633e-06
226:S2,226,id09,2024-09-21,S2,e154_to_e216_s2_graft,0.7251372494435263,0.7542497172665086,0.02911246782298227,1,0.6511111111111111,0.544,-0.10711111111111105,8.646773219764942e-05,9.261654870948222e-06
147:S2,147,id06,2024-08-21,S2,e154_to_e216_s2_graft,0.9236325918727226,0.9123265393261242,-0.011306052546598444,0,0.6511111111111111,0.758,0.10688888888888892,8.593121140104396e-05,9.185091707533812e-06
113:S2,113,id05,2024-10-07,S2,e154_to_e216_s2_graft,0.2890819099767749,0.3192421809963331,0.030160271019558205,1,0.6511111111111111,0.5385,-0.1126111111111111,8.148030357159256e-05,9.175587518867672e-06
152:S2,152,id07,2024-07-14,S2,e154_to_e216_s2_graft,0.6346296006395675,0.6676671359181358,0.03303753527856823,1,0.6511111111111111,0.545,-0.10611111111111104,8.315587982324707e-05,8.823762803466766e-06
98:S2,98,id04,2024-10-19,S2,e154_to_e216_s2_graft,0.6349431462689253,0.6686388409076541,0.03369569463872879,1,0.6511111111111111,0.5485,-0.1026111111111111,8.48873218367446e-05,8.710382412914846e-06
131:S2,131,id06,2024-07-10,S2,e154_to_e216_s2_graft,0.9087911422650916,0.920390770748482,0.011599628483390356,1,0.6511111111111111,0.549,-0.10211111111111104,8.497429401930051e-05,8.676819578193013e-06
228:S2,228,id10,2024-08-05,S2,e154_to_e216_s2_graft,0.2967790838249833,0.263730698079855,-0.033048385745128306,0,0.6511111111111111,0.7435,0.09238888888888896,9.370537028155542e-05,8.657335043234822e-06
