basename,candidate_id,variant_type,family_tested,axis_kind_tested,axis_count,cell_rows
submission_e276_shuffle_row_r0_4a3bd132.csv,shuffle_row_r0,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r1_ac0d437e.csv,shuffle_row_r1,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r2_baca8ed7.csv,shuffle_row_r2,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r3_c424f61b.csv,shuffle_row_r3,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_row_r4_69b8c9b0.csv,shuffle_row_r4,shuffle_placebo,row,same_delta_shuffled,12,
submission_e276_shuffle_subject_r0_8c7d1ff6.csv,shuffle_subject_r0,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r1_86325907.csv,shuffle_subject_r1,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r2_c860bcea.csv,shuffle_subject_r2,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r3_49e900ba.csv,shuffle_subject_r3,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_subject_r4_d78fd988.csv,shuffle_subject_r4,shuffle_placebo,subject,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r0_86ba3e14.csv,shuffle_dateblock_r0,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r1_17882307.csv,shuffle_dateblock_r1,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r2_212ad15a.csv,shuffle_dateblock_r2,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r3_281b5e46.csv,shuffle_dateblock_r3,shuffle_placebo,dateblock,same_delta_shuffled,12,
submission_e276_shuffle_dateblock_r4_620d6f89.csv,shuffle_dateblock_r4,shuffle_placebo,dateblock,same_delta_shuffled,12,
