basename,target,feature,actual_abs_weighted_mean,actual_signed_weighted_mean,abs_z_worst_abs,abs_z_max_abs,signed_z_worst_abs,signed_z_max_abs,abs_worst_mode_dominance,signed_worst_mode_dominance,row_abs_z,subject_abs_z,dateblock_abs_z,row_signed_z,subject_signed_z,dateblock_signed_z,source,family,human_story
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,hstory__commute_workday,-0.09202104662439926,-0.1782734426874366,0.07578325961170812,1.6968671474410277,1.8186739620631942,2.348203702614509,0.5625,0.9609375,-0.07578325961170812,-1.5107509392652223,-1.6968671474410277,-1.8186739620631942,-2.348203702614509,-1.9939772902787372,human_social,workday_commute,Morning/evening movement and WiFi variety consistent with commute.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__sedentary_screen_day,0.03768773049504799,-0.17806391328065624,0.05420209900859431,1.494231133803501,1.7801044506518495,2.2963317965458687,0.546875,0.9609375,-0.05420209900859431,-1.494231133803501,-0.4682444956762598,-1.7801044506518495,-2.2963317965458687,-1.99343757509407,human_social,sedentary_screen,Low movement but high screen/media/social day.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,cash__pay20_post3_relief_home,0.09523806799281602,0.28339325688785716,0.088280938471287,0.28235150627902295,1.7784173205315141,2.139938958833836,0.5078125,0.96875,-0.088280938471287,0.28235150627902295,0.2290640473867548,2.139938958833836,1.7784173205315141,1.8501108539307642,cashflow,post_pay_relief,After anchor 20: money available but quiet home/charging routine.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,e280__weekday_routine_pressure,-0.15705421050870547,-0.1516743432991421,0.7010812094277349,0.7953682892216927,1.7639114820063113,2.3310391857750856,0.78125,0.9609375,-0.7800633995683632,-0.7953682892216927,-0.7010812094277349,-2.147487407686347,-2.3310391857750856,-1.7639114820063113,human_social,routine_calendar,Weekday plus commute/work/study signal.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,e280__commute_workday,-0.09566797344078297,-0.12786529442096498,0.3971706126971725,1.6112948297896472,1.7567948536999398,2.2958844270611474,0.671875,0.9609375,0.3971706126971725,-1.4951681311256682,-1.6112948297896472,-1.7567948536999398,-2.2958844270611474,-1.9710996427639322,human_social,mobility_context,Morning/evening movement and WiFi variety consistent with commute.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__pay10_near3_money_rumination,0.37596444644837257,0.3213775524006372,1.6845110643204855,1.7694464936851226,1.7379475923262568,2.058759825967894,0.9375,0.984375,1.7476734441060047,1.6845110643204855,1.7694464936851226,1.7379475923262568,1.9257513553330468,2.058759825967894,cashflow,cashflow_transition,Near anchor 10: finance/shopping/search rumination.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,e280__ritual_anchor,0.07655165961523398,0.16271256387858768,0.3413498867002535,0.7022794070272427,1.7251499542973878,2.0851133461027467,0.6640625,0.9375,-0.3413498867002535,-0.5406857393972719,0.7022794070272427,1.7531683938905591,1.7251499542973878,2.0851133461027467,human_social,routine_calendar,Religious/routine app use and charging before sleep.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,episode__commute_pressure,-0.09755572206896682,0.1740526853384791,0.04532719794153605,1.4840679042209866,1.6981856670071942,2.160120403639023,0.53125,0.9609375,0.04532719794153605,1.3374091193527329,1.4840679042209866,1.6981856670071942,2.160120403639023,1.7295868588310823,episode,commute_pressure,"weekday commute, vehicle exposure, routine pressure, less home stability"
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__media_binge_late,-0.1498846216602432,-0.18132652994997087,1.1843453094267358,1.8576260052522717,1.6695090428054338,1.995997353663526,0.8984375,0.9609375,-1.8576260052522717,-1.1843453094267358,-1.4197522815496815,-1.995997353663526,-1.9170576326396669,-1.6695090428054338,human_social,media_game,Late video/music/game consumption.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__paymonth_start_post3_spend_outing,0.17503992417925124,0.5070909795215903,0.8416321873008696,1.2680629780309267,1.6656238591288315,3.296309630081459,0.8125,0.9453125,0.9952853890519958,1.2680629780309267,0.8416321873008696,3.296309630081459,2.587728280373139,1.6656238591288315,cashflow,post_pay_spend,First 3 days after anchor month_start: spending/social outing state.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__media_binge_late,-0.15912340548949622,-0.1726441220011941,1.1130901961478066,2.081522106129453,1.5846681543151706,1.8762510851269243,0.875,0.953125,-2.081522106129453,-1.1130901961478066,-1.3633075288015848,-1.8762510851269243,-1.8237308605470268,-1.5846681543151706,human_social,media_binge,Late video/music/game consumption.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__paymonth_start_pre3_cash_stress,-0.1674929834425975,-0.1809724024071362,0.08689308262873552,1.2777276165686575,1.5745334476176716,1.9048006058391207,0.515625,0.9609375,-0.08689308262873552,-0.48963953888003436,-1.2777276165686575,-1.8878503152432529,-1.9048006058391207,-1.5745334476176716,cashflow,pre_pay_stress,Last 3 days before anchor month_start: finance/checking stress.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,calendar__weekday,-0.03611364111561375,0.20543231686242844,0.010707549251258247,0.6112479773256253,1.5736198905886079,2.148643874993841,0.53125,0.9375,0.2753884897558831,-0.010707549251258247,-0.6112479773256253,2.148643874993841,2.0301376693942754,1.5736198905886079,calendar,calendar,weekday
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,hstory__morning_after_badnight,-0.15113047089680456,-0.1805354758474084,0.3090498003968185,1.644864100360573,1.5504727787947583,2.2157710365272743,0.6484375,0.9375,-0.3090498003968185,-1.644864100360573,-1.3659549088699334,-1.6542481217458702,-2.2157710365272743,-1.5504727787947583,human_social,nextday_echo,High morning heart/mobility after a possibly fragmented night.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,calendar__is_weekend,0.0018366135508485312,0.1608473454559667,0.06093366795722849,0.804787370750505,1.5336881344440847,1.6520498605067584,0.515625,0.921875,0.804787370750505,0.06093366795722849,-0.5199640813163757,1.6520498605067584,1.5336881344440847,1.599974499838493,calendar,calendar,is_weekend
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,e280__morning_after_badnight,-0.30116142344135965,-0.14215658626293662,0.25187827416073777,1.6646419693382355,1.5136555388036912,2.1280523937935087,0.640625,0.921875,-0.25187827416073777,-1.6646419693382355,-1.473324140212774,-1.7591975441737004,-2.1280523937935087,-1.5136555388036912,human_social,diary_global,High morning heart/mobility after a possibly fragmented night.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,e280__charge_bed_anchor,0.16356304065919863,0.16735161399857448,0.2213841155995584,0.8769076488565888,1.502514506877384,1.9240066566618779,0.5546875,0.9375,0.2213841155995584,0.28490418380007787,0.8769076488565888,1.9240066566618779,1.502514506877384,1.8042811344987553,human_social,routine_calendar,Phone is on charger near bedtime with low mobility.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__public_social_evening,-0.13510717306060543,0.15597229892610392,0.09940249377174275,1.7242714879241554,1.5021669262402249,3.2484941962340694,0.5703125,0.9375,-0.4123210562204981,0.09940249377174275,1.7242714879241554,1.5021669262402249,1.6458707963747254,3.2484941962340694,human_social,social_outing,Evening speech/public ambience/BLE density.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__charge_bed_anchor,-0.00025410499965697244,0.19627487885360584,0.021580418859276185,0.7591996395828021,1.4901953823618705,1.8873742225968881,0.5390625,0.9375,-0.021580418859276185,0.21966217097587581,0.7591996395828021,1.8873742225968881,1.4901953823618705,1.7287043393208816,human_social,routine_anchor,Phone is on charger near bedtime with low mobility.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__vehicle_noise_day,-0.07473364823876363,0.17037406600232688,0.09155859204611075,0.5418752066314113,1.4808024188636675,1.7082739156756206,0.5625,0.9296875,-0.09155859204611075,-0.33071393051649206,0.5418752066314113,1.6745601773180765,1.7082739156756206,1.4808024188636675,human_social,environment,Vehicle ambience and GPS speed.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__physical_fatigue,0.058976307918807785,0.17017457208674813,0.5617869529810052,1.0942029869382919,1.4769580347406093,1.7144226383044596,0.6953125,0.921875,0.5617869529810052,1.0942029869382919,0.5775917193481295,1.5177788917186261,1.7144226383044596,1.4769580347406093,human_social,physical_fatigue,High steps/distance/calories and heart activity.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__screen_fragmentation,-0.264328576564087,-0.23017657775457262,0.1119589973619737,0.6940748086083557,1.461385449306982,1.7638340263874925,0.5078125,0.953125,0.1119589973619737,0.14477423920595148,-0.6940748086083557,-1.7638340263874925,-1.6737287594111625,-1.461385449306982,human_social,bedtime_phone,Many short screen sessions late.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,e280__vehicle_noise_day,0.12447762387360183,0.1515239060225556,0.02084009381100031,0.5269213789460704,1.4471592555428063,1.6377898546518512,0.5,0.9296875,0.02084009381100031,-0.5269213789460704,0.3640540363491044,1.6377898546518512,1.6368009222272508,1.4471592555428063,human_social,mobility_context,Vehicle ambience and GPS speed.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,episode__badnight_aftereffect,-0.24742986632859,-0.1525560850944454,0.3108828912604549,1.1264276821818577,1.4452978095202629,2.0106908851716425,0.6171875,0.9296875,0.3108828912604549,-1.1264276821818577,-0.9859820388058571,-1.4452978095202629,-2.0106908851716425,-1.71001651093464,episode,badnight_aftereffect,morning-after bad-night trace and recovery debt visible in next-day diary
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__outdoor_nature_day,-0.030002186693942695,0.16703150481540788,0.061173091971148695,1.483576785821143,1.433586134407516,2.412765372056958,0.515625,0.9140625,-0.061173091971148695,1.2461802348850677,1.483576785821143,1.5550807405650857,1.433586134407516,2.412765372056958,human_social,environment,Outdoor/nature ambience and movement.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,cash__paymonth_start_pre7_budget_squeeze,-0.14345988707277316,-0.14537071506661373,0.17078931465215827,0.5799825472856412,1.4226690301971654,1.7729294553340762,0.5703125,0.9296875,0.5799825472856412,-0.3737983771903942,-0.17078931465215827,-1.7729294553340762,-1.4226690301971654,-1.6420386807954097,cashflow,pre_pay_stress,Week before anchor month_start: budget squeeze and late money rumination.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,cash__pay10_post3_late_shopping,-0.06739143821965138,-0.14561114206713,1.6191307849876022,1.8893289103943665,1.4180888569383827,1.888447848432051,0.9453125,0.9453125,-1.8893289103943665,-1.6191307849876022,-1.7253102191782672,-1.4180888569383827,-1.6561742648841995,-1.888447848432051,cashflow,post_pay_spend,After anchor 10: late shopping or finance phone use.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__ritual_anchor,-0.05055346494193578,0.16147827202587672,0.4429655048809004,0.5667863959439138,1.4128543941434395,1.9357620239333677,0.6796875,0.890625,-0.4429655048809004,-0.5667863959439138,0.5599730247108005,1.4975128004016782,1.4128543941434395,1.9357620239333677,human_social,routine_anchor,Religious/routine app use and charging before sleep.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,cash__pay25_post3_relief_home,0.1150066939358104,-0.23863931573291652,0.4894826146695594,1.7236814080904257,1.4093839540911688,1.8257900038721122,0.6328125,0.921875,1.7236814080904257,0.9440803203360805,0.4894826146695594,-1.7277952853577496,-1.8257900038721122,-1.4093839540911688,cashflow,post_pay_relief,After anchor 25: money available but quiet home/charging routine.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,calendar__lifelog_dom,-0.26125647106459304,-0.194880959910598,1.327926977030241,1.764017794182124,1.3919615758083121,1.6581876004785165,0.9140625,0.890625,-1.5958635384758282,-1.327926977030241,-1.764017794182124,-1.5839839637500384,-1.6581876004785165,-1.3919615758083121,calendar,calendar,lifelog_dom
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__game_dopamine_late,0.0691231410934007,0.15598922525832898,0.266008887405179,1.5039265317967456,1.3858293210020989,1.6425194903684308,0.6484375,0.9296875,1.5039265317967456,-0.6642348535837875,0.266008887405179,1.5407908603679412,1.3858293210020989,1.6425194903684308,human_social,media_binge,Late games with screen exposure.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,e280__paymonth_start_post7_spend_outing,0.7057241221008779,0.38632198738426843,0.04052465134561521,0.8668625673638173,1.3658922965916362,1.5053749080421368,0.5390625,0.90625,-0.8668625673638173,-0.1842546139201884,0.04052465134561521,1.4262696179999668,1.5053749080421368,1.3658922965916362,cashflow,cognitive_money,First week after anchor month_start: broader spending/social state.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__charge_bed_anchor,0.08555849188294115,-0.11423633538856685,0.8614748641881221,1.8452409489686226,1.3605585861597278,1.807127039312541,0.765625,0.8984375,-0.8614748641881221,-1.8452409489686226,-1.731553984476464,-1.807127039312541,-1.774172385230321,-1.3605585861597278,human_social,routine_calendar,Phone is on charger near bedtime with low mobility.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,cash__pay20_post3_late_shopping,-0.14292357728629643,0.15039695248906468,0.14203288940123637,1.9233469676826436,1.355913108701111,2.114598171488039,0.546875,0.921875,-1.9233469676826436,-0.14203288940123637,-0.14918166260869645,1.355913108701111,2.114598171488039,2.01647004251326,cashflow,post_pay_spend,After anchor 20: late shopping or finance phone use.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,cash__payeom_post3_spend_outing,0.15924171438533988,-0.20779744882444898,0.22422954765133338,1.4446076345492334,1.3310975250563413,2.0111021693977094,0.5703125,0.9296875,1.4446076345492334,0.22422954765133338,0.5235685953074988,-1.8495818822075192,-1.3310975250563413,-2.0111021693977094,cashflow,post_pay_spend,First 3 days after anchor eom: spending/social outing state.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,episode__social_overload,-0.06654092054633658,-0.1285947405483402,0.135361745528001,0.5801792044928659,1.328277006553353,2.2014610793465827,0.53125,0.9140625,-0.17540678238619073,0.135361745528001,0.5801792044928659,-1.328277006553353,-1.6416649910894723,-2.2014610793465827,episode,social_overload,"late communication, public social evening, night-out mobility, less isolation"
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__charge_bed_anchor,-0.06237825383583453,-0.21000318938203819,0.6965389114540872,1.8960975533067346,1.3066864487973,1.8368139625966373,0.75,0.890625,-0.6965389114540872,-1.8960975533067346,-1.5875354099195151,-1.8165577153574317,-1.8368139625966373,-1.3066864487973,human_social,routine_anchor,Phone is on charger near bedtime with low mobility.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__bright_light_late,-0.009383371385248678,-0.16677301942946474,0.020279056900618788,0.4349851669957454,1.3028872505147493,1.5595640235257495,0.5234375,0.8984375,0.020279056900618788,-0.21200355315451067,-0.4349851669957454,-1.4471425035137635,-1.5595640235257495,-1.3028872505147493,human_social,sleep_fragment,Phone/wearable light exposure near sleep.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,e280__night_out_mobility,0.05155207764652615,-0.08238512419276965,0.15848754013379607,0.5698214025868944,1.3025607892514386,2.0243302980702715,0.5625,0.890625,-0.34797849621833266,-0.5698214025868944,0.15848754013379607,-1.3025607892514386,-1.3044975459399855,-2.0243302980702715,human_social,mobility_context,"Late/deepnight movement, public ambience, weak charging."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__late_search_spiral,0.11513381020983784,0.17137462717908925,0.12154366932795656,1.120773384103449,1.301496781722874,1.4372445824964566,0.515625,0.9140625,1.120773384103449,0.12154366932795656,0.6969624757566047,1.40779644921468,1.301496781722874,1.4372445824964566,human_social,cognitive_load,"Late searching, browsing, work, finance, and shopping loops."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__pay20_pre3_cash_stress,0.021991558705815945,-0.19306698313181636,0.5681080723152537,1.4737675069659788,1.3012322218142804,1.7106665623947048,0.734375,0.9140625,-0.9931494754041608,-1.4737675069659788,-0.5681080723152537,-1.7106665623947048,-1.3012322218142804,-1.3377696036790658,cashflow,pre_pay_stress,Last 3 days before anchor 20: finance/checking stress.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__pay10_pre3_cash_stress,0.4631591169960599,0.3128055206571049,1.2790112826229156,1.9181423478167798,1.3007779377903779,1.4478215706609698,0.84375,0.90625,1.4105394456141243,1.2790112826229156,1.9181423478167798,1.3960215672843883,1.4478215706609698,1.3007779377903779,cashflow,pre_pay_stress,Last 3 days before anchor 10: finance/checking stress.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__outdoor_nature_day,0.00786343324442524,0.1289830729684279,0.10584574816836058,1.1117537374861437,1.2915107343084729,2.2638920649449616,0.5390625,0.8984375,-0.10584574816836058,1.0393932509301502,1.1117537374861437,1.390138956617236,1.2915107343084729,2.2638920649449616,human_social,mobility_context,Outdoor/nature ambience and movement.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__screen_fragmentation,0.04737883185899958,-0.14208523161756265,0.4468262050201794,0.6435242915973759,1.2821163974910346,1.4712076518425483,0.671875,0.9296875,0.6435242915973759,0.4468262050201794,-0.46581973568580415,-1.4712076518425483,-1.4586560083290379,-1.2821163974910346,human_social,sleep_fragment,Many short screen sessions late.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__pay25_post3_spend_outing,-0.20277095338844506,0.07732456998295222,0.5342279873425052,1.7211285605674485,1.280945001478708,1.3343937991170323,0.6796875,0.890625,-0.5342279873425052,1.1477243639331098,1.7211285605674485,1.3343937991170323,1.2937513099336542,1.280945001478708,cashflow,post_pay_spend,First 3 days after anchor 25: spending/social outing state.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,cash__pay10_post3_relief_home,0.1252635034161939,-0.14655743384671072,1.288372897589784,1.4862017701529133,1.2752174123192244,1.7340562943588642,0.9140625,0.9375,-1.288372897589784,-1.3433773646795004,-1.4862017701529133,-1.2752174123192244,-1.479703174501477,-1.7340562943588642,cashflow,post_pay_relief,After anchor 10: money available but quiet home/charging routine.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,cash__paymonth_start_post7_spend_outing,-0.045323941914701446,0.2008917638352132,0.1234355132730249,0.9492124630733759,1.2750819889694676,1.4816222899611027,0.5546875,0.890625,-0.9492124630733759,-0.5301398061388498,-0.1234355132730249,1.4612588160689328,1.4816222899611027,1.2750819889694676,cashflow,post_pay_spend,First week after anchor month_start: broader spending/social state.
