combo,anchor,scale,active_targets,stage2_oof_delta,stage2_subject_half_delta,stage2_subject_half_win_rate,stage2_geometry_delta,stage2_geometry_win_rate,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,mean_abs_logit_step_vs_anchor,max_abs_logit_step_vs_anchor,q3s4_share_vs_e95,q2s3_share_vs_e95,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,vs_e95_moved_cells,vs_e95_moved_rows,vs_e95_targets_moved,vs_e95_expected_delta_focus_mean,vs_e95_total_swing,vs_e95_top1_swing,vs_e95_top5_swing,vs_e95_top10_swing,vs_e95_top25_swing,vs_e95_cells_for_2e6_guard,vs_e95_cells_for_e95_edge,vs_e95_cells_to_flip_expected_focus_mean,vs_e95_top1_over_abs_expected,vs_e95_top5_over_abs_expected,vs_e95_support_prob_swing_weighted_focus_mean,vs_anchor_moved_cells,vs_anchor_moved_rows,vs_anchor_targets_moved,vs_anchor_expected_delta_focus_mean,vs_anchor_total_swing,vs_anchor_top1_swing,vs_anchor_top5_swing,vs_anchor_top10_swing,vs_anchor_top25_swing,vs_anchor_cells_for_2e6_guard,vs_anchor_cells_for_e95_edge,vs_anchor_cells_to_flip_expected_focus_mean,vs_anchor_top1_over_abs_expected,vs_anchor_top5_over_abs_expected,vs_anchor_support_prob_swing_weighted_focus_mean,e209_frontier_gate,survival_score,submission_file,family,family_rank,policy_id,local_delta,geometry_delta,geometry_win_rate,subject_half_delta,subject_half_win_rate,local_vs_parent_delta,parent_integrity_note,frontier_keep_abs_share,hypothesis_name,worldview_bet,sensor_role,hypothesis_specificity,gate_mode,shrink,local_vs_ungated_delta,geometry_vs_ungated_delta,keep_abs_share,e210_frontier_gate,q3_scale,s4_mode,s4_scale,delta,ungated_delta,delta_vs_ungated,ungated_geometry_delta,anchor_scale,e211_frontier_gate,anchor_cleanliness,anchor_purity_note,sha256,columns_match_sample,key_order_match_sample,finite_targets,valid_probability_range,changed_cells_vs_e95,changed_rows_vs_e95,mean_abs_delta_vs_e95,max_abs_delta_vs_e95,target_abs_delta_share_vs_e95,local_strength,geometry_strength,parent_integrity,hardtail_strength,tail_concentration_guard,bad_axis_guard,structured_survival_score,clean_sensor_score,control_value_score,survival_rank,clean_sensor_rank,control_rank
,e154,,,,,,,,,,0.011702435463988,0.2753477675674938,0.9204656351773498,0.0233115811025882,0.348575731507579,0.9372806193472456,ordinal,0.1842762241114603,0.2600571761618445,-0.0009695312093439,-0.0041743579240877,534,250,"Q1,Q3,S2,S3,S4",-0.0006851148124603,0.0131942879876241,0.0001573415814671,0.0006977528088083,0.001289103356051,0.0025655553074865,1,1,5,0.22965724664762,1.0184465378914664,0.463226350463748,355,250,"Q3,S4",-0.0006552772544472,0.011702435463988,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2401145170220704,1.0890677758462786,0.4632310224948802,,0.0369104847230068,submission_e211_jepa_q3rawcloser_q3s1p0_s4s1p0_e154_a0p5_c20eee9c.csv,E211,1,q3=1.00|s4=closer|s4scale=1.00|e154|anchor_scale=0.50,-0.0013150639731217,-0.0006198400634343,0.875,-0.0013200449750927,0.9615384615384616,-4.234011339443455e-05,target-specific gate versus E209,0.7431364350763769,target_specific_q3raw_s4closer,"Q3 wants the raw JEPA residual body, while S4 wants dependency-consistent JEPA movement.",current strongest JEPA worldview; E154 anchor adds survival but confounds attribution,1.0,,,,0.0004384159861288,0.7365855432468479,,1.0,closer,1.0,-0.0013150639731217,-0.0012727238597273,-4.234011339443455e-05,-0.0010582560495632,0.5,True,0.62,survival-oriented but E154-confounded,a1b6b204f59f7235e037b8630161d46f4661d2a8c92bd4df88d06a026f30beb8,True,True,True,True,534,250,0.002761113015472434,0.06621169757233875,Q3:0.676422;S4:0.254283;Q1:0.034370;S3:0.019709;S2:0.015216;S1:0.000000;Q2:0.000000,0.9977841884803418,0.9375,1.0,0.531085416786167,0.5212055102831844,0.5204589497111054,0.8319421475592242,0.8985571097571621,0.667,1,5,7
,e154,,,,,,,,,,0.0118192335938914,0.2753477675674938,0.9211635094899576,0.0231070336258584,0.3476240671373721,0.9376339946625616,ordinal,0.185846211416698,0.2591082338431615,-0.0009659934135122,-0.0041591257934234,537,250,"Q1,Q3,S2,S3,S4",-0.0006803550029832,0.0133110861175275,0.0001573415814671,0.0006977528088083,0.001289103356051,0.0025655553074865,1,1,5,0.2312639442308988,1.025571658544156,0.4635423169479599,358,250,"Q3,S4",-0.0006505174449701,0.0118192335938913,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2418714250996849,1.097036440116078,0.4635868248710404,,0.0367537823734662,submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e154_a0p5_50e6b7ec.csv,E211,2,q3=1.00|s4=toward|s4scale=1.00|e154|anchor_scale=0.50,-0.0013179843780894,-0.0006590239231062,0.875,-0.0013275006339354,0.9653846153846154,-4.5260518362177926e-05,target-specific gate versus E209,0.7505534335419582,target_specific_q3raw_s4toward,"Q3 wants the raw JEPA residual body, while S4 wants dependency-consistent JEPA movement.",current strongest JEPA worldview; E154 anchor adds survival but confounds attribution,1.0,,,,0.0003992321264569,0.7520380186178688,,1.0,toward,1.0,-0.0013179843780894,-0.0012727238597273,-4.5260518362177926e-05,-0.0010582560495632,0.5,True,0.62,survival-oriented but E154-confounded,6f60ac2606851c734d72164cc4564c6de468a6e1a57aa30c342fcdc46a4ef76f,True,True,True,True,537,250,0.0027900821330800016,0.06621169757233875,Q3:0.669399;S4:0.262026;Q1:0.034013;S3:0.019505;S2:0.015058;S1:0.000000;Q2:0.000000,1.0,0.9375,1.0,0.5288307096686182,0.519465467955472,0.5183412304753933,0.8317806513100665,0.8990504738285234,0.667,2,4,8
,e95,,,,,,,,,,0.0118192335938914,0.2753477675674938,0.9999999999999952,8.754432224658507e-16,0.3350912016134778,0.9421856964533242,ordinal,0.1580776379080727,0.0868736811045517,3.8416960165154584e-17,4.379497316901331e-16,358,250,"Q3,S4",-0.0006543295747266,0.0118192335938913,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2404622800870205,1.0906450963363676,0.4635868248710404,358,250,"Q3,S4",-0.0006543295747266,0.0118192335938913,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2404622800870205,1.0906450963363676,0.4635868248710404,,0.0354525109606342,submission_e211_jepa_q3rawtoward_q3s1p0_s4s1p0_e95_a0p5_e4e44d91.csv,E211,3,q3=1.00|s4=toward|s4scale=1.00|e95|anchor_scale=0.50,-0.0013179843780894,-0.0006590239231062,0.875,-0.0013275006339354,0.9653846153846154,-4.5260518362177926e-05,target-specific gate versus E209,0.7505534335419581,target_specific_q3raw_s4toward,"Q3 wants the raw JEPA residual body, while S4 wants dependency-consistent JEPA movement.",current strongest clean E95-frontier JEPA sensor,1.0,,,,0.0003992321264569,0.7520380186178688,,1.0,toward,1.0,-0.0013179843780894,-0.0012727238597273,-4.5260518362177926e-05,-0.0010582560495632,0.5,True,1.0,clean current-frontier sensor,47dc8b1d71eb2ea20f3edbe180ae761d024e4698fbe1b9e82078831c1d042a1b,True,True,True,True,358,250,0.0025077505701726972,0.06562624944091583,Q3:0.720004;S4:0.279996;S1:0.000000;S2:0.000000;Q1:0.000000;S3:0.000000;Q2:0.000000,1.0,0.9375,1.0,0.5101074044662607,0.5097231941172797,0.5585380901427441,0.8304448546433014,0.9622622854085646,0.8,3,1,4
,e95,,,,,,,,,,0.011663195213879,0.2753477675674938,0.9999999999999952,8.871555139709987e-16,0.3360164111235916,0.9418561309752256,ordinal,0.1572182286762147,0.0908884291601249,3.8612220231799315e-17,4.40175678080197e-16,354,250,"Q3,S4",-0.0006473869916041,0.0116631952138789,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2430409994449583,1.102341182814233,0.4630624557194564,354,250,"Q3,S4",-0.0006473869916041,0.0116631952138789,0.0001573415814671,0.0007136413420634,0.0012948508617786,0.0025341354047699,1,1,5,0.2430409994449583,1.102341182814233,0.4630624557194564,,0.0350240936801983,submission_e211_jepa_q3rawcloser_q3s1p0_s4s1p0_e95_a0p5_8e3dc02d.csv,E211,4,q3=1.00|s4=closer|s4scale=1.00|e95|anchor_scale=0.50,-0.0013150639731217,-0.0006198400634343,0.875,-0.0013200449750927,0.9615384615384616,-4.234011339443455e-05,target-specific gate versus E209,0.740644572620286,target_specific_q3raw_s4closer,"Q3 wants the raw JEPA residual body, while S4 wants dependency-consistent JEPA movement.",current strongest clean E95-frontier JEPA sensor,1.0,,,,0.0004384159861288,0.7365855432468479,,1.0,closer,1.0,-0.0013150639731217,-0.0012727238597273,-4.234011339443455e-05,-0.0010582560495632,0.5,True,1.0,clean current-frontier sensor,2cfefb3e97c18560fa34be8ea19f228079d68b42f9648bdcb421608b52978c34,True,True,True,True,354,250,0.0024721566785930347,0.06562624944091583,Q3:0.730370;S4:0.269630;S1:0.000000;S2:0.000000;Q1:0.000000;S3:0.000000;Q2:0.000000,0.9977841884803418,0.9375,1.0,0.5039431351090264,0.5070572229924852,0.5598818423717159,0.8286842763603257,0.9617224833167988,0.8,4,2,5
q3_center_c010_s4_rank,e154,0.25,"Q3,S4",-0.0012727238597273,-0.0012971056932321,0.9,-0.0007945980831251,0.75,0.0093090121567691,0.1376738837837468,0.0078736789851953,0.1376738837837468,0.8872706043659276,0.0330410691633642,0.3135201517760317,0.9495815470144384,ordinal,0.202004726541383,0.359939108994253,-0.0016728524879377,-0.0072025376507254,665,250,"Q1,Q3,S2,S3,S4",-0.0002178654722276,0.009309012156769,7.867079073356964e-05,0.0003521012140836,0.000642040486039,0.0013144282476837,1,1,3,0.3610980203938195,1.6161405039700716,0.4721590874515299,500,250,"Q3,S4",-0.0001880279142145,0.0078736789851952,7.867079073356964e-05,0.0003568206710317,0.0006474254308893,0.0012670677023849,1,1,3,0.4183995289327629,1.8977005224055303,0.4740583966216389,True,0.0138531889108188,submission_e209_jepa_q3_center_c010_s4_rank_e154_s0p25_1e4591ca.csv,E209,1,q3_center_c010_s4_rank|e154|scale=0.25,-0.0012727238597273,-0.0007945980831251,0.75,-0.0012971056932321,0.9,0.0,raw JEPA materialization,,raw_jepa_q3_s4_translation,The feature-neighbor JEPA representation can be translated directly into Q3/S4 frontier movement.,raw JEPA control; cleanest falsifier for actual JEPA usefulness,0.82,,,,,,,,,,,,,,,,0.62,survival-oriented but E154-confounded,23adef7868115f5205106f6df0d0585884b46a90c44bd339ff5029af7040b20d,True,True,True,True,665,250,0.0019537032394940992,0.0334889031760735,Q3:0.502456;S4:0.399612;Q1:0.048574;S3:0.027854;S2:0.021504;S1:0.000000;Q2:0.000000,0.9656592907210999,0.875,1.0,0.19932619855121683,0.4090996724860745,0.49750658834458183,0.7336903804952898,0.8553349967025828,0.8220000000000001,5,6,3
q3_center_c010_s4_rank,e95,0.25,"Q3,S4",-0.0012727238597273,-0.0012971056932321,0.9,-0.0007945980831251,0.75,0.0078736789851953,0.1376738837837468,0.0078736789851953,0.1376738837837468,0.9999999999999932,1.3141338329856037e-15,0.2921651739001523,0.9563678743872016,ordinal,0.1557375090751754,0.0610734890817322,6.900468592299315e-17,3.3928641853329443e-16,500,250,"Q3,S4",-0.0001896673643074,0.0078736789851952,7.867079073356964e-05,0.0003568206710317,0.0006474254308893,0.0012670677023849,1,1,3,0.4147829597402977,1.881297145319128,0.4740583966216388,500,250,"Q3,S4",-0.0001896673643074,0.0078736789851952,7.867079073356964e-05,0.0003568206710317,0.0006474254308893,0.0012670677023849,1,1,3,0.4147829597402977,1.881297145319128,0.4740583966216388,True,0.0124452882413482,submission_e209_jepa_q3_center_c010_s4_rank_e95_s0p25_08289063.csv,E209,3,q3_center_c010_s4_rank|e95|scale=0.25,-0.0012727238597273,-0.0007945980831251,0.75,-0.0012971056932321,0.9,0.0,raw JEPA materialization,,raw_jepa_q3_s4_translation,The feature-neighbor JEPA representation can be translated directly into Q3/S4 frontier movement.,raw JEPA control; cleanest falsifier for actual JEPA usefulness,0.82,,,,,,,,,,,,,,,,1.0,clean current-frontier sensor,3e46ec2352c93653346baabef5608c822ab8e3eb5a042934bf8d998621edbfc0,True,True,True,True,500,250,0.0016744686976130454,0.03289782947488412,Q3:0.537215;S4:0.462785;S1:0.000000;S2:0.000000;Q1:0.000000;S3:0.000000;Q2:0.000000,0.9656592907210999,0.875,1.0,0.17906866144623118,0.37606258755137817,0.5622122910793066,0.7319304562130473,0.9200173388666663,0.9549999999999998,6,3,1
s4_rank,e95,0.75,S4,-0.0004476792611112,-0.0004770217795552,0.8,-0.0006399753064643,0.875,0.0113543268241394,0.221835765283566,0.0113543268241394,0.221835765283566,0.999999999999995,9.112885426650728e-16,0.0974015737766321,0.9952451624729634,ordinal,0.0605149949419501,0.0096394718566519,3.625774373482677e-17,8.379564225074796e-16,250,250,S4,-0.0001886684789483,0.0113543268241393,0.0001267632944477,0.0006083691710553,0.0011417565022466,0.0024997560345587,1,1,2,0.6718837993199784,3.2245406039545617,0.4941315383556505,250,250,S4,-0.0001886684789483,0.0113543268241393,0.0001267632944477,0.0006083691710553,0.0011417565022466,0.0024997560345587,1,1,2,0.6718837993199784,3.2245406039545617,0.4941315383556505,True,0.0111751119217983,submission_e209_jepa_s4_rank_e95_s0p75_0ed14a13.csv,E209,4,s4_rank|e95|scale=0.75,-0.0004476792611112,-0.0006399753064643,0.875,-0.0004770217795552,0.8,0.0,raw JEPA materialization,,raw_jepa_s4_only,JEPA neighbor latent contains an S4 rank signal without extra dependency gating.,raw JEPA control; narrow target test,0.72,,,,,,,,,,,,,,,,1.0,clean current-frontier sensor,acb45e679a95acda4d85289d5d281750ffada6a0f9559872f0153097ea0aec2b,True,True,True,True,250,250,0.002331574977481515,0.045282477348362604,S4:1.000000;S1:0.000000;S2:0.000000;Q1:0.000000;S3:0.000000;Q2:0.000000;Q3:0.000000,0.33966962625169567,0.9375,1.0,0.16079276707306386,0.2711838522213004,0.7677101275669966,0.5906478254809522,0.7563201030044946,0.9299999999999999,7,7,2
s4_rank,e154,0.75,S4,-0.0004476792611112,-0.0004770217795552,0.8,-0.0006399753064643,0.875,0.0131273852633496,0.2432402232940067,0.0113543268241394,0.2218357652835658,0.9200602943137024,0.0234303868092558,0.1153013889030062,0.9933305541042404,ordinal,0.0907853374128793,0.1770497398710937,-0.0009255553015415,-0.0039850177796601,510,250,"Q1,Q3,S2,S3,S4",-0.0002180270335295,0.0131273852633496,0.0001389944133108,0.0006202071856262,0.00115569026905,0.0025205875468965,1,1,2,0.6375099961721344,2.844634335411976,0.4907408851775685,250,250,S4,-0.0001881894755164,0.0113543268241393,0.0001267632944477,0.0006083691710553,0.0011417565022466,0.0024997560345587,1,1,2,0.6735939621483709,3.2327481087122414,0.4941315383556506,True,0.0126602265524325,submission_e209_jepa_s4_rank_e154_s0p75_030e88de.csv,E209,2,s4_rank|e154|scale=0.75,-0.0004476792611112,-0.0006399753064643,0.875,-0.0004770217795552,0.8,0.0,raw JEPA materialization,,raw_jepa_s4_only,JEPA neighbor latent contains an S4 rank signal without extra dependency gating.,raw JEPA control; narrow target test,0.72,,,,,,,,,,,,,,,,0.62,survival-oriented but E154-confounded,a3616916c4e0b330a348fc1c06a7a83676591fdb10a72a0e7c4098760c54589f,True,True,True,True,510,250,0.002684708961007961,0.04619224054920673,S4:0.869373;Q3:0.059360;Q1:0.035348;S3:0.020270;S2:0.015649;S1:0.000000;Q2:0.000000,0.33966962625169567,0.9375,1.0,0.18216129497250855,0.2816869681223421,0.6877925887852615,0.5897401820602142,0.6907250506775905,0.7969999999999999,8,8,6
q3_center_c010_s4_rank,e154,0.75,,,,,,,,,0.0118060427517932,0.4130216513512404,0.9224498568751488,0.022730004256694,0.3255241910580865,0.945533712268356,lejepa_bad,0.1232503405440852,0.2076037819429786,-0.0008085217129291,-0.003481124678231,470,224,"Q1,Q3,S2,S3,S4",-0.0013636087294976,0.013531881078457,0.0002360123722007,0.0009936299348622,0.0017013440543726,0.0033444512204657,1,1,8,0.1730792470708628,0.7286767188916005,0.4646129044823933,244,195,"Q3,S4",-0.0013337711714845,0.0118060427517932,0.0002360123722007,0.0010142402233963,0.0017020129976982,0.0033205192195715,1,1,8,0.1769511721699757,0.7604304584477227,0.4640914029228731,,0.0686535004397941,submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh1p0_e154_s0p75_67d1b011.csv,E210,3,q3_center_c010_s4_rank|closer|shrink=1.00|e154|scale=0.75,-0.0005497731200962,-2.5798438441998472e-05,0.5,-0.0005613271082881,0.8884615384615384,0.000722950739631,dependency gate versus E209,,blunt_dependency_gate,Public hard-tail safety requires filtering both Q3 and S4 by target-dependency geometry.,"high hard-tail sensor, but it loses the E209 local body",0.45,closer,1.0,0.000722950739631,0.0009132241282744,0.4998105194954666,True,,,,,,,,,,0.62,survival-oriented but E154-confounded,b794bff367cb588d811af408ff777a992b51fe363877fb939eefff2de1445c50,True,True,True,True,470,224,0.0027561664159524686,0.0879773057782956,Q3:0.553796;S4:0.376785;Q1:0.034431;S3:0.019745;S2:0.015243;S1:0.000000;Q2:0.000000,0.41713174240590917,0.75,0.02692355572209012,0.9878188587474929,0.5909058450180298,0.6187155121425891,0.5313862773478085,0.44750452974662797,0.33488471114441803,9,11,11
q3_center_c010_s4_rank,e95,0.75,,,,,,,,,0.0118528288608616,0.4130216513512404,0.9999999999999952,8.729618950864313e-16,0.3119608150640892,0.9500949688660336,e72,0.1116102040421156,0.0662180668712636,3.177003719111426e-17,6.42445268143459e-16,245,196,"Q3,S4",-0.0013475524161657,0.0118528288608616,0.0002360123722007,0.0010142402233963,0.0017020129976982,0.0033205192195715,1,1,8,0.1751415153647609,0.7526536342699168,0.4643228535100865,245,196,"Q3,S4",-0.0013475524161657,0.0118528288608616,0.0002360123722007,0.0010142402233963,0.0017020129976982,0.0033205192195715,1,1,8,0.1751415153647609,0.7526536342699168,0.4643228535100865,,0.0678506847731975,submission_e210_jepa_depgate_q3_center_c010_s4_rank_closer_sh1p0_e95_s0p75_35e6b0a9.csv,E210,4,q3_center_c010_s4_rank|closer|shrink=1.00|e95|scale=0.75,-0.0005497731200962,-2.5798438441998472e-05,0.5,-0.0005613271082881,0.8884615384615384,0.000722950739631,dependency gate versus E209,,blunt_dependency_gate,Public hard-tail safety requires filtering both Q3 and S4 by target-dependency geometry.,"high hard-tail sensor, but it loses the E209 local body",0.45,closer,1.0,0.000722950739631,0.0009132241282744,0.5017912161582062,True,,,,,,,,,,1.0,clean current-frontier sensor,68db734e1800cad0b13feef7cea48d779975900519464e5aa15fe49e83a5fc49,True,True,True,True,245,196,0.0024359531863702875,0.09223000644352453,Q3:0.587116;S4:0.412884;S1:0.000000;S2:0.000000;Q1:0.000000;S3:0.000000;Q2:0.000000,0.41713174240590917,0.75,0.02692355572209012,0.9762675692941967,0.5880394902989095,0.6418275056646382,0.530695576415229,0.5096912493579508,0.467884711144418,10,9,9
