score,outcome,world_update_class,delta_vs_e95,next_action,candidate_to_test
0.5762513297999999,broad_breakthrough,strong_support,-4.0000000000040004e-05,Promote broad survivor structure as a live hidden-world target. Do an exact E166 component/block attribution before scaling or submitting any E166-family sibling.,conditional:e166_component_block_attribution
0.5762713298,clean_win,support,-2.0000000000020002e-05,Use E166 as the new broad-world anchor and audit whether the top benefit cells are between-train-runs or S-stage driven.,conditional:e166_context_component_attribution
0.5762833298,micro_win,weak_support,-8.000000000008e-06,Keep E166 alive. Decode exact cells and compare against E167 top-benefit context before any same-family file.,conditional:e166_exact_cell_decoder
0.5762913298,tie,underresolved,0.0,"Keep E95 practical. Prefer E224 if the next question is JEPA, or E154 if the next question is the conservative branch.",conditional:e224_or_e154_by_question
0.576300366,small_loss,weak_rejection,9.036200000034356e-06,"Do not rescue by scaling. Compare loss cells to E72-active and low-veto-null warnings, then choose E154 or new representation search.",conditional:e166_loss_cell_attribution_then_e154_or_search
0.5763066405,mixmin_safe_loss,rejection,1.5310700000048527e-05,Route away from broad survivor as an expected-score lane. Use E154 for conservative branch test or E224 for the distinct JEPA test.,conditional:e154_or_e224_by_question
0.576311831,broad_branch_loss,strong_rejection,2.0501200000078157e-05,Treat E166 like E176: broad survivor body is public-misaligned at frontier resolution. Route to E154 or a non-collinear representation.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv
0.5763313298,broad_fail,hard_rejection,4.0000000000040004e-05,Close E166-family expected-score followups. Use E154 if testing existing files; otherwise search for a new block/sequence target.,analysis_outputs/submission_e154_s3repair_9f2e2e73.csv
0.5764077772,e72_like_fail,very_hard_rejection,0.0001164474000000526,Run an E166 miss anatomy before any broad candidate. Treat E72-active broad survivor structure as public-dangerous.,conditional:e166_public_miss_anatomy
0.5772865088,s2_jepa_like_fail_or_worse,collapse,0.0009951790000000127,Do a root-cause miss anatomy and stop broad survivor submissions until a public-tail target is rebuilt.,conditional:e166_public_miss_anatomy
