subject_id,sleep_date,lifelog_date,global_test_index,test_day_index,days_after_train,move_Q1,abs_move_Q1,move_Q2,abs_move_Q2,move_Q3,abs_move_Q3,move_S1,abs_move_S1,move_S2,abs_move_S2,move_S3,abs_move_S3,move_S4,abs_move_S4,mean_abs_move,max_abs_move,dominant_target,mean_abs_mixmin_raw05_distance
id04,2024-10-19,2024-10-18,98,18,-8,-0.020516716581959415,0.020516716581959415,-0.016375868593634935,0.016375868593634935,0.016627172729567263,0.016627172729567263,-0.012260302860694128,0.012260302860694128,-0.00802267904725995,0.00802267904725995,0.019832809037472088,0.019832809037472088,0.018276328376703233,0.018276328376703233,0.015987411032470145,0.020516716581959415,Q1,0.015557251610161582
id10,2024-09-26,2024-09-25,248,20,11,-0.01201175384638098,0.01201175384638098,0.01029980645322226,0.01029980645322226,-0.02005315952414255,0.02005315952414255,-0.006977605765085798,0.006977605765085798,0.017324262626241316,0.017324262626241316,0.02033833045939709,0.02033833045939709,0.02013549367053835,0.02013549367053835,0.015305773192144049,0.02033833045939709,S3,0.016996496515022615
id05,2024-11-08,2024-11-07,120,13,-7,-0.020451976150106632,0.020451976150106632,-0.011209515728563602,0.011209515728563602,0.019993746373846544,0.019993746373846544,0.010313659458345226,0.010313659458345226,-0.014601415909730242,0.014601415909730242,-0.008816225909182684,0.008816225909182684,0.01855890929158538,0.01855890929158538,0.014849349831622902,0.020451976150106632,Q1,0.015661917844940698
id09,2024-09-10,2024-09-09,219,18,6,-0.019621695341755785,0.019621695341755785,0.007896889346555525,0.007896889346555525,-0.020155540983094467,0.020155540983094467,-0.011260555859651689,0.011260555859651689,-0.010809900508554238,0.010809900508554238,0.02022696915834754,0.02022696915834754,-0.009221403207403833,0.009221403207403833,0.014170422057909011,0.02022696915834754,S3,0.013509029790658877
id01,2024-08-09,2024-08-08,7,7,-23,0.006763086922607797,0.006763086922607797,-0.013226403573401324,0.013226403573401324,-0.019461860255775454,0.019461860255775454,-0.014279287631003501,0.014279287631003501,0.02024511471686974,0.02024511471686974,0.016287748293132953,0.016287748293132953,-0.007975716760105278,0.007975716760105278,0.014034174021842292,0.02024511471686974,S2,0.019300925707963
id05,2024-10-16,2024-10-15,116,9,-30,0.019260863120976524,0.019260863120976524,0.018717720624562284,0.018717720624562284,0.019145847830856266,0.019145847830856266,0.0,0.0,-0.016222531519011096,0.016222531519011096,0.006325265265242394,0.006325265265242394,0.017977966887066432,0.017977966887066432,0.013950027892530715,0.019260863120976524,Q1,0.014306944980067623
id01,2024-09-03,2024-09-02,15,15,2,-0.015393308183167698,0.015393308183167698,-0.012003418124377552,0.012003418124377552,0.018519241163331368,0.018519241163331368,-0.016432573730546296,0.016432573730546296,0.02024411196527598,0.02024411196527598,0.014477734120408314,0.014477734120408314,0.0,0.0,0.013867198183872458,0.02024411196527598,S2,0.01383519934572945
id07,2024-07-22,2024-07-21,160,8,-23,0.019961962824413704,0.019961962824413704,-0.01649397365542765,0.01649397365542765,-0.02042759227702673,0.02042759227702673,0.010615700326094046,0.010615700326094046,-0.014294606070947236,0.014294606070947236,0.0,0.0,-0.014223581686888642,0.014223581686888642,0.013716773834399716,0.02042759227702673,Q3,0.014243735416775982
id03,2024-09-18,2024-09-17,72,13,5,-0.012762884176394373,0.012762884176394373,0.010863033600752803,0.010863033600752803,-0.009957447756990145,0.009957447756990145,-0.01451528075643016,0.01451528075643016,0.0205074470448936,0.0205074470448936,0.0200723711923112,0.0200723711923112,0.007212797460610293,0.007212797460610293,0.013698751712626082,0.0205074470448936,S2,0.013359397180949414
id08,2024-08-06,2024-08-05,184,2,-42,0.01974286490470678,0.01974286490470678,0.01815600375022186,0.01815600375022186,0.008665589254291395,0.008665589254291395,0.017532968854692244,0.017532968854692244,-0.01854150474614391,0.01854150474614391,0.0,0.0,-0.01296963811848717,0.01296963811848717,0.01365836708979191,0.01974286490470678,Q1,0.013499525358428481
id08,2024-08-14,2024-08-13,191,9,-34,0.014947361433517437,0.014947361433517437,0.015380456172769952,0.015380456172769952,-0.006352005076565026,0.006352005076565026,0.01942446991263308,0.01942446991263308,-0.01936849370260929,0.01936849370260929,0.0,0.0,-0.01985024936196389,0.01985024936196389,0.013617576522865524,0.01985024936196389,S4,0.013921241934770567
id01,2024-09-02,2024-09-01,14,14,1,-0.01717572743029372,0.01717572743029372,-0.012833758719265176,0.012833758719265176,0.018582423438357143,0.018582423438357143,-0.012842524070542816,0.012842524070542816,0.02005180377062732,0.02005180377062732,0.013416014962046585,0.013416014962046585,0.0,0.0,0.01355746462730468,0.02005180377062732,S2,0.014835954898289752
id05,2024-10-14,2024-10-13,115,8,-32,0.017983986627657766,0.017983986627657766,0.01093056982535151,0.01093056982535151,0.01987317457275939,0.01987317457275939,0.019734940413658975,0.019734940413658975,-0.018653296306145817,0.018653296306145817,0.0,0.0,0.007541000686976884,0.007541000686976884,0.013530995490364335,0.01987317457275939,Q3,0.013299375412411284
id10,2024-08-14,2024-08-13,233,5,-32,0.012990329748395368,0.012990329748395368,0.009008168439399167,0.009008168439399167,0.02034331481674556,0.02034331481674556,0.018131150477547986,0.018131150477547986,-0.007577457450627101,0.007577457450627101,0.020420654760021306,0.020420654760021306,-0.0058888989979811734,0.0058888989979811734,0.013479996384388238,0.020420654760021306,S3,0.014806233415179464
id01,2024-08-13,2024-08-12,10,10,-19,-0.007072329648019404,0.007072329648019404,-0.014014431878889066,0.014014431878889066,0.010865490394375565,0.010865490394375565,-0.01031280732423867,0.01031280732423867,0.018760942671120606,0.018760942671120606,0.013063678308366189,0.013063678308366189,-0.017141305723482103,0.017141305723482103,0.013032997992641657,0.018760942671120606,S2,0.011840938083107955
id09,2024-08-14,2024-08-13,209,8,-21,-0.008302440018585905,0.008302440018585905,0.015471225783596165,0.015471225783596165,0.009502248060766882,0.009502248060766882,-0.01304957870481771,0.01304957870481771,0.01568820466586085,0.01568820466586085,0.01914450274468804,0.01914450274468804,0.008470806104462492,0.008470806104462492,0.012804143726111149,0.01914450274468804,S3,0.01614007781867394
id07,2024-08-15,2024-08-14,167,15,1,-0.013948281026710113,0.013948281026710113,0.0,0.0,0.01678037237207919,0.01678037237207919,0.018048422872534997,0.018048422872534997,0.015416301995172299,0.015416301995172299,0.017747610069121178,0.017747610069121178,0.007555292339249009,0.007555292339249009,0.012785182953552398,0.018048422872534997,S1,0.015887456403617193
id10,2024-09-18,2024-09-17,241,13,3,-0.010493243140687891,0.010493243140687891,0.0,0.0,-0.020470880199940034,0.020470880199940034,-0.005390030588131145,0.005390030588131145,0.019186209756185013,0.019186209756185013,-0.0188226917792344,0.0188226917792344,0.01377690379314811,0.01377690379314811,0.012591422751046657,0.020470880199940034,Q3,0.012157110515303946
id05,2024-11-19,2024-11-18,126,19,4,-0.01118871866118909,0.01118871866118909,0.017794957733451966,0.017794957733451966,0.02046741567653887,0.02046741567653887,-0.0134668848710007,0.0134668848710007,0.0,0.0,0.007400832915705591,0.007400832915705591,0.017319976846674467,0.017319976846674467,0.012519826672080098,0.02046741567653887,Q3,0.012601209787967757
id09,2024-09-20,2024-09-19,225,24,16,0.009044304057623687,0.009044304057623687,0.018630889984954713,0.018630889984954713,0.02044406846646396,0.02044406846646396,0.012928684430244752,0.012928684430244752,-0.007432584814905163,0.007432584814905163,0.01911615549550283,0.01911615549550283,0.0,0.0,0.012513812464242158,0.02044406846646396,Q3,0.012274814004852466
