sub_idx,target,target_idx,component,p_e95,p_e143,p_e144,delta_prob_e144_minus_e95,delta_prob_e144_minus_e143,delta_y1,delta_y0,support_label,support_y_for_e144,support_delta,adverse_delta,flip_benefit,e144_better_if_y1,e144_better_if_y0,differs_from_e143,moves_prob_up,moves_prob_down,hidden_block_id,subject_id,lifelog_date,sleep_date,global_pos,subject_pos,subject_phase,dow,is_weekend,block_n_rows,block_len_bin,pos_in_block,pos_frac,edge_distance,pos_bin,block_start,block_end,context_type,has_prev_train,has_next_train,prev_gap_pos,next_gap_pos,prev_gap_days,next_gap_days,edge_like,flip_rank,global_prior_y1,subject_prior_y1,subject_train_count,prev_y,next_y,has_prev_label,has_next_label,both_flanks,prev_only,next_only,flank_conflict,flank_agree,min_flank_gap_days,p_y1_global,support_probability_global,expected_delta_global,p_y1_subject,support_probability_subject,expected_delta_subject,p_y1_prev_beta,support_probability_prev_beta,expected_delta_prev_beta,p_y1_next_beta,support_probability_next_beta,expected_delta_next_beta,p_y1_nearest_beta,support_probability_nearest_beta,expected_delta_nearest_beta,p_y1_both_equal_beta,support_probability_both_equal_beta,expected_delta_both_equal_beta,p_y1_both_distance_beta,support_probability_both_distance_beta,expected_delta_both_distance_beta,p_y1_edge_endpoint_beta,support_probability_edge_endpoint_beta,expected_delta_edge_endpoint_beta,p_y1_nearest_hard085,support_probability_nearest_hard085,expected_delta_nearest_hard085,p_y1_conflict_flat,support_probability_conflict_flat,expected_delta_conflict_flat,hard_support_global,hard_support_subject,hard_support_prev_beta,hard_support_next_beta,hard_support_nearest_beta,hard_support_both_equal_beta,hard_support_both_distance_beta,hard_support_edge_endpoint_beta,hard_support_nearest_hard085,hard_support_conflict_flat
3,Q3,2,inherited_e143_body,0.5776049787297984,0.572718007215828,0.572718007215828,-0.0048869715139704395,0.0,0.00849674565275671,-0.01150325434724353,0,0,-0.01150325434724353,0.00849674565275671,0.02000000000000024,False,True,False,False,True,id01_b2,id01,2024-08-02,2024-08-03,31,31,0.4626865671641791,4,0,14,11-16,3,0.23076923076923078,3,interior,2024-07-30,2024-08-16,between_train_runs,True,True,4.0,11.0,5.0,15.0,False,28,0.6,0.5853658536585366,41,1.0,1.0,True,True,True,False,False,False,True,5.0,0.6,0.4,0.0004967456527566133,0.5853658536585366,0.41463414634146345,0.00020406272592734132,0.6230598669623059,0.37694013303769414,0.0009579429920027367,0.5987411487018095,0.4012588512981905,0.00047156862679280376,0.7235772357723578,0.2764227642276422,0.002968290368203799,0.7926829268292683,0.20731707317073167,0.004350404189342027,0.6341463414634146,0.36585365853658536,0.0011796724820249144,0.7235772357723578,0.2764227642276422,0.002968290368203799,0.85,0.15000000000000002,0.005496745652756673,0.6341463414634146,0.36585365853658536,0.0011796724820249144,False,False,False,False,False,False,False,False,False,False
4,Q1,0,inherited_e143_body,0.5498120349920256,0.5448568884203894,0.5448568884203894,-0.004955146571636204,0.0,0.00905329512905717,-0.010946704870942958,0,0,-0.010946704870942958,0.00905329512905717,0.02000000000000013,False,True,False,False,True,id01_b2,id01,2024-08-03,2024-08-04,32,32,0.47761194029850745,5,1,14,11-16,4,0.3076923076923077,4,interior,2024-07-30,2024-08-16,between_train_runs,True,True,5.0,10.0,6.0,14.0,False,40,0.4955555555555556,0.43902439024390244,41,0.0,0.0,True,True,True,False,False,False,True,6.0,0.4955555555555556,0.5044444444444445,-0.001035593759831783,0.43902439024390244,0.5609756097560976,-0.002166217066064854,0.40525328330206384,0.5947467166979361,-0.0028416392049016286,0.4238856181665265,0.5761143818334735,-0.0024689925076123737,0.2926829268292683,0.7073170731707317,-0.005093046334357554,0.21951219512195122,0.7804878048780488,-0.006556460968503906,0.3923196678775298,0.6076803321224702,-0.003100311513392312,0.2926829268292683,0.7073170731707317,-0.005093046334357554,0.15,0.85,-0.00794670487094294,0.3923196678775298,0.6076803321224702,-0.003100311513392312,True,True,True,True,True,True,True,True,True,True
5,Q3,2,inherited_e143_body,0.5301780749547913,0.5251934469025319,0.5251934469025319,-0.00498462805225941,0.0,0.009446275581090013,-0.010553724418910004,0,0,-0.010553724418910004,0.009446275581090013,0.020000000000000018,False,True,False,False,True,id01_b2,id01,2024-08-05,2024-08-06,33,33,0.4925373134328358,0,0,14,11-16,5,0.38461538461538464,5,interior,2024-07-30,2024-08-16,between_train_runs,True,True,6.0,9.0,8.0,12.0,False,63,0.6,0.5853658536585366,41,1.0,1.0,True,True,True,False,False,False,True,8.0,0.6,0.4,0.0014462755810900054,0.5853658536585366,0.41463414634146345,0.0011535926542607378,0.6097560975609756,0.3902439024390244,0.0016413975323095187,0.601951219512195,0.398048780487805,0.0014852999713339055,0.7235772357723578,0.2764227642276422,0.0039178202965371636,0.7926829268292683,0.20731707317073167,0.005299934117675376,0.6244822825586746,0.37551771744132545,0.0019359212322634977,0.7235772357723578,0.2764227642276422,0.0039178202965371636,0.85,0.15000000000000002,0.006446275581090011,0.6244822825586746,0.37551771744132545,0.0019359212322634977,False,False,False,False,False,False,False,False,False,False
6,Q1,0,inherited_e143_body,0.5666241810032658,0.5715287066901371,0.5715287066901371,0.004904525686871275,0.0,-0.008618448536960588,0.011381551463039541,1,1,-0.008618448536960588,0.011381551463039541,0.02000000000000013,True,False,False,True,False,id01_b2,id01,2024-08-06,2024-08-07,34,34,0.5074626865671642,1,0,14,11-16,6,0.46153846153846156,6,interior,2024-07-30,2024-08-16,between_train_runs,True,True,7.0,8.0,9.0,11.0,False,41,0.4955555555555556,0.43902439024390244,41,0.0,0.0,True,True,True,False,False,False,True,9.0,0.4955555555555556,0.4955555555555556,0.0014704403519283657,0.43902439024390244,0.43902439024390244,0.002601063658161436,0.4159178433889602,0.4159178433889602,0.003063194595260283,0.41993637327677624,0.41993637327677624,0.002982823997503962,0.2926829268292683,0.2926829268292683,0.005527892926454137,0.21951219512195122,0.21951219512195122,0.006991307560600489,0.39874692324904903,0.39874692324904903,0.0034066129980585094,0.2926829268292683,0.2926829268292683,0.005527892926454137,0.15,0.15,0.008381551463039521,0.39874692324904903,0.39874692324904903,0.0034066129980585094,False,False,False,False,False,False,False,False,False,False
7,Q1,0,inherited_e143_body,0.0939948299763649,0.0957119116597884,0.0957119116597884,0.0017170816834235075,0.0,-0.01810297896163826,0.0018970210383618402,1,1,-0.01810297896163826,0.0018970210383618402,0.0200000000000001,True,False,False,True,False,id01_b2,id01,2024-08-08,2024-08-09,35,35,0.5223880597014925,3,0,14,11-16,7,0.5384615384615384,6,interior,2024-07-30,2024-08-16,between_train_runs,True,True,8.0,7.0,11.0,9.0,False,56,0.4955555555555556,0.43902439024390244,41,0.0,0.0,True,True,True,False,False,False,True,9.0,0.4955555555555556,0.4955555555555556,-0.008014090072749322,0.43902439024390244,0.43902439024390244,-0.006883466766516253,0.41993637327677624,0.41993637327677624,-0.006501706427173727,0.4159178433889602,0.4159178433889602,-0.006421335829417406,0.2926829268292683,0.2926829268292683,-0.003956637498223555,0.21951219512195122,0.21951219512195122,-0.0024932228640772063,0.39874692324904903,0.39874692324904903,-0.006077917426619181,0.2926829268292683,0.2926829268292683,-0.003956637498223555,0.15,0.15,-0.001102978961638175,0.39874692324904903,0.39874692324904903,-0.006077917426619181,False,False,False,False,False,False,False,False,False,False
12,Q1,0,inherited_e143_body,0.420879449722642,0.4160125146738371,0.4160125146738371,-0.004866935048804921,0.0,0.011631106817581172,-0.008368893182418846,0,0,-0.008368893182418846,0.011631106817581172,0.020000000000000018,False,True,False,False,True,id01_b2,id01,2024-08-14,2024-08-15,40,40,0.5970149253731343,2,0,14,11-16,12,0.9230769230769231,1,near_edge,2024-07-30,2024-08-16,between_train_runs,True,True,13.0,2.0,17.0,3.0,True,64,0.4955555555555556,0.43902439024390244,41,0.0,0.0,True,True,True,False,False,False,True,3.0,0.4955555555555556,0.5044444444444445,0.0015422179286922735,0.43902439024390244,0.5609756097560976,0.0004115946224592104,0.42648083623693384,0.5735191637630661,0.00016072354231983898,0.3763066202090592,0.6236933797909407,-0.0008427607782376546,0.2926829268292683,0.7073170731707317,-0.002515234645833475,0.21951219512195122,0.7804878048780488,-0.003978649279979818,0.3670531787285086,0.6329468212714914,-0.0010278296078486673,0.2926829268292683,0.7073170731707317,-0.002515234645833475,0.15,0.85,-0.0053688931824188435,0.3670531787285086,0.6329468212714914,-0.0010278296078486673,True,True,True,True,True,True,True,True,True,True
13,Q3,2,inherited_e143_body,0.5952981202027816,0.6001071594203111,0.6001071594203111,0.004809039217529509,0.0,-0.008045915879653642,0.011954084120346486,1,1,-0.008045915879653642,0.011954084120346486,0.02000000000000013,True,False,False,True,False,id01_b2,id01,2024-08-16,2024-08-17,41,41,0.6119402985074627,4,0,14,11-16,13,1.0,0,right_edge,2024-07-30,2024-08-16,between_train_runs,True,True,14.0,1.0,19.0,1.0,True,42,0.6,0.5853658536585366,41,1.0,1.0,True,True,True,False,False,False,True,1.0,0.6,0.6,-4.591587965359009e-05,0.5853658536585366,0.5853658536585366,0.0002467670471756802,0.5959974984365227,0.5959974984365227,3.4134151615954934e-05,0.7235772357723578,0.7235772357723578,-0.002517460595100762,0.7235772357723578,0.7235772357723578,-0.002517460595100762,0.7926829268292683,0.7926829268292683,-0.003899574416238983,0.7283431455004206,0.7283431455004206,-0.002612778789662019,0.7235772357723578,0.7235772357723578,-0.002517460595100762,0.85,0.85,-0.005045915879653622,0.7283431455004206,0.7283431455004206,-0.002612778789662019,True,True,True,True,True,True,True,True,True,True
14,Q1,0,inherited_e143_body,0.2894890408938955,0.2936199981536582,0.2936199981536582,0.004130957259762702,0.0,-0.014168967015381284,0.005831032984618234,1,1,-0.014168967015381284,0.005831032984618234,0.019999999999999518,True,False,False,True,False,id01_b4,id01,2024-09-01,2024-09-02,55,55,0.8208955223880597,6,1,13,11-16,0,0.0,0,left_edge,2024-09-01,2024-09-14,after_train_run,True,False,1.0,,1.0,,True,136,0.4955555555555556,0.43902439024390244,41,1.0,,True,False,False,True,False,False,False,1.0,0.4955555555555556,0.4955555555555556,-0.004080078126492638,0.43902439024390244,0.43902439024390244,-0.002949454820259603,0.6260162601626016,0.6260162601626016,-0.006689292218633496,0.43902439024390244,0.43902439024390244,-0.002949454820259603,0.6260162601626016,0.6260162601626016,-0.006689292218633496,0.6260162601626016,0.6260162601626016,-0.006689292218633496,0.6260162601626016,0.6260162601626016,-0.006689292218633496,0.6260162601626016,0.6260162601626016,-0.006689292218633496,0.85,0.85,-0.011168967015381356,0.6260162601626016,0.6260162601626016,-0.006689292218633496,False,False,True,False,True,True,True,True,True,True
15,Q1,0,inherited_e143_body,0.2423459201077398,0.2460371055511252,0.2460371055511252,0.0036911854433853974,0.0,-0.015116232693024978,0.00488376730697454,1,1,-0.015116232693024978,0.00488376730697454,0.019999999999999518,True,False,False,True,False,id01_b4,id01,2024-09-02,2024-09-03,56,56,0.835820895522388,0,0,13,11-16,1,0.08333333333333333,1,near_edge,2024-09-01,2024-09-14,after_train_run,True,False,2.0,,2.0,,True,137,0.4955555555555556,0.43902439024390244,41,1.0,,True,False,False,True,False,False,False,2.0,0.4955555555555556,0.4955555555555556,-0.005027343804136332,0.43902439024390244,0.43902439024390244,-0.003896720497903297,0.5512195121951219,0.5512195121951219,-0.006140622936927632,0.43902439024390244,0.43902439024390244,-0.003896720497903297,0.6260162601626016,0.6260162601626016,-0.00763655789627719,0.6260162601626016,0.6260162601626016,-0.00763655789627719,0.5512195121951219,0.5512195121951219,-0.006140622936927632,0.6260162601626016,0.6260162601626016,-0.00763655789627719,0.85,0.85,-0.01211623269302505,0.5512195121951219,0.5512195121951219,-0.006140622936927632,False,False,True,False,True,True,True,True,True,True
15,Q3,2,inherited_e143_body,0.6655064465011766,0.6610396574220672,0.6610396574220672,-0.004466789079109468,0.0,0.006734490339804,-0.013265509660196129,0,0,-0.013265509660196129,0.006734490339804,0.02000000000000013,False,True,False,False,True,id01_b4,id01,2024-09-02,2024-09-03,56,56,0.835820895522388,0,0,13,11-16,1,0.08333333333333333,1,near_edge,2024-09-01,2024-09-14,after_train_run,True,False,2.0,,2.0,,True,43,0.6,0.5853658536585366,41,1.0,,True,False,False,True,False,False,False,2.0,0.6,0.4,-0.001265509660196052,0.5853658536585366,0.41463414634146345,-0.0015581925870253224,0.6682926829268292,0.3317073170731708,0.00010034399834054145,0.5853658536585366,0.41463414634146345,-0.0015581925870253224,0.7235772357723578,0.2764227642276422,0.00120603505525112,0.7235772357723578,0.2764227642276422,0.00120603505525112,0.6682926829268292,0.3317073170731708,0.00010034399834054145,0.7235772357723578,0.2764227642276422,0.00120603505525112,0.85,0.15000000000000002,0.00373449033980398,0.6682926829268292,0.3317073170731708,0.00010034399834054145,False,False,False,False,False,False,False,False,False,False
