target,view_id,split,method,rep,gate_spearman_null,abs_delta_spearman_null,signed_delta_spearman_null
Q2,family,subject,masked_residual_student_test,0,-0.01718005088081409,-0.01099342883822624,0.03200390917326046
Q2,family,subject,masked_residual_student_test,1,0.05517131474103586,0.13602257536616427,0.017112704651273382
Q2,family,subject,masked_residual_student_test,2,-0.029418326693227085,0.016881983140892037,0.0861609501840862
Q2,family,subject,masked_residual_student_test,3,0.07878078049248788,-0.08439509281412842,0.007055051324426232
Q2,family,subject,masked_residual_student_test,4,-0.12257437719003504,0.005395532080761525,-0.01016141355916949
Q2,family,subject,masked_residual_student_test,5,0.052702155234483745,0.040137164650949235,-0.01475908745598658
Q2,family,subject,masked_residual_student_test,6,0.03334978159650554,0.07978452944745762,0.05776029230842939
Q2,family,subject,masked_residual_student_test,7,-0.019252916046656746,0.0026661868392391817,-0.06290190183307291
Q2,family,subject,masked_residual_student_test,8,0.049259924158786536,-0.013990875052705678,0.1404211069537416
Q2,family,subject,masked_residual_student_test,9,-0.10362290596649545,-0.023551639316692442,-0.022718335090650323
Q2,family,subject,masked_residual_student_test,10,-0.026810156962511395,0.09523127012013945,0.1027503423592991
Q2,family,subject,masked_residual_student_test,11,-0.07045168722699563,-0.037534136213993215,0.018490588978634603
Q2,family,subject,masked_residual_student_test,12,-0.014314597033552534,0.004316683454006294,-0.01430473364364343
Q2,family,subject,masked_residual_student_test,13,0.11353256852109633,0.018754178637142897,-0.05825009216287024
Q2,family,subject,masked_residual_student_test,14,-0.012094273508376134,0.029884880329311112,0.06710709137284462
Q2,family,subject,masked_residual_student_test,15,-0.020980175682810923,0.04407103085030045,-0.017594770823802005
Q2,family,subject,masked_residual_student_test,16,0.04875841213459415,-0.011954983289312743,-0.01432020100746788
Q2,family,subject,masked_residual_student_test,17,0.002408102529640474,-0.03983684000335787,-0.02592781308422323
Q2,family,subject,masked_residual_student_test,18,0.012818509096145538,-0.060933679786411926,0.0848262455807349
Q2,family,subject,masked_residual_student_test,19,0.03074852397638362,0.02857595466566722,-0.03547568787835629
Q2,family,subject,masked_residual_student_test,20,-0.07351068017088272,-0.026503327913191224,0.024871521029711987
Q2,family,subject,masked_residual_student_test,21,0.026443815101041615,-0.06055021805826415,-0.025017172039058868
Q2,family,subject,masked_residual_student_test,22,-0.003270580329285268,0.05387218372705884,0.021881808497144772
Q2,family,subject,masked_residual_student_test,23,0.028969039504632074,0.017378227730259738,-0.04050644796225793
Q2,family,subject,masked_residual_student_test,24,0.012331589305428886,-0.027520951558141347,0.040280882239818065
Q2,family,subject,masked_residual_student_test,25,0.0006386022176354822,0.00024038861277162545,-0.014342113106219178
Q2,family,subject,masked_residual_student_test,26,0.08544712715403445,0.06732943472782107,-0.012007185642220253
Q2,family,subject,masked_residual_student_test,27,0.04959938559016944,-0.012136724814250004,-0.02842965918282766
Q2,family,subject,masked_residual_student_test,28,0.0004519752316037056,-0.027254139532169624,-0.05082446858014995
Q2,family,subject,masked_residual_student_test,29,0.06178159650554409,0.02108717268066377,0.031943328664948034
Q2,family,subject,masked_residual_student_test,30,-0.031039600633610134,-0.08108378800871123,-0.021210267117766666
Q2,family,subject,masked_residual_student_test,31,-0.05494398310372965,0.006370620475194418,0.01692451839140927
Q2,family,subject,masked_residual_student_test,32,-0.029765468247491957,0.0555555484899529,0.05542085352998167
Q2,family,subject,masked_residual_student_test,33,0.013611097777564439,0.06886263716691944,-0.04617394785693266
Q2,family,subject,masked_residual_student_test,34,0.03444266308260932,-0.009995139398056675,-0.09181620508239992
Q2,family,subject,masked_residual_student_test,35,0.0738777900446407,0.07286803992395874,0.005820884585933838
