target,view_id,split,method,base_logloss,aug_logloss,logloss_delta,teacher_r2,teacher_spearman
Q2,family,subject,masked_residual_student,0.765899724395758,0.761606747817211,-0.004292976578546992,-0.3329701014680846,-0.1035484948896867
Q2,jepa_resid,subject,masked_residual_student,0.765899724395758,0.7356891080506113,-0.030210616345146768,-0.19553900047085437,-0.234482211434789
Q2,story_bundle,subject,masked_residual_student,0.765899724395758,0.7665933701067598,0.0006936457110017225,-0.6188852243571705,0.005532405921346115
Q2,raw_day,subject,masked_residual_student,0.765899724395758,0.7669708104311173,0.0010710860353592144,-0.6891053628920492,-0.027644515116947082
Q2,family_story,subject,masked_residual_student,0.765899724395758,0.7704494919315803,0.004549767535822258,-0.8367165407713519,-0.016266944528121132
Q2,family_jepa_story,subject,masked_residual_student,0.765899724395758,0.770790649206137,0.004890924810379005,-0.9679086663715111,-0.04430882786252443
S1,family,subject,masked_residual_student,0.6566789899315844,0.6671629107369109,0.010483920805326563,-0.3048054057335663,-0.04022044553306437
S1,jepa_resid,subject,masked_residual_student,0.6566789899315844,0.6561011083703726,-0.000577881561211746,-0.02309745567041399,0.14510695526068443
S1,story_bundle,subject,masked_residual_student,0.6566789899315844,0.659098166770784,0.002419176839199677,-0.5459475410769992,0.06285877954952865
S1,raw_day,subject,masked_residual_student,0.6566789899315844,0.6525359065432796,-0.0041430833883047136,-0.7335180964895158,0.15253639112621134
S1,family_story,subject,masked_residual_student,0.6566789899315844,0.6515704804980692,-0.0051085094335151515,-0.593627915513278,0.11438298460733141
S1,family_jepa_story,subject,masked_residual_student,0.6566789899315844,0.6475513435130703,-0.009127646418514046,-0.6333569744073546,0.17218962398168225
Q2,family,dateblock,masked_residual_student,0.7153337395560486,0.7228955994122114,0.007561859856162756,-0.12774397726150855,0.012906796247553488
Q2,jepa_resid,dateblock,masked_residual_student,0.7153337395560486,0.7080280536162756,-0.007305685939772988,-0.11075090646728047,-0.0889946123190732
Q2,story_bundle,dateblock,masked_residual_student,0.7153337395560486,0.721137997328054,0.005804257772005328,-0.4955830973282107,-0.0016543291571810234
Q2,raw_day,dateblock,masked_residual_student,0.7153337395560486,0.7119287366520164,-0.0034050029040322283,-0.44715225874805054,-0.09872239698303038
Q2,family_story,dateblock,masked_residual_student,0.7153337395560486,0.7210379402924325,0.005704200736383891,-0.5608679096092644,0.041964256613612916
Q2,family_jepa_story,dateblock,masked_residual_student,0.7153337395560486,0.7207754427454898,0.005441703189441149,-0.6668994938230486,0.00857110405483484
S1,family,dateblock,masked_residual_student,0.5818632837982721,0.585872053851703,0.004008770053430921,-0.10720836386571553,-0.05795485409804493
S1,jepa_resid,dateblock,masked_residual_student,0.5818632837982721,0.5819488246780345,8.554087976242464e-05,-0.06978683106760375,-0.07165368717870213
S1,story_bundle,dateblock,masked_residual_student,0.5818632837982721,0.5792252108461503,-0.002638072952121817,-0.34116532652101195,0.10891411809441036
S1,raw_day,dateblock,masked_residual_student,0.5818632837982721,0.5841480040854478,0.0022847202871756345,-0.4245385478411572,-0.07735682645346398
S1,family_story,dateblock,masked_residual_student,0.5818632837982721,0.5815636587470951,-0.00029962505117697713,-0.47869926808476215,0.0568079842369592
S1,family_jepa_story,dateblock,masked_residual_student,0.5818632837982721,0.5825363841755057,0.0006731003772335598,-0.5761571689469904,0.03472155418051447
