candidate_family,n,escape_candidates,novel_escape_candidates,resolved_better,low_bad_axis_rate,movement_over_uncertainty_rate,raw05_novel_movement_rate,majority_beats_a2c8_rate,best_file,best_source_path,best_priority_score,best_selector_p90_delta,best_selector_mean_delta,best_beats_a2c8_rate,best_bad_axis_abs_load,best_mean_abs_move_vs_a2c8
cvjepa,176,39,9,0,0.9659090909090909,0.5965909090909091,0.7784090909090909,0.2215909090909091,submission_raw05_cvjepa_surprise_graft_4f6bd5bf.csv,analysis_outputs/submission_raw05_cvjepa_surprise_graft_4f6bd5bf.csv,0.0007987057655429188,0.0005441349652534067,0.00028306333902539116,0.5945945945945946,0.023364958963128846,0.008586557783500808
raw05_jepa,2631,37,0,0,0.9369061193462562,0.7879133409350056,0.98365640440897,0.014063093880653743,submission_raw05_jepa_public6drift_raw05_q1_q3_s3_anti_signed_top40_prob_bad_raw_ortho_g00075_0bbf9d04.csv,analysis_outputs/submission_raw05_jepa_public6drift_raw05_q1_q3_s3_anti_signed_top40_prob_bad_raw_ortho_g00075_0bbf9d04.csv,0.0007940376383515379,0.0005393426271893542,0.0002767568646417917,0.7876447876447876,0.024783258988928886,0.008526327948120888
axis_repair,56,4,3,0,0.5178571428571429,1.0,0.9821428571428571,0.07142857142857142,submission_public_repair_rawaxis_s1.000_bdba2431.csv,analysis_outputs/submission_public_repair_rawaxis_s1.000_bdba2431.csv,0.0007940103848417722,0.0005392822667666941,0.00027669310689881765,0.7876447876447876,0.024790010120974613,0.008530873231461976
other,73,4,3,0,0.3835616438356164,1.0,0.9726027397260274,0.0684931506849315,submission_public6entropy_raw05_q3s4_g030_5776b7ae.csv,analysis_outputs/submission_public6entropy_raw05_q3s4_g030_5776b7ae.csv,0.0007992316436581702,0.0005446461549297732,0.0002847769138776268,0.5637065637065637,0.02705160264265202,0.008041056391399409
raw_timeline,7,1,0,0,0.8571428571428571,1.0,0.8571428571428571,0.14285714285714285,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.0007940103848417722,0.0005392822667666941,0.00027669310689881765,0.7876447876447876,0.02479001012097469,0.008530873231461969
other_jepa,2225,1,0,0,0.5280898876404494,1.0,0.9995505617977528,0.0017977528089887641,submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5_q3_w0p2.csv,jepa/submission_mp_count_public_blend_raw_rescue05_submission_mp_count_conditioning_jepa_subject_chunk_mpj_knn18_q_only_st0p35_c20_bm0p35_sc0p5_q3_w0p2.csv,0.0008041260972744508,0.0005504242419072103,0.000283364051613999,0.5598455598455598,0.0191126512759374,0.00885714410147091
blockscale,594,0,0,0,0.4494949494949495,1.0,1.0,0.0,submission_blockscale_jepa_raw05_rt_bc_nb_sg_loc_ridge_zctx_a12_blend0p2_q3s4_w0p05_410c9f71.csv,analysis_outputs/submission_blockscale_jepa_raw05_rt_bc_nb_sg_loc_ridge_zctx_a12_blend0p2_q3s4_w0p05_410c9f71.csv,0.0008024265626496114,0.0005531094769700706,0.00033432549256040556,0.10810810810810811,0.03663921972041491,0.010135734477819791
lejepa,63,0,0,0,0.1111111111111111,1.0,1.0,0.0,submission_public_repair_raw05_antilejepa_q3_only_g0.040_90725dca.csv,analysis_outputs/submission_public_repair_raw05_antilejepa_q3_only_g0.040_90725dca.csv,0.0008035690512497156,0.0005484758607469109,0.00028933512416984275,0.4362934362934363,0.02642053783288701,0.009117455802828212
blockpublic,180,0,0,0,0.9,1.0,1.0,0.0,submission_blockpublic_jepa_q3s4_35991e25.csv,analysis_outputs/submission_blockpublic_jepa_q3s4_35991e25.csv,0.0008258094652572873,0.0005594536690227692,0.00029910667758359377,0.3552123552123552,0.02720168579569888,0.00611044451153366
energy_gate,320,0,0,0,0.790625,0.99375,1.0,0.0,submission_jepa_public_blockentropy_energy_balanced_core_q1_q3_s3_s4_g003_88872f51.csv,analysis_outputs/submission_jepa_public_blockentropy_energy_balanced_core_q1_q3_s3_s4_g003_88872f51.csv,0.0008290663180446816,0.0005725372153471131,0.00032647800259333337,0.25096525096525096,0.02979589553628345,0.009970337521515063
publicmask,100,0,0,0,0.82,1.0,1.0,0.0,submission_jepa_public_blockentropy_publicmask_core_q1_q3_s3_s4_g003_9e55efe2.csv,analysis_outputs/submission_jepa_public_blockentropy_publicmask_core_q1_q3_s3_s4_g003_9e55efe2.csv,0.0008322188748002916,0.0005751655354105933,0.0003292101269590786,0.25096525096525096,0.029571454362730523,0.01036540080533022
neural_episode_rawstack,873,0,0,0,0.0,1.0,1.0,0.0,submission_jepa_neural_episode_rawstack_raw05_nb_top075_none_rw0p75_nw0p5_ew0p0.csv,jepa/submission_jepa_neural_episode_rawstack_raw05_nb_top075_none_rw0p75_nw0p5_ew0p0.csv,0.0013021346490134599,0.001018054574059013,0.0006478347632146164,0.10038610038610038,0.11644171968898065,0.0459217138433982
blockorth,9,0,0,0,0.0,1.0,1.0,0.0,submission_blockorth_f3e02850.csv,analysis_outputs/submission_blockorth_f3e02850.csv,0.0013619152299966884,0.0010199817600268224,0.0006492397329344035,0.0888030888030888,0.19205551760139178,0.04563698129839255
mixmin,11,0,0,0,0.0,1.0,1.0,0.0,submission_mixmin_5a4c25e0.csv,analysis_outputs/submission_mixmin_5a4c25e0.csv,0.001371119547976351,0.001015772209506438,0.0006549890252166568,0.09266409266409266,0.21489200951192333,0.045989328135732525
